27/04/2022	11:00

Co88Tb12

Field	Kepco	Channel A	Channel B	Agilent	0	RF out	Monitor+	Monitor-	Time
7814.63	6	1.186035	1.780836	0.001552	0	0.000902	-0.212787	0.046792	1.034144E+9
7750.51	5.9	1.131942	1.990556	0.002011	0	3.3E-5	-0.212787	0.046834	1.034144E+9
7683.15	5.8	1.255978	1.78849	0.001367	0	0.000437	-0.212787	0.046588	1.034145E+9
7612.62	5.7	1.333108	1.9513	0.00076	0	0.000845	-0.212787	0.046791	1.034145E+9
7538.96	5.6	1.192139	1.851559	0.000362	0	0.001916	-0.212787	0.046755	1.034146E+9
7462.23	5.5	1.239998	1.954107	0.000671	0	0.001633	-0.212787	0.046801	1.034146E+9
7382.49	5.4	1.254166	1.793291	0.000235	0	0.001919	-0.212787	0.046815	1.034147E+9
7299.79	5.3	1.088633	1.680298	0.00201	0	0.001882	-0.212787	0.04662	1.034147E+9
7214.18	5.2	1.138567	1.611219	0.001505	0	0.002149	-0.212787	0.046641	1.034148E+9
7125.71	5.1	0.837598	1.640023	0.001982	0	0.001526	-0.212787	0.046745	1.034148E+9
7034.46	5	0.881067	1.505646	0.00161	0	0.001697	-0.212787	0.046656	1.034149E+9
6940.45	4.9	0.968342	1.471533	0.001386	0	0.000681	-0.212787	0.046647	1.034149E+9
6843.76	4.8	0.87849	1.530145	0.002261	0	0.001192	-0.212787	0.046706	1.03415E+9
6744.44	4.7	0.913938	1.594663	0.001842	0	0.001094	-0.212787	0.046673	1.03415E+9
6642.54	4.6	0.944974	1.676127	0.001929	0	0.001027	-0.212787	0.046845	1.034151E+9
6538.11	4.5	0.8234	1.556619	0.002086	0	0.001199	-0.212787	0.046641	1.034151E+9
6431.22	4.4	0.734211	1.458499	0.001259	0	0.002139	-0.212787	0.046646	1.034152E+9
6321.91	4.3	0.742788	1.427661	0.002455	0	0.002139	-0.212787	0.04683	1.034152E+9
6210.24	4.2	0.57272	1.260777	0.001915	0	0.002226	-0.212787	0.046759	1.034153E+9
