29/04/2022	15:16

Co88Tb12_PMOKE_20220426_APRD1

Field	Kepco	Channel A	Channel B	Agilent	0	RF out	Monitor+	Monitor-	Time
7814.63	6	-6.244058	-0.289717	-0.00538	0	-0.005717	-0.212787	0.086272	1.222275E+9
7750.51	5.9	-6.249532	-0.281218	-0.006194	0	-0.004586	-0.212787	0.086384	1.222276E+9
7683.15	5.8	-6.246283	-0.286617	-0.00544	0	-0.005451	-0.212787	0.086265	1.222276E+9
7612.62	5.7	-6.250205	-0.28971	-0.004856	0	-0.005502	-0.212787	0.086629	1.222277E+9
7538.96	5.6	-6.24641	-0.292085	-0.004967	0	-0.005946	-0.212787	0.086296	1.222277E+9
7462.23	5.5	-6.256819	-0.29789	-0.005064	0	-0.00609	-0.212787	0.086656	1.222278E+9
7382.49	5.4	-6.253112	-0.28894	-0.006059	0	-0.006244	-0.212787	0.086453	1.222278E+9
7299.79	5.3	-6.254535	-0.293076	-0.006277	0	-0.006154	-0.212787	0.086418	1.222279E+9
7214.18	5.2	-6.253356	-0.288488	-0.005442	0	-0.006527	-0.212787	0.086282	1.222279E+9
7125.71	5.1	-6.252375	-0.288752	-0.005032	0	-0.006396	-0.212787	0.086391	1.22228E+9
7034.46	5	-6.256998	-0.297312	-0.005057	0	-0.004769	-0.212787	0.086274	1.22228E+9
6940.45	4.9	-6.259461	-0.285707	-0.004988	0	-0.004994	-0.212787	0.086671	1.222281E+9
6843.76	4.8	-6.2582	-0.299898	-0.004873	0	-0.004908	-0.212787	0.086243	1.222281E+9
6744.44	4.7	-6.257277	-0.300766	-0.00595	0	-0.005336	-0.212787	0.086287	1.222282E+9
6642.54	4.6	-6.256517	-0.28883	-0.006142	0	-0.007448	-0.212787	0.086268	1.222282E+9
6538.11	4.5	-6.253993	-0.290603	-0.007618	0	-0.006846	-0.212787	0.086409	1.222283E+9
6431.22	4.4	-6.259509	-0.296913	-0.007162	0	-0.006932	-0.212787	0.08628	1.222283E+9
6321.91	4.3	-6.257755	-0.294827	-0.007306	0	-0.006277	-0.212787	0.086339	1.222284E+9
6210.24	4.2	-6.260471	-0.285428	-0.006289	0	-0.00672	-0.212787	0.086693	1.222284E+9
6096.26	4.1	-6.264828	-0.29239	-0.005429	0	-0.005925	-0.212787	0.08666	1.222285E+9
5980.04	4	-6.261566	-0.283173	-0.006607	0	-0.006656	-0.212787	0.086307	1.222285E+9
5861.61	3.9	-6.255231	-0.288099	-0.007083	0	-0.007267	-0.212787	0.08649	1.222286E+9
5741.05	3.8	-6.255149	-0.284375	-0.007342	0	-0.007161	-0.212787	0.086383	1.222286E+9
5618.4	3.7	-6.25511	-0.292147	-0.006577	0	-0.007986	-0.212787	0.086606	1.222287E+9
5493.71	3.6	-6.253034	-0.287991	-0.00655	0	-0.006849	-0.212787	0.086706	1.222287E+9
5367.05	3.5	-6.263093	-0.291175	-0.005703	0	-0.005548	-0.212787	0.08654	1.222288E+9
5238.46	3.4	-6.262235	-0.288878	-0.007805	0	-0.006184	-0.212787	0.086361	1.222288E+9
5108.01	3.3	-6.25716	-0.289275	-0.006742	0	-0.006493	-0.212787	0.086526	1.222289E+9
4975.74	3.2	-6.263492	-0.291159	-0.007705	0	-0.006442	-0.212787	0.086529	1.222289E+9
4841.71	3.1	-6.257362	-0.292186	-0.007289	0	-0.007793	-0.212787	0.086419	1.22229E+9
4705.98	3	-6.256852	-0.289119	-0.007412	0	-0.008059	-0.212787	0.086538	1.22229E+9
4568.59	2.9	-6.254107	-0.290841	-0.008362	0	-0.006511	-0.212787	0.086505	1.222291E+9
4429.62	2.8	-6.246758	-0.282108	-0.007281	0	-0.007378	-0.212787	0.086435	1.222291E+9
4289.09	2.7	-6.238113	-0.287787	-0.008638	0	-0.008516	-0.212787	0.086588	1.222292E+9
4147.09	2.6	-6.238811	-0.290019	-0.008086	0	-0.00921	-0.212787	0.086645	1.222292E+9
4003.65	2.5	-6.236885	-0.301867	-0.009882	0	-0.008344	-0.212787	0.086341	1.222293E+9
3858.83	2.4	-6.233808	-0.284047	-0.007202	0	-0.007854	-0.212787	0.086368	1.222293E+9
3712.69	2.3	-6.244578	-0.290087	-0.007766	0	-0.009042	-0.212787	0.086546	1.222294E+9
3565.29	2.2	-6.248649	-0.297114	-0.009274	0	-0.008107	-0.212787	0.086798	1.222294E+9
3416.67	2.1	-6.247021	-0.295704	-0.009397	0	-0.007643	-0.212787	0.086583	1.222295E+9
3266.89	2	-6.24986	-0.303628	-0.009062	0	-0.009201	-0.212787	0.086522	1.222295E+9
3116	1.9	-6.24643	-0.294697	-0.007645	0	-0.008424	-0.212787	0.086827	1.222296E+9
2964.07	1.8	-6.242918	-0.303589	-0.007925	0	-0.008159	-0.212787	0.086382	1.222296E+9
2811.14	1.7	-6.239721	-0.290061	-0.009115	0	-0.009385	-0.212787	0.086512	1.222297E+9
2657.27	1.6	-6.237745	-0.298764	-0.008141	0	-0.008588	-0.212787	0.086521	1.222297E+9
2502.52	1.5	-6.23666	-0.304541	-0.008548	0	-0.008981	-0.212787	0.086363	1.222298E+9
2346.93	1.4	-6.23451	-0.30187	-0.007514	0	-0.008457	-0.212787	0.086734	1.222298E+9
2190.57	1.3	-6.24117	-0.304502	-0.009057	0	-0.010139	-0.212787	0.086616	1.222299E+9
2033.48	1.2	-6.236742	-0.294499	-0.010403	0	-0.010032	-0.212787	0.086545	1.222299E+9
1875.73	1.1	-6.235822	-0.298079	-0.010559	0	-0.010204	-0.212787	0.086404	1.2223E+9
1717.37	1	-6.241966	-0.304531	-0.008571	0	-0.00963	-0.212787	0.086369	1.2223E+9
1558.44	0.9	-6.250396	-0.307926	-0.007755	0	-0.008481	-0.212787	0.086354	1.222301E+9
1399.02	0.8	-6.253203	-0.308397	-0.007477	0	-0.007961	-0.212787	0.086543	1.222301E+9
1239.14	0.7	-6.245458	-0.306243	-0.007327	0	-0.007768	-0.212787	0.086453	1.222302E+9
1078.87	0.6	-6.241953	-0.30022	-0.008531	0	-0.009542	-0.212787	0.086688	1.222302E+9
918.26	0.5	-6.236833	-0.295675	-0.010431	0	-0.009369	-0.212787	0.086559	1.222303E+9
757.37	0.4	-6.242856	-0.302881	-0.008231	0	-0.00921	-0.212787	0.086546	1.222303E+9
596.24	0.3	-6.242918	-0.302916	-0.008189	0	-0.007199	-0.212787	0.086592	1.222304E+9
434.94	0.2	-6.239808	-0.300064	-0.009155	0	-0.010391	-0.212787	0.086582	1.222304E+9
273.52	0.1	-6.242502	-0.300623	-0.010208	0	-0.009532	-0.212787	0.086806	1.222305E+9
112.03	0	-6.228366	-0.296669	-0.011592	0	-0.011284	-0.212787	0.086374	1.222305E+9
-49.47	-0.1	-6.227963	-0.296961	-0.01188	0	-0.011409	-0.212787	0.086597	1.222306E+9
-210.93	-0.2	-6.227132	-0.307072	-0.011892	0	-0.012596	-0.212787	0.086673	1.222306E+9
-372.3	-0.3	-6.221664	-0.308137	-0.011593	0	-0.01135	-0.212787	0.086421	1.222307E+9
-533.51	-0.4	-6.21849	-0.307595	-0.010764	0	-0.010565	-0.212787	0.086357	1.222307E+9
-694.51	-0.5	-6.20888	-0.308816	-0.010534	0	-0.010569	-0.212787	0.086801	1.222308E+9
-855.25	-0.6	-6.217067	-0.304651	-0.010879	0	-0.01255	-0.212787	0.086611	1.222308E+9
-1015.68	-0.7	-6.200377	-0.304745	-0.011481	0	-0.010796	-0.212787	0.086439	1.222309E+9
-1175.74	-0.8	-6.188253	-0.305918	-0.012989	0	-0.011561	-0.212787	0.086587	1.222309E+9
-1335.37	-0.9	-6.100379	-0.29753	-0.011345	0	-0.010754	-0.212787	0.0868	1.22231E+9
-1494.53	-1	-2.861844	-0.142988	-0.016051	0	-0.015029	-0.212787	0.086591	1.22231E+9
-1653.15	-1.1	-1.45217	-0.075176	-0.017222	0	-0.016963	-0.212787	0.086739	1.222311E+9
-1811.18	-1.2	-0.590747	-0.031158	-0.019279	0	-0.019044	-0.212787	0.086624	1.222311E+9
-1968.57	-1.3	0.045543	0.001506	-0.019954	0	-0.019367	-0.212787	0.086548	1.222312E+9
-2125.26	-1.4	0.588242	0.025836	-0.020813	0	-0.020386	-0.212787	0.086667	1.222312E+9
-2281.19	-1.5	1.063341	0.04697	-0.021515	0	-0.02124	-0.212787	0.086559	1.222313E+9
-2436.33	-1.6	1.497663	0.071855	-0.020916	0	-0.021161	-0.212787	0.086614	1.222313E+9
-2590.6	-1.7	1.920576	0.090146	-0.020202	0	-0.019514	-0.212787	0.086695	1.222314E+9
-2743.95	-1.8	2.341056	0.115529	-0.021275	0	-0.021109	-0.212787	0.086536	1.222314E+9
-2896.33	-1.9	2.761459	0.132309	-0.021718	0	-0.022494	-0.212787	0.086568	1.222315E+9
-3047.69	-2	3.199655	0.144317	-0.023833	0	-0.023024	-0.212787	0.086678	1.222315E+9
-3197.97	-2.1	3.665687	0.186642	-0.0247	0	-0.023549	-0.212787	0.086693	1.222316E+9
-3347.11	-2.2	4.149923	0.211499	-0.024683	0	-0.023845	-0.212787	0.086552	1.222316E+9
-3495.06	-2.3	4.656957	0.237187	-0.025686	0	-0.024819	-0.212787	0.086689	1.222317E+9
-3641.77	-2.4	5.120623	0.260939	-0.025939	0	-0.026303	-0.212787	0.086616	1.222317E+9
-3787.18	-2.5	5.495479	0.276877	-0.026124	0	-0.025825	-0.212787	0.086944	1.222318E+9
-3931.24	-2.6	5.746094	0.291724	-0.026474	0	-0.026057	-0.212787	0.086637	1.222318E+9
-4073.89	-2.7	5.854885	0.294411	-0.026367	0	-0.025965	-0.212787	0.086766	1.222319E+9
-4215.08	-2.8	5.907844	0.288053	-0.026578	0	-0.026256	-0.212787	0.086737	1.222319E+9
-4354.75	-2.9	5.917665	0.294528	-0.026115	0	-0.02648	-0.212787	0.087079	1.22232E+9
-4492.85	-3	5.923627	0.291045	-0.026238	0	-0.026411	-0.212787	0.086746	1.22232E+9
-4629.32	-3.1	5.923325	0.293466	-0.026281	0	-0.026647	-0.212787	0.086854	1.222321E+9
