19/05/2022	17:54

Si\Pt3\(Co88Tb12)100\Pt3-20220426_APRD2

Field	Kepco	Channel A	Channel B	Agilent	0	RF out	Monitor+	Monitor-	Time
8265.94	7	4.602815	-0.112572	0.001247	0	0.00178	-0.212787	0.070114	2.959772E+9
8204.61	6.8	4.603264	-0.112998	0.000951	0	0.001891	-0.212787	0.070015	2.959772E+9
8128.37	6.6	4.607445	-0.113567	0.00175	0	0.001885	-0.212787	0.070289	2.959773E+9
8037.67	6.4	4.607377	-0.111994	0.002473	0	0.001752	-0.212787	0.070308	2.959774E+9
7932.95	6.2	4.60842	-0.11201	0.001025	0	0.001716	-0.212787	0.070289	2.959775E+9
7814.63	6	4.611889	-0.112069	0.001819	0	0.001173	-0.212787	0.070246	2.959776E+9
7683.15	5.8	4.614615	-0.113826	0.001872	0	0.001114	-0.212787	0.070266	2.959777E+9
7538.96	5.6	4.616841	-0.112553	0.002175	0	0.001819	-0.212787	0.07052	2.959778E+9
7382.49	5.4	4.617783	-0.113333	0.001799	0	0.00152	-0.212787	0.070076	2.959779E+9
7214.18	5.2	4.618449	-0.112621	0.001547	0	0.001673	-0.212787	0.069958	2.95978E+9
7034.46	5	4.620028	-0.115107	0.001451	0	0.001415	-0.212787	0.070203	2.959781E+9
6843.76	4.8	4.621373	-0.112972	0.00185	0	0.001864	-0.212787	0.070438	2.959782E+9
6642.54	4.6	4.624128	-0.112352	0.002073	0	0.001747	-0.212787	0.070164	2.959783E+9
6431.22	4.4	4.627081	-0.113031	0.002114	0	0.001674	-0.212787	0.070149	2.959784E+9
6210.24	4.2	4.628712	-0.111591	0.002665	0	0.00207	-0.212787	0.070547	2.959785E+9
5980.04	4	4.630093	-0.113469	0.002571	0	0.001941	-0.212787	0.070251	2.959786E+9
5741.05	3.8	4.630547	-0.113999	0.002117	0	0.002119	-0.212787	0.070268	2.959787E+9
5493.71	3.6	4.630521	-0.11307	0.002813	0	0.00176	-0.212787	0.070435	2.959788E+9
5238.46	3.4	4.631746	-0.11393	0.002476	0	0.002264	-0.212787	0.070426	2.959789E+9
