19/05/2022	12:30

Si\Pt3\(Co88Tb12)75\Pt3-20220518_APEJ1

Field	Kepco	Channel A	Channel B	Agilent	0	RF out	Monitor+	Monitor-	Time
8265.94	7	2.617582	0.051252	-0.004857	0	-0.003746	-0.212787	0.038307	2.940335E+9
8204.61	6.8	2.774184	-0.024338	-0.004418	0	-0.004579	-0.212787	0.038276	2.940335E+9
8128.37	6.6	2.725351	0.003605	-0.004611	0	-0.004581	-0.212787	0.038275	2.940336E+9
8037.67	6.4	2.796715	0.008777	-0.003879	0	-0.004005	-0.212787	0.038275	2.940337E+9
7932.95	6.2	2.798024	0.042155	-0.004488	0	-0.004949	-0.212787	0.03827	2.940338E+9
7814.63	6	2.729688	-0.000668	-0.004059	0	-0.004371	-0.212787	0.038423	2.940339E+9
7683.15	5.8	2.66403	0.028464	-0.004018	0	-0.004369	-0.212787	0.038265	2.94034E+9
7538.96	5.6	2.572615	0.020687	-0.003635	0	-0.004696	-0.212787	0.038371	2.940341E+9
7382.49	5.4	2.540111	0.040459	-0.003876	0	-0.00436	-0.212787	0.038352	2.940342E+9
7214.18	5.2	2.511713	0.06436	-0.004214	0	-0.0046	-0.212787	0.038303	2.940343E+9
7034.46	5	2.453088	0.08332	-0.004811	0	-0.005083	-0.212787	0.038258	2.940344E+9
6843.76	4.8	2.474472	0.062252	-0.005777	0	-0.004535	-0.212787	0.038186	2.940345E+9
6642.54	4.6	2.455638	0.070082	-0.004914	0	-0.004453	-0.212787	0.038256	2.940346E+9
6431.22	4.4	2.423163	0.080156	-0.00451	0	-0.00506	-0.212787	0.0382	2.940347E+9
6210.24	4.2	2.381202	0.078717	-0.004587	0	-0.005238	-0.212787	0.038192	2.940348E+9
5980.04	4	2.318269	0.095	-0.005426	0	-0.004364	-0.212787	0.038188	2.940349E+9
5741.05	3.8	2.288744	0.129382	-0.004661	0	-0.005338	-0.212787	0.038268	2.94035E+9
5493.71	3.6	2.244771	0.10807	-0.005065	0	-0.004991	-0.212787	0.038278	2.940351E+9
5238.46	3.4	2.130547	0.117897	-0.004356	0	-0.005024	-0.212787	0.038251	2.940352E+9
4975.74	3.2	2.07161	0.108885	-0.004947	0	-0.005358	-0.212787	0.038258	2.940353E+9
4705.98	3	1.965452	0.112725	-0.005321	0	-0.005039	-0.212787	0.038254	2.940354E+9
4429.62	2.8	1.9116	0.116234	-0.005392	0	-0.004356	-0.212787	0.038289	2.940355E+9
4147.09	2.6	1.848346	0.134213	-0.005296	0	-0.005342	-0.212787	0.038244	2.940356E+9
3858.83	2.4	1.747574	0.147471	-0.004928	0	-0.004873	-0.212787	0.038212	2.940357E+9
3565.29	2.2	1.676045	0.135223	-0.004985	0	-0.0047	-0.212787	0.038316	2.940358E+9
3266.89	2	1.574722	0.168507	-0.004823	0	-0.005104	-0.212787	0.0383	2.940359E+9
2964.07	1.8	1.507299	0.185485	-0.005529	0	-0.005098	-0.212787	0.038217	2.94036E+9
2657.27	1.6	1.433795	0.201629	-0.005066	0	-0.004807	-0.212787	0.038272	2.940361E+9
2346.93	1.4	1.346574	0.195667	-0.005602	0	-0.005837	-0.212787	0.038198	2.940362E+9
2033.48	1.2	1.216837	0.221885	-0.005907	0	-0.005744	-0.212787	0.03823	2.940363E+9
1717.37	1	1.095536	0.245916	-0.00546	0	-0.005777	-0.212787	0.038185	2.940364E+9
1399.02	0.8	0.975652	0.230475	-0.005309	0	-0.005879	-0.212787	0.038178	2.940365E+9
1078.87	0.6	0.868718	0.300535	-0.005732	0	-0.004789	-0.212787	0.03825	2.940366E+9
