19/05/2022	12:47

Si\Pt3\(Co88Tb12)75\Pt3-20220518_APEJ2

Field	Kepco	Channel A	Channel B	Agilent	0	RF out	Monitor+	Monitor-	Time
8265.94	7	4.271117	-0.548698	0.005207	0	0.004188	-0.212787	0.063289	2.941353E+9
8204.61	6.8	4.282491	-0.550384	0.004012	0	0.005153	-0.212787	0.063172	2.941354E+9
8128.37	6.6	4.281679	-0.550712	0.005074	0	0.005049	-0.212787	0.063252	2.941355E+9
8037.67	6.4	4.28306	-0.549539	0.005702	0	0.004978	-0.212787	0.063226	2.941356E+9
7932.95	6.2	4.28562	-0.549841	0.004595	0	0.005507	-0.212787	0.063224	2.941357E+9
7814.63	6	4.286104	-0.55081	0.004862	0	0.0063	-0.212787	0.063182	2.941358E+9
7683.15	5.8	4.286049	-0.55068	0.005745	0	0.005443	-0.212787	0.063347	2.941359E+9
7538.96	5.6	4.286627	-0.550725	0.005098	0	0.005432	-0.212787	0.063234	2.94136E+9
7382.49	5.4	4.286955	-0.551937	0.005034	0	0.005969	-0.212787	0.063226	2.941361E+9
7214.18	5.2	4.284827	-0.551118	0.005362	0	0.005678	-0.212787	0.063245	2.941362E+9
7034.46	5	4.287852	-0.551034	0.005624	0	0.005225	-0.212787	0.063365	2.941363E+9
6843.76	4.8	4.286868	-0.550641	0.004984	0	0.005259	-0.212787	0.063298	2.941364E+9
6642.54	4.6	4.284584	-0.551635	0.005357	0	0.005847	-0.212787	0.063202	2.941365E+9
6431.22	4.4	4.285831	-0.551238	0.005685	0	0.005689	-0.212787	0.06324	2.941366E+9
6210.24	4.2	4.284152	-0.551388	0.004457	0	0.004589	-0.212787	0.063338	2.941367E+9
5980.04	4	4.283973	-0.550209	0.005169	0	0.005482	-0.212787	0.063235	2.941368E+9
5741.05	3.8	4.283375	-0.551404	0.005013	0	0.005114	-0.212787	0.063191	2.941369E+9
5493.71	3.6	4.282927	-0.551485	0.004643	0	0.005107	-0.212787	0.063233	2.94137E+9
5238.46	3.4	4.282063	-0.552414	0.004122	0	0.005324	-0.212787	0.063157	2.941371E+9
4975.74	3.2	4.277459	-0.552181	0.005687	0	0.00476	-0.212787	0.063199	2.941372E+9
4705.98	3	4.280675	-0.550455	0.004923	0	0.004439	-0.212787	0.063131	2.941373E+9
4429.62	2.8	4.282443	-0.54964	0.004216	0	0.004939	-0.212787	0.063267	2.941374E+9
4147.09	2.6	4.283577	-0.549227	0.004777	0	0.005325	-0.212787	0.063224	2.941375E+9
3858.83	2.4	4.28498	-0.551394	0.00472	0	0.004601	-0.212787	0.063176	2.941376E+9
3565.29	2.2	4.284489	-0.551342	0.005502	0	0.004669	-0.212787	0.063327	2.941377E+9
3266.89	2	4.285302	-0.551303	0.005585	0	0.005573	-0.212787	0.063305	2.941378E+9
2964.07	1.8	4.286692	-0.551813	0.005908	0	0.005122	-0.212787	0.063244	2.941379E+9
2657.27	1.6	4.286254	-0.551365	0.005611	0	0.004558	-0.212787	0.063334	2.94138E+9
2346.93	1.4	4.285	-0.551277	0.0052	0	0.005415	-0.212787	0.063172	2.941381E+9
2033.48	1.2	4.287089	-0.550914	0.005828	0	0.005098	-0.212787	0.06328	2.941382E+9
1717.37	1	4.285825	-0.551976	0.005753	0	0.005036	-0.212787	0.063211	2.941383E+9
1399.02	0.8	4.285484	-0.55143	0.005382	0	0.00501	-0.212787	0.06336	2.941384E+9
1078.87	0.6	4.282332	-0.551303	0.005568	0	0.004955	-0.212787	0.063264	2.941385E+9
757.37	0.4	4.280152	-0.549114	0.006055	0	0.004864	-0.212787	0.063263	2.941386E+9
434.94	0.2	4.275675	-0.549195	0.005109	0	0.005137	-0.212787	0.063328	2.941387E+9
112.03	0	4.266523	-0.547411	0.005501	0	0.005443	-0.212787	0.063273	2.941389E+9
-210.93	-0.2	4.22283	-0.543012	0.00517	0	0.004255	-0.212787	0.063279	2.941389E+9
-533.51	-0.4	4.123429	-0.530605	0.004761	0	0.004193	-0.212787	0.063355	2.94139E+9
-855.25	-0.6	3.913643	-0.503695	0.004683	0	0.004453	-0.212787	0.063224	2.941391E+9
-1175.74	-0.8	3.566524	-0.460672	0.004309	0	0.004125	-0.212787	0.06324	2.941392E+9
-1494.53	-1	3.105598	-0.399851	0.003209	0	0.003019	-0.212787	0.06334	2.941393E+9
-1811.18	-1.2	2.591939	-0.334462	0.00207	0	0.003089	-0.212787	0.063337	2.941394E+9
-2125.26	-1.4	2.076743	-0.268999	0.002846	0	0.002314	-0.212787	0.063373	2.941395E+9
-2436.33	-1.6	1.595027	-0.208815	0.001497	0	0.001552	-0.212787	0.063388	2.941396E+9
-2743.95	-1.8	1.152218	-0.153004	0.000986	0	0.001435	-0.212787	0.063343	2.941397E+9
-3047.69	-2	0.74054	-0.099619	0.000849	0	0.00088	-0.212787	0.063349	2.941398E+9
-3347.11	-2.2	0.349066	-0.050088	0.000267	0	-0.000479	-0.212787	0.063341	2.941399E+9
-3641.77	-2.4	-0.032178	0.003393	-0.000522	0	-0.000118	-0.212787	0.063443	2.9414E+9
-3931.24	-2.6	-0.406059	0.051125	-0.000965	0	-0.000274	-0.212787	0.06337	2.941401E+9
-4215.08	-2.8	-0.780993	0.096787	-0.000861	0	-0.00122	-0.212787	0.063385	2.941402E+9
-4492.85	-3	-1.150704	0.145967	-0.001995	0	-0.001915	-0.212787	0.063397	2.941403E+9
-4764.12	-3.2	-1.512019	0.192535	-0.002623	0	-0.002013	-0.212787	0.063426	2.941404E+9
-5028.44	-3.4	-1.854761	0.235952	-0.002031	0	-0.002411	-0.212787	0.063403	2.941405E+9
-5285.39	-3.6	-2.158092	0.274265	-0.002555	0	-0.003027	-0.212787	0.063351	2.941406E+9
-5534.53	-3.8	-2.409715	0.305961	-0.003731	0	-0.003065	-0.212787	0.063401	2.941407E+9
-5775.41	-4	-2.597466	0.330346	-0.002828	0	-0.003349	-0.212787	0.063432	2.941408E+9
-6007.6	-4.2	-2.734156	0.34584	-0.00341	0	-0.004087	-0.212787	0.063412	2.941409E+9
-6230.67	-4.4	-2.841666	0.358796	-0.00392	0	-0.003518	-0.212787	0.063459	2.94141E+9
-6444.17	-4.6	-2.943802	0.374156	-0.00333	0	-0.003205	-0.212787	0.063537	2.941411E+9
