19/05/2022	16:23

Si\Pt3\(Co88Tb12)75\Pt3-20220518_APEJ7

Field	Kepco	Channel A	Channel B	Agilent	0	RF out	Monitor+	Monitor-	Time
8265.94	7	3.013322	-0.08743	0.004448	0	0.003397	-0.212787	0.049266	2.954312E+9
8204.61	6.8	3.030993	-0.087833	0.002929	0	0.003767	-0.212787	0.049394	2.954312E+9
8128.37	6.6	3.03007	-0.08908	0.004066	0	0.005193	-0.212787	0.049039	2.954313E+9
8037.67	6.4	3.028767	-0.087352	0.003811	0	0.005298	-0.212787	0.04916	2.954314E+9
7932.95	6.2	3.026259	-0.087726	0.003506	0	0.0044	-0.212787	0.049474	2.954315E+9
7814.63	6	3.024053	-0.086712	0.003814	0	0.004899	-0.212787	0.049326	2.954316E+9
7683.15	5.8	3.021786	-0.087287	0.005352	0	0.004194	-0.212787	0.048949	2.954317E+9
7538.96	5.6	3.018751	-0.08615	0.004857	0	0.004994	-0.212787	0.049162	2.954318E+9
7382.49	5.4	3.016464	-0.087514	0.004304	0	0.005424	-0.212787	0.049391	2.954319E+9
7214.18	5.2	3.015161	-0.087313	0.004535	0	0.005658	-0.212787	0.048896	2.95432E+9
7034.46	5	3.014382	-0.087739	0.004816	0	0.004838	-0.212787	0.0493	2.954321E+9
6843.76	4.8	3.012588	-0.08732	0.004174	0	0.005609	-0.212787	0.049441	2.954322E+9
6642.54	4.6	3.010343	-0.087138	0.005612	0	0.005771	-0.212787	0.04841	2.954323E+9
6431.22	4.4	3.008566	-0.087677	0.00543	0	0.006908	-0.212787	0.048857	2.954324E+9
6210.24	4.2	3.008147	-0.087297	0.004991	0	0.005806	-0.212787	0.049268	2.954325E+9
5980.04	4	3.007851	-0.08783	0.006078	0	0.005772	-0.212787	0.049121	2.954326E+9
5741.05	3.8	3.006539	-0.087904	0.006419	0	0.005958	-0.212787	0.048428	2.954327E+9
5493.71	3.6	3.005655	-0.086832	0.005084	0	0.006048	-0.212787	0.049333	2.954328E+9
5238.46	3.4	3.004304	-0.087862	0.005795	0	0.007029	-0.212787	0.048504	2.954329E+9
4975.74	3.2	3.003063	-0.08768	0.006406	0	0.005918	-0.212787	0.048711	2.95433E+9
4705.98	3	3.001796	-0.088171	0.005702	0	0.005836	-0.212787	0.048832	2.954331E+9
4429.62	2.8	3.0001	-0.086764	0.007157	0	0.006314	-0.212787	0.048293	2.954332E+9
4147.09	2.6	2.998339	-0.087102	0.00546	0	0.005784	-0.212787	0.048386	2.954333E+9
3858.83	2.4	2.996887	-0.087271	0.005818	0	0.005827	-0.212787	0.048632	2.954334E+9
3565.29	2.2	2.995623	-0.087251	0.006295	0	0.005794	-0.212787	0.048754	2.954335E+9
3266.89	2	2.99393	-0.08808	0.006103	0	0.005879	-0.212787	0.048438	2.954336E+9
2964.07	1.8	2.992816	-0.087183	0.006049	0	0.006114	-0.212787	0.048675	2.954337E+9
2657.27	1.6	2.991299	-0.087677	0.00571	0	0.005953	-0.212787	0.048157	2.954338E+9
2346.93	1.4	2.989983	-0.087079	0.00509	0	0.005542	-0.212787	0.048261	2.954339E+9
2033.48	1.2	2.988765	-0.087758	0.004801	0	0.005447	-0.212787	0.048463	2.95434E+9
1717.37	1	2.987494	-0.087258	0.005768	0	0.005009	-0.212787	0.048662	2.954341E+9
1399.02	0.8	2.986656	-0.086686	0.005297	0	0.005267	-0.212787	0.048353	2.954342E+9
1078.87	0.6	2.985191	-0.086644	0.005651	0	0.005169	-0.212787	0.047976	2.954343E+9
757.37	0.4	2.984083	-0.087274	0.005197	0	0.004816	-0.212787	0.048544	2.954344E+9
434.94	0.2	2.97984	-0.086657	0.004794	0	0.005155	-0.212787	0.048035	2.954345E+9
112.03	0	2.977819	-0.088109	0.00513	0	0.004376	-0.212787	0.048592	2.954346E+9
-210.93	-0.2	2.972517	-0.086293	0.005541	0	0.00494	-0.212787	0.048049	2.954347E+9
-533.51	-0.4	2.961991	-0.086949	0.004811	0	0.004722	-0.212787	0.048233	2.954348E+9
-855.25	-0.6	2.940088	-0.085114	0.004392	0	0.003949	-0.212787	0.048366	2.954349E+9
-1175.74	-0.8	2.906904	-0.083899	0.003726	0	0.00425	-0.212787	0.047951	2.95435E+9
-1494.53	-1	2.848907	-0.08357	0.004503	0	0.004053	-0.212787	0.04823	2.954351E+9
-1811.18	-1.2	2.76295	-0.081066	0.004013	0	0.003889	-0.212787	0.048028	2.954352E+9
-2125.26	-1.4	2.625382	-0.07679	0.004035	0	0.00375	-0.212787	0.04809	2.954353E+9
-2436.33	-1.6	2.411552	-0.069929	0.003623	0	0.003413	-0.212787	0.047738	2.954354E+9
-2743.95	-1.8	2.115115	-0.059867	0.003458	0	0.003613	-0.212787	0.048097	2.954355E+9
