19/05/2022	16:57

Si\Pt3\(Co88Tb12)75\Pt3-20220518_APEJ8

Field	Kepco	Channel A	Channel B	Agilent	0	RF out	Monitor+	Monitor-	Time
8265.94	7	3.147524	0.288745	-0.000239	0	-0.002739	-0.212787	0.038289	2.956344E+9
8204.61	6.8	3.154626	0.238288	-0.001373	0	-0.002915	-0.212787	0.03822	2.956345E+9
8128.37	6.6	3.111586	0.289129	-0.001792	0	-0.001787	-0.212787	0.038262	2.956346E+9
8037.67	6.4	3.090683	0.262937	-0.002105	0	-0.001361	-0.212787	0.038279	2.956347E+9
7932.95	6.2	3.063354	0.285545	-0.001441	0	-0.003488	-0.212787	0.038285	2.956348E+9
7814.63	6	3.097879	0.298384	-0.002164	0	-0.002306	-0.212787	0.038292	2.956349E+9
7683.15	5.8	3.042874	0.304502	-0.001526	0	-0.003033	-0.212787	0.038307	2.95635E+9
7538.96	5.6	3.018485	0.272901	-0.001465	0	-0.002032	-0.212787	0.038306	2.956351E+9
7382.49	5.4	2.998544	0.319992	-0.002196	0	-0.002173	-0.212787	0.0383	2.956352E+9
7214.18	5.2	3.00651	0.305636	-0.000562	0	-0.001964	-0.212787	0.038258	2.956353E+9
7034.46	5	2.929636	0.290431	-0.0019	0	-0.00264	-0.212787	0.038238	2.956354E+9
6843.76	4.8	2.897022	0.265572	-0.003702	0	0.00022	-0.212787	0.038249	2.956355E+9
6642.54	4.6	2.914321	0.277323	-0.00122	0	-0.001956	-0.212787	0.038267	2.956356E+9
6431.22	4.4	2.869875	0.295175	-0.000927	0	-0.004044	-0.212787	0.038247	2.956357E+9
6210.24	4.2	2.874725	0.308004	-0.002646	0	-0.003142	-0.212787	0.038262	2.956358E+9
5980.04	4	2.859111	0.278395	-0.003195	0	-0.000494	-0.212787	0.03825	2.956359E+9
5741.05	3.8	2.83624	0.295194	-0.002699	0	-0.002889	-0.212787	0.03821	2.95636E+9
5493.71	3.6	2.86685	0.285087	-0.002108	0	-0.003037	-0.212787	0.038241	2.956361E+9
5238.46	3.4	2.857139	0.295392	-0.000661	0	-0.000186	-0.212787	0.038259	2.956362E+9
4975.74	3.2	2.847006	0.307579	-0.00064	0	-0.002897	-0.212787	0.038246	2.956363E+9
4705.98	3	2.845011	0.294314	-0.002838	0	-0.001998	-0.212787	0.038239	2.956364E+9
4429.62	2.8	2.850089	0.273375	-0.000976	0	-0.001564	-0.212787	0.038273	2.956365E+9
4147.09	2.6	2.821295	0.318023	0.001169	0	-0.001294	-0.212787	0.038279	2.956366E+9
3858.83	2.4	2.785198	0.306269	-0.002937	0	-0.002038	-0.212787	0.038242	2.956367E+9
3565.29	2.2	2.745429	0.296835	-0.002253	0	-0.00068	-0.212787	0.038299	2.956368E+9
3266.89	2	2.730371	0.302264	-0.000605	0	-0.001118	-0.212787	0.038278	2.956369E+9
2964.07	1.8	2.677763	0.294255	-0.001034	0	-0.003054	-0.212787	0.03824	2.95637E+9
2657.27	1.6	2.653146	0.297234	-0.001521	0	-0.000332	-0.212787	0.038195	2.956371E+9
2346.93	1.4	2.588622	0.321756	-0.001569	0	0.00016	-0.212787	0.038195	2.956372E+9
2033.48	1.2	2.539354	0.309684	-0.001558	0	-0.002691	-0.212787	0.038199	2.956373E+9
1717.37	1	2.533428	0.320947	-0.002352	0	-0.002317	-0.212787	0.038272	2.956374E+9
1399.02	0.8	2.503961	0.31111	-0.001239	0	0.000703	-0.212787	0.038243	2.956375E+9
1078.87	0.6	2.446269	0.307887	-0.000132	0	-0.001731	-0.212787	0.038257	2.956376E+9
757.37	0.4	2.395025	0.303904	-0.001915	0	-0.001348	-0.212787	0.038246	2.956377E+9
434.94	0.2	2.351807	0.302663	-0.003011	0	-0.003609	-0.212787	0.038256	2.956378E+9
112.03	0	2.280369	0.318319	-0.001267	0	-0.002413	-0.212787	0.038252	2.956379E+9
-210.93	-0.2	2.236935	0.324813	-0.000984	0	-0.001855	-0.212787	0.038265	2.95638E+9
