25/05/2022	20:40

Si\Ta3\(Co85Tb15)75\Pt3-20220525_APEJ2

Field	Kepco	Channel A	Channel B	Agilent	0	RF out	Monitor+	Monitor-	Time
7814.63	6	-0.123128	0.096342	-0.005751	0	-0.005159	-0.212787	0.090312	3.487383E+9
7717.23	5.85	-0.115548	0.097576	-0.004707	0	-0.005365	-0.212787	0.090814	3.487383E+9
7612.62	5.7	-0.093853	0.099714	-0.006176	0	-0.005101	-0.212787	0.090752	3.487384E+9
7500.98	5.55	-0.09744	0.091956	-0.005398	0	-0.00505	-0.212787	0.090869	3.487384E+9
7382.49	5.4	-0.100279	0.095874	-0.005166	0	-0.004687	-0.212787	0.090644	3.487385E+9
7257.34	5.25	-0.088541	0.08668	-0.005412	0	-0.004892	-0.212787	0.090373	3.487385E+9
7125.71	5.1	-0.083947	0.091033	-0.005788	0	-0.004964	-0.212787	0.090807	3.487385E+9
6987.79	4.95	-0.084639	0.087882	-0.005056	0	-0.004421	-0.212787	0.090761	3.487386E+9
6843.76	4.8	-0.077485	0.095117	-0.005227	0	-0.004815	-0.212787	0.090705	3.487386E+9
6693.81	4.65	-0.078392	0.083441	-0.004329	0	-0.004489	-0.212787	0.090214	3.487387E+9
6538.11	4.5	-0.063204	0.097196	-0.005257	0	-0.004759	-0.212787	0.090804	3.487387E+9
6376.86	4.35	-0.06323	0.092167	-0.005084	0	-0.004826	-0.212787	0.090463	3.487387E+9
6210.24	4.2	-0.055199	0.087495	-0.00512	0	-0.004604	-0.212787	0.09011	3.487388E+9
6038.43	4.05	-0.062765	0.089805	-0.005182	0	-0.005153	-0.212787	0.090121	3.487388E+9
5861.61	3.9	-0.062638	0.096303	-0.005819	0	-0.00489	-0.212787	0.090784	3.487389E+9
5679.98	3.75	-0.048834	0.092053	-0.004985	0	-0.005039	-0.212787	0.09074	3.487389E+9
5493.71	3.6	-0.05527	0.087706	-0.005088	0	-0.004982	-0.212787	0.090162	3.487389E+9
5302.99	3.45	-0.053448	0.083356	-0.005088	0	-0.004449	-0.212787	0.090794	3.48739E+9
5108.01	3.3	-0.050442	0.090263	-0.005458	0	-0.004908	-0.212787	0.09012	3.48739E+9
4908.94	3.15	-0.042613	0.088944	-0.005031	0	-0.004436	-0.212787	0.090353	3.487391E+9
4705.98	3	-0.045238	0.089249	-0.00529	0	-0.00502	-0.212787	0.090637	3.487391E+9
4499.3	2.85	-0.047034	0.083444	-0.005412	0	-0.004545	-0.212787	0.09053	3.487391E+9
4289.09	2.7	-0.035865	0.073658	-0.004648	0	-0.004589	-0.212787	0.090481	3.487392E+9
4075.54	2.55	-0.03812	0.085936	-0.005061	0	-0.004859	-0.212787	0.090506	3.487392E+9
3858.83	2.4	-0.044773	0.096608	-0.004836	0	-0.004896	-0.212787	0.090687	3.487393E+9
3639.15	2.25	-0.045075	0.090195	-0.005143	0	-0.00466	-0.212787	0.090774	3.487393E+9
3416.67	2.1	-0.038662	0.085481	-0.004907	0	-0.005113	-0.212787	0.090435	3.487393E+9
3191.58	1.95	-0.035943	0.098216	-0.005417	0	-0.004668	-0.212787	0.090848	3.487394E+9
2964.07	1.8	-0.042486	0.090734	-0.004502	0	-0.004589	-0.212787	0.090186	3.487394E+9
2734.32	1.65	-0.040241	0.090734	-0.004848	0	-0.004968	-0.212787	0.090671	3.487395E+9
2502.52	1.5	-0.037645	0.094262	-0.004939	0	-0.004905	-0.212787	0.09013	3.487395E+9
2268.84	1.35	-0.038984	0.092099	-0.005282	0	-0.005258	-0.212787	0.090167	3.487395E+9
2033.48	1.2	-0.041563	0.084724	-0.0054	0	-0.005171	-0.212787	0.090654	3.487396E+9
1796.62	1.05	-0.035751	0.085867	-0.005107	0	-0.004905	-0.212787	0.090672	3.487396E+9
1558.44	0.9	-0.039338	0.086163	-0.005	0	-0.005001	-0.212787	0.090735	3.487397E+9
1319.13	0.75	-0.037018	0.090763	-0.005065	0	-0.005118	-0.212787	0.090239	3.487397E+9
1078.87	0.6	-0.036872	0.085546	-0.00519	0	-0.005199	-0.212787	0.090166	3.487397E+9
837.85	0.45	-0.043786	0.079412	-0.00474	0	-0.004886	-0.212787	0.090429	3.487398E+9
596.24	0.3	-0.037993	0.082066	-0.005117	0	-0.004984	-0.212787	0.090821	3.487398E+9
354.24	0.15	-0.040329	0.081638	-0.005074	0	-0.004671	-0.212787	0.090181	3.487399E+9
112.03	0	-0.0354	0.083385	-0.004766	0	-0.0056	-0.212787	0.090133	3.487399E+9
-130.21	-0.15	-0.036131	0.084769	-0.005304	0	-0.005432	-0.212787	0.090829	3.487399E+9
-372.3	-0.3	-0.033009	0.080224	-0.004948	0	-0.005203	-0.212787	0.090567	3.4874E+9
-614.04	-0.45	-0.035436	0.083093	-0.005388	0	-0.004884	-0.212787	0.09065	3.4874E+9
-855.25	-0.6	-0.029156	0.083671	-0.005647	0	-0.005025	-0.212787	0.090784	3.487401E+9
-1095.76	-0.75	-0.034046	0.087073	-0.005345	0	-0.005415	-0.212787	0.090174	3.487401E+9
-1335.37	-0.9	-0.036573	0.091628	-0.005187	0	-0.005035	-0.212787	0.090855	3.487401E+9
-1573.91	-1.05	-0.037301	0.07973	-0.005494	0	-0.0055	-0.212787	0.090332	3.487402E+9
-1811.18	-1.2	-0.041024	0.08566	-0.005677	0	-0.005867	-0.212787	0.090137	3.487402E+9
-2047	-1.35	-0.043766	0.080484	-0.005528	0	-0.005214	-0.212787	0.090165	3.487403E+9
-2281.19	-1.5	-0.043438	0.082216	-0.006016	0	-0.005371	-0.212787	0.090169	3.487403E+9
-2513.57	-1.65	-0.036846	0.082531	-0.00564	0	-0.005591	-0.212787	0.090231	3.487403E+9
