24/05/2022	09:50

Si\Ta3\(Co88Tb12)50\Pt3-20220523_APEJ2

Field	Kepco	Channel A	Channel B	Agilent	0	RF out	Monitor+	Monitor-	Time
5980.04	4	6.041309	-0.556973	0.001926	0	0.002296	-0.212787	0.023511	3.362716E+9
5861.61	3.9	6.044389	-0.554529	0.001621	0	0.002016	-0.212787	0.023493	3.362717E+9
5741.05	3.8	6.049041	-0.557479	0.002418	0	0.002199	-0.212787	0.023617	3.362718E+9
5618.4	3.7	6.051732	-0.555501	0.002313	0	0.002299	-0.212787	0.023561	3.362719E+9
5493.71	3.6	6.050322	-0.556752	0.002275	0	0.002204	-0.212787	0.023492	3.36272E+9
5367.05	3.5	6.048336	-0.555111	0.002243	0	0.001995	-0.212787	0.023535	3.362721E+9
5238.46	3.4	6.050572	-0.558503	0.002346	0	0.002014	-0.212787	0.023512	3.362722E+9
5108.01	3.3	6.055711	-0.558207	0.002681	0	0.002078	-0.212787	0.023577	3.362723E+9
4975.74	3.2	6.05627	-0.558659	0.002635	0	0.0023	-0.212787	0.023565	3.362724E+9
4841.71	3.1	6.055806	-0.558155	0.00184	0	0.00224	-0.212787	0.023496	3.362725E+9
4705.98	3	6.058239	-0.559484	0.002067	0	0.002273	-0.212787	0.023534	3.362726E+9
4568.59	2.9	6.058392	-0.559932	0.001752	0	0.002181	-0.212787	0.023543	3.362727E+9
4429.62	2.8	6.060783	-0.559727	0.002105	0	0.002259	-0.212787	0.02357	3.362728E+9
4289.09	2.7	6.06011	-0.558181	0.001854	0	0.002277	-0.212787	0.023581	3.362729E+9
4147.09	2.6	6.062706	-0.556047	0.002086	0	0.002289	-0.212787	0.023538	3.36273E+9
4003.65	2.5	6.060094	-0.557512	0.001879	0	0.002195	-0.212787	0.023495	3.362731E+9
3858.83	2.4	6.060146	-0.555641	0.001914	0	0.002192	-0.212787	0.023563	3.362732E+9
3712.69	2.3	6.058648	-0.557434	0.002478	0	0.002136	-0.212787	0.023607	3.362733E+9
3565.29	2.2	6.058538	-0.55899	0.002248	0	0.002326	-0.212787	0.023543	3.362734E+9
3416.67	2.1	6.064574	-0.559185	0.002287	0	0.002172	-0.212787	0.023524	3.362735E+9
3266.89	2	6.063109	-0.559104	0.002269	0	0.002113	-0.212787	0.023541	3.362736E+9
3116	1.9	6.067596	-0.561677	0.002427	0	0.002325	-0.212787	0.023562	3.362737E+9
2964.07	1.8	6.067992	-0.562015	0.002478	0	0.002264	-0.212787	0.023594	3.362738E+9
2811.14	1.7	6.068398	-0.559854	0.00242	0	0.00227	-0.212787	0.023572	3.362739E+9
2657.27	1.6	6.069873	-0.556336	0.002183	0	0.00211	-0.212787	0.023572	3.36274E+9
2502.52	1.5	6.0696	-0.558841	0.001961	0	0.002142	-0.212787	0.023556	3.362741E+9
2346.93	1.4	6.066562	-0.560962	0.00215	0	0.002267	-0.212787	0.023521	3.362742E+9
2190.57	1.3	6.065581	-0.554965	0.002049	0	0.002146	-0.212787	0.023555	3.362743E+9
2033.48	1.2	6.065302	-0.561011	0.001731	0	0.002133	-0.212787	0.023536	3.362744E+9
1875.73	1.1	6.063999	-0.559935	0.001672	0	0.002116	-0.212787	0.023575	3.362745E+9
1717.37	1	6.066241	-0.557421	0.001872	0	0.002181	-0.212787	0.023586	3.362746E+9
1558.44	0.9	6.064168	-0.560514	0.002592	0	0.002057	-0.212787	0.023572	3.362747E+9
1399.02	0.8	6.066296	-0.558249	0.002055	0	0.002242	-0.212787	0.023574	3.362748E+9
1239.14	0.7	6.067891	-0.557645	0.002264	0	0.002074	-0.212787	0.023584	3.362749E+9
1078.87	0.6	6.070987	-0.556934	0.002206	0	0.002252	-0.212787	0.023609	3.36275E+9
918.26	0.5	6.0719	-0.559958	0.002661	0	0.00214	-0.212787	0.023549	3.362751E+9
757.37	0.4	6.077696	-0.55951	0.002684	0	0.00196	-0.212787	0.023598	3.362752E+9
596.24	0.3	6.077647	-0.563827	0.002556	0	0.002184	-0.212787	0.023602	3.362753E+9
434.94	0.2	6.078187	-0.558145	0.001993	0	0.002049	-0.212787	0.023554	3.362754E+9
273.52	0.1	6.078336	-0.56106	0.001921	0	0.002204	-0.212787	0.023624	3.362755E+9
