16/05/2022	13:29

Si\Ta3\(Co88Tb12)88\Pt3-20220511_APEJ5

Field	Kepco	Channel A	Channel B	Agilent	0	RF out	Monitor+	Monitor-	Time
8265.94	7	-2.938782	-3.941861	0.00083	0	0.001367	-0.212787	0.03307	2.684712E+9
8186.93	6.75	-2.887971	-4.034845	0.001597	0	0.001246	-0.212787	0.03309	2.684713E+9
8084.8	6.5	-2.92707	-4.009992	0.000944	0	0.001006	-0.212787	0.033059	2.684714E+9
7960.42	6.25	-2.85918	-3.95153	0.000738	0	0.001445	-0.212787	0.033085	2.684715E+9
7814.63	6	-2.923656	-3.976542	0.001421	0	0.001743	-0.212787	0.033094	2.684716E+9
7648.28	5.75	-2.821286	-3.909692	0.001379	0	0.000935	-0.212787	0.033116	2.684717E+9
7462.23	5.5	-2.933435	-3.994602	0.001236	0	0.001263	-0.212787	0.033078	2.684718E+9
7257.34	5.25	-2.898104	-3.984258	0.001009	0	0.001506	-0.212787	0.033104	2.684719E+9
7034.46	5	-2.866958	-3.918077	0.00148	0	0.001259	-0.212787	0.033149	2.68472E+9
6794.43	4.75	-2.900421	-3.906605	0.001042	0	0.000998	-0.212787	0.033111	2.684721E+9
6538.11	4.5	-2.842299	-3.864988	0.000859	0	0.001517	-0.212787	0.033086	2.684722E+9
6266.37	4.25	-2.797105	-3.821746	0.001123	0	0.001699	-0.212787	0.033166	2.684723E+9
5980.04	4	-2.744517	-3.74884	0.001185	0	0.001144	-0.212787	0.033149	2.684724E+9
5679.98	3.75	-2.681266	-3.652714	0.00156	0	0.00084	-0.212787	0.033126	2.684725E+9
5367.05	3.5	-2.684944	-3.720098	0.001163	0	0.001092	-0.212787	0.033203	2.684726E+9
5042.1	3.25	-2.554092	-3.595457	0.000687	0	0.001222	-0.212787	0.03314	2.684727E+9
4705.98	3	-2.371327	-3.460846	0.001011	0	0.001105	-0.212787	0.033176	2.684728E+9
4359.54	2.75	-2.354514	-3.332005	0.000653	0	0.000935	-0.212787	0.033171	2.684729E+9
4003.65	2.5	-2.184339	-3.209512	0.000475	0	0.001319	-0.212787	0.033174	2.68473E+9
3639.15	2.25	-1.959496	-2.931486	0.000591	0	0.000878	-0.212787	0.033237	2.684731E+9
3266.89	2	-1.772583	-2.811244	0.001421	0	0.000709	-0.212787	0.0332	2.684732E+9
2887.73	1.75	-1.575637	-2.7002	0.001073	0	-0.0009	-0.212787	0.033195	2.684733E+9
2502.52	1.5	-1.599434	-2.572918	0.000507	0	0.000369	-0.212787	0.033158	2.684734E+9
2112.11	1.25	-1.358676	-2.384446	0.000476	0	0.000761	-0.212787	0.033178	2.684735E+9
1717.37	1	-1.219932	-2.239815	0.001149	0	0.000833	-0.212787	0.033193	2.684736E+9
1319.13	0.75	-1.073892	-2.06348	0.000114	0	-0.000153	-0.212787	0.033205	2.684737E+9
918.26	0.5	-0.85286	-1.81893	0.00028	0	-0.00016	-0.212787	0.033227	2.684738E+9
515.61	0.25	-0.545693	-1.603557	8E-5	0	0.000485	-0.212787	0.033199	2.684739E+9
112.03	0	-0.444886	-1.403301	-0.000432	0	0.00011	-0.212787	0.033187	2.68474E+9
-291.63	-0.25	-0.25254	-1.203925	-0.000459	0	5.5E-5	-0.212787	0.033193	2.684741E+9
-694.51	-0.5	-0.020297	-1.082628	0.00028	0	0.000437	-0.212787	0.033225	2.684742E+9
-1095.76	-0.75	0.029403	-1.082563	0.00062	0	0.000523	-0.212787	0.033159	2.684743E+9
-1494.53	-1	0.135434	-0.964174	0.000367	0	0.00067	-0.212787	0.033137	2.684744E+9
-1889.96	-1.25	0.250383	-0.891706	0.00038	0	0.000824	-0.212787	0.033156	2.684745E+9
-2281.19	-1.5	0.295665	-0.758863	0.001137	0	0.000599	-0.212787	0.033205	2.684746E+9
-2667.39	-1.75	0.385433	-0.682116	0.000208	0	0.00056	-0.212787	0.033187	2.684747E+9
-3047.69	-2	0.435282	-0.650463	0.000859	0	0.001147	-0.212787	0.033211	2.684748E+9
-3421.24	-2.25	0.506525	-0.571644	0.000814	0	0.000805	-0.212787	0.033193	2.684749E+9
-3787.18	-2.5	0.672731	-0.536989	0.000999	0	0.000981	-0.212787	0.033133	2.68475E+9
-4144.67	-2.75	0.655821	-0.494768	0.000544	0	0.001353	-0.212787	0.033131	2.684751E+9
-4492.85	-3	0.815369	-0.352876	0.001354	0	0.001343	-0.212787	0.033147	2.684752E+9
-4830.87	-3.25	0.762498	-0.425123	0.001033	0	0.001195	-0.212787	0.033162	2.684753E+9
-5157.87	-3.5	0.779853	-0.236212	0.001143	0	0.001068	-0.212787	0.033134	2.684754E+9
-5473	-3.75	0.921657	-0.238317	0.001152	0	0.000786	-0.212787	0.033145	2.684755E+9
-5775.41	-4	0.942716	-0.204822	0.001118	0	0.001821	-0.212787	0.033159	2.684756E+9
-6064.24	-4.25	0.961075	-0.102985	0.00103	0	0.00132	-0.212787	0.033129	2.684757E+9
-6338.64	-4.5	1.077457	-0.164924	0.00103	0	0.001166	-0.212787	0.033116	2.684758E+9
-6597.76	-4.75	1.078837	-0.043727	0.000484	0	0.001332	-0.212787	0.033112	2.684759E+9
-6840.75	-5	1.149463	-0.097589	0.00199	0	0.001191	-0.212787	0.033136	2.68476E+9
-7066.75	-5.25	1.132524	-0.092846	0.001846	0	0.001914	-0.212787	0.033155	2.684761E+9
-7274.9	-5.5	1.002494	-0.074136	0.002537	0	0.001391	-0.212787	0.033115	2.684762E+9
-7464.36	-5.75	1.02403	-0.04951	0.002032	0	0.001777	-0.212787	0.033172	2.684763E+9
-7634.28	-6	1.139392	-0.148803	0.001137	0	0.002065	-0.212787	0.033095	2.684764E+9
-7783.79	-6.25	1.153193	-0.064753	0.002622	0	0.001344	-0.212787	0.033157	2.684765E+9
-7912.04	-6.5	1.041369	-0.067554	0.002502	0	0.001239	-0.212787	0.033105	2.684766E+9
-8018.19	-6.75	1.121023	-0.114272	0.002305	0	0.001249	-0.212787	0.033162	2.684767E+9
-8101.38	-7	1.01865	-0.063096	0.001966	0	0.001852	-0.212787	0.033136	2.684768E+9
-8018.19	-6.75	1.098369	-0.118073	0.002629	0	0.001293	-0.212787	0.033124	2.684769E+9
-7912.04	-6.5	1.028858	-0.19643	0.002941	0	0.000847	-0.212787	0.033149	2.68477E+9
-7783.79	-6.25	0.951523	-0.164628	0.001897	0	0.001865	-0.212787	0.033095	2.684771E+9
-7634.28	-6	1.03134	-0.157575	0.002349	0	0.001599	-0.212787	0.033114	2.684772E+9
-7464.36	-5.75	0.812507	-0.320879	0.001987	0	0.001756	-0.212787	0.033139	2.684773E+9
-7274.9	-5.5	0.949805	-0.303374	0.002074	0	0.001521	-0.212787	0.033173	2.684774E+9
-7066.75	-5.25	0.859452	-0.383665	0.00119	0	0.001714	-0.212787	0.033128	2.684775E+9
-6840.75	-5	0.849644	-0.325382	0.001745	0	0.001533	-0.212787	0.03306	2.684776E+9
-6597.76	-4.75	0.759071	-0.457949	0.001487	0	0.001717	-0.212787	0.033133	2.684777E+9
