16/05/2022	14:27

Si\Ta3\(Co88Tb12)150\Pt3-20220511_APEJ6

Field	Kepco	Channel A	Channel B	Agilent	0	RF out	Monitor+	Monitor-	Time
8265.94	7	5.528133	0.468287	-0.001681	0	-0.001271	-0.212787	0.015095	2.68815E+9
8186.93	6.75	5.498722	-0.047564	-0.001593	0	-0.001226	-0.212787	0.01505	2.688151E+9
8084.8	6.5	4.667207	-0.040326	-0.001463	0	-0.001504	-0.212787	0.015052	2.688152E+9
7960.42	6.25	5.298574	-0.066449	-0.001747	0	-0.001572	-0.212787	0.015069	2.688153E+9
7814.63	6	5.045624	-0.258716	-0.002402	0	-0.001508	-0.212787	0.015074	2.688154E+9
7648.28	5.75	4.494526	-0.135428	-0.001854	0	-0.001109	-0.212787	0.015064	2.688155E+9
7462.23	5.5	3.632575	-1.079844	-0.002072	0	-0.001529	-0.212787	0.015073	2.688156E+9
7257.34	5.25	4.176122	-1.077726	-0.002025	0	-0.001486	-0.212787	0.015104	2.688157E+9
7034.46	5	3.595542	-1.0299	-0.002343	0	-0.001364	-0.212787	0.015063	2.688158E+9
6794.43	4.75	3.598872	-1.228373	-0.002197	0	-0.001423	-0.212787	0.015124	2.688159E+9
6538.11	4.5	3.356101	-1.315499	-0.002207	0	-0.001519	-0.212787	0.015003	2.68816E+9
6266.37	4.25	2.75127	-1.275383	-0.002528	0	-0.001187	-0.212787	0.015042	2.688161E+9
5980.04	4	2.610863	-1.960402	-0.002125	0	-0.001174	-0.212787	0.015079	2.688162E+9
5679.98	3.75	2.575133	-1.728253	-0.002106	0	-0.001562	-0.212787	0.015006	2.688163E+9
5367.05	3.5	3.033761	-1.998257	-0.002064	0	-0.001455	-0.212787	0.015095	2.688164E+9
5042.1	3.25	2.648783	-1.49418	-0.002294	0	-0.001543	-0.212787	0.015016	2.688165E+9
4705.98	3	2.139393	-1.773911	-0.002508	0	-0.001354	-0.212787	0.015062	2.688166E+9
4359.54	2.75	2.362856	-2.228116	-0.002218	0	-0.001505	-0.212787	0.01504	2.688167E+9
4003.65	2.5	2.195776	-1.728464	-0.001928	0	-0.001539	-0.212787	0.01506	2.688168E+9
3639.15	2.25	1.810988	-1.745488	-0.001967	0	-0.001604	-0.212787	0.015084	2.688169E+9
3266.89	2	2.055964	-2.050839	-0.001799	0	-0.001347	-0.212787	0.01511	2.68817E+9
2887.73	1.75	2.031802	-1.813937	-0.001878	0	-0.001551	-0.212787	0.015123	2.688171E+9
2502.52	1.5	1.914742	-2.20183	-0.002105	0	-0.001528	-0.212787	0.015148	2.688172E+9
2112.11	1.25	1.270699	-1.838816	-0.002013	0	-0.001719	-0.212787	0.015132	2.688173E+9
1717.37	1	1.097609	-2.133882	-0.001943	0	-0.00151	-0.212787	0.015034	2.688174E+9
1319.13	0.75	0.472764	-2.390891	-0.001782	0	-0.001791	-0.212787	0.015078	2.688175E+9
918.26	0.5	0.238519	-2.492601	-0.001964	0	-0.001463	-0.212787	0.01507	2.688176E+9
515.61	0.25	0.550417	-2.802056	-0.002034	0	-0.001733	-0.212787	0.015087	2.688177E+9
112.03	0	-0.02144	-2.698387	-0.001971	0	-0.0017	-0.212787	0.015066	2.688178E+9
-291.63	-0.25	0.509248	-2.807021	-0.001881	0	-0.00169	-0.212787	0.015127	2.688179E+9
-694.51	-0.5	-0.438271	-3.07108	-0.002083	0	-0.00172	-0.212787	0.015141	2.68818E+9
-1095.76	-0.75	-0.519488	-2.988262	-0.001683	0	-0.001528	-0.212787	0.015087	2.688181E+9
-1494.53	-1	-0.716807	-3.173613	-0.001977	0	-0.001349	-0.212787	0.015125	2.688182E+9
-1889.96	-1.25	-0.83737	-3.450352	-0.001953	0	-0.001463	-0.212787	0.015126	2.688183E+9
-2281.19	-1.5	-1.096819	-3.460602	-0.001911	0	-0.001538	-0.212787	0.015151	2.688184E+9
-2667.39	-1.75	-1.0294	-3.650414	-0.001759	0	-0.001557	-0.212787	0.015144	2.688185E+9
-3047.69	-2	-0.847431	-3.773177	-0.001732	0	-0.001525	-0.212787	0.015148	2.688186E+9
-3421.24	-2.25	-1.921339	-3.820028	-0.001952	0	-0.00146	-0.212787	0.015133	2.688187E+9
-3787.18	-2.5	-1.512409	-3.901781	-0.001852	0	-0.001755	-0.212787	0.015103	2.688188E+9
-4144.67	-2.75	-1.415491	-3.766962	-0.002029	0	-0.001435	-0.212787	0.015151	2.688189E+9
-4492.85	-3	-1.184761	-3.491323	-0.001705	0	-0.001685	-0.212787	0.015051	2.68819E+9
-4830.87	-3.25	-1.612348	-3.625479	-0.002035	0	-0.001908	-0.212787	0.015115	2.688191E+9
-5157.87	-3.5	-1.542398	-3.466483	-0.001943	0	-0.001574	-0.212787	0.015055	2.688192E+9
-5473	-3.75	-1.437235	-3.818173	-0.00205	0	-0.001665	-0.212787	0.015124	2.688193E+9
-5775.41	-4	-1.205072	-3.602351	-0.001814	0	-0.001391	-0.212787	0.015084	2.688194E+9
-6064.24	-4.25	-1.226862	-3.324474	-0.00206	0	-0.001851	-0.212787	0.015048	2.688195E+9
-6338.64	-4.5	-1.569425	-3.55936	-0.002296	0	-0.001569	-0.212787	0.01508	2.688196E+9
-6597.76	-4.75	-1.43971	-3.202312	-0.001902	0	-0.00161	-0.212787	0.015054	2.688197E+9
-6840.75	-5	-1.059123	-3.398284	-0.001945	0	-0.001654	-0.212787	0.015048	2.688198E+9
-7066.75	-5.25	-1.285353	-3.441386	-0.001707	0	-0.001501	-0.212787	0.015023	2.688199E+9
-7274.9	-5.5	-1.247362	-3.754285	-0.002227	0	-0.001537	-0.212787	0.015067	2.6882E+9
-7464.36	-5.75	-1.416875	-3.339006	-0.002397	0	-0.001429	-0.212787	0.015039	2.688201E+9
-7634.28	-6	-1.619791	-3.565649	-0.001816	0	-0.00165	-0.212787	0.015047	2.688202E+9
-7783.79	-6.25	-1.255422	-3.160325	-0.002198	0	-0.001678	-0.212787	0.015108	2.688203E+9
-7912.04	-6.5	-1.470779	-3.184464	-0.00199	0	-0.001869	-0.212787	0.015066	2.688204E+9
-8018.19	-6.75	-1.48557	-3.333892	-0.001952	0	-0.001682	-0.212787	0.014995	2.688205E+9
-8101.38	-7	-1.627962	-3.814011	-0.002194	0	-0.001522	-0.212787	0.015097	2.688206E+9
-8018.19	-6.75	-1.48007	-3.286447	-0.002037	0	-0.001758	-0.212787	0.015006	2.688207E+9
-7912.04	-6.5	-1.848946	-3.917931	-0.001946	0	-0.00187	-0.212787	0.015083	2.688208E+9
-7783.79	-6.25	-1.73782	-3.640404	-0.002127	0	-0.001692	-0.212787	0.015025	2.688209E+9
-7634.28	-6	-1.295763	-3.356043	-0.001817	0	-0.001522	-0.212787	0.01507	2.68821E+9
-7464.36	-5.75	-1.352152	-3.223703	-0.002121	0	-0.001679	-0.212787	0.015088	2.688211E+9
-7274.9	-5.5	-1.336889	-3.702346	-0.002327	0	-0.001642	-0.212787	0.015066	2.688212E+9
-7066.75	-5.25	-1.267505	-3.101141	-0.002226	0	-0.001614	-0.212787	0.01503	2.688213E+9
-6840.75	-5	-1.276777	-3.137817	-0.002158	0	-0.001884	-0.212787	0.015101	2.688214E+9
-6597.76	-4.75	-0.682253	-3.375906	-0.001894	0	-0.002066	-0.212787	0.015126	2.688215E+9
-6338.64	-4.5	-1.589906	-3.260398	-0.002302	0	-0.001685	-0.212787	0.015035	2.688216E+9
-6064.24	-4.25	-0.681502	-3.103269	-0.001977	0	-0.001595	-0.212787	0.01507	2.688217E+9
-5775.41	-4	-0.689842	-3.233663	-0.002023	0	-0.001823	-0.212787	0.015107	2.688218E+9
-5473	-3.75	-1.329118	-2.942138	-0.001854	0	-0.002139	-0.212787	0.015122	2.688219E+9
-5157.87	-3.5	-1.376976	-3.722801	-0.002316	0	-0.001706	-0.212787	0.015003	2.68822E+9
-4830.87	-3.25	-1.452118	-3.668445	-0.002096	0	-0.001889	-0.212787	0.015114	2.688221E+9
-4492.85	-3	-1.489999	-3.432919	-0.001977	0	-0.001996	-0.212787	0.015113	2.688222E+9
-4144.67	-2.75	-1.809596	-3.556166	-0.001929	0	-0.001817	-0.212787	0.015169	2.688223E+9
-3787.18	-2.5	-1.925179	-3.672516	-0.001951	0	-0.001851	-0.212787	0.015179	2.688224E+9
-3421.24	-2.25	-2.575378	-3.471889	-0.002096	0	-0.001744	-0.212787	0.015108	2.688225E+9
-3047.69	-2	-1.998683	-3.974323	-0.002104	0	-0.001935	-0.212787	0.01515	2.688226E+9
-2667.39	-1.75	-1.279148	-4.403735	-0.002013	0	-0.001938	-0.212787	0.015089	2.688227E+9
-2281.19	-1.5	-1.68852	-3.633257	-0.001885	0	-0.002064	-0.212787	0.015092	2.688228E+9
-1889.96	-1.25	-2.13817	-2.849281	-0.00183	0	-0.001753	-0.212787	0.015127	2.688229E+9
-1494.53	-1	-1.641679	-3.523746	-0.001646	0	-0.0019	-0.212787	0.015105	2.68823E+9
-1095.76	-0.75	-1.816451	-4.093425	-0.001989	0	-0.001872	-0.212787	0.015133	2.688231E+9
-694.51	-0.5	-1.710397	-3.700377	-0.001887	0	-0.001974	-0.212787	0.015127	2.688232E+9
-291.63	-0.25	-2.100617	-3.872376	-0.001738	0	-0.001697	-0.212787	0.015123	2.688233E+9
112.03	0	-2.212577	-4.119418	-0.001713	0	-0.002002	-0.212787	0.015123	2.688234E+9
515.61	0.25	-1.967589	-4.109259	-0.001887	0	-0.00184	-0.212787	0.015093	2.688235E+9
918.26	0.5	-1.948681	-3.672389	-0.00212	0	-0.001823	-0.212787	0.015073	2.688236E+9
1319.13	0.75	-1.451299	-3.170822	-0.001861	0	-0.001724	-0.212787	0.015145	2.688237E+9
1717.37	1	-1.273525	-3.591058	-0.001401	0	-0.002017	-0.212787	0.015119	2.688238E+9
2112.11	1.25	-1.296156	-3.588641	-0.001814	0	-0.001828	-0.212787	0.015158	2.688239E+9
2502.52	1.5	-0.939402	-2.689797	-0.002069	0	-0.001903	-0.212787	0.015083	2.68824E+9
2887.73	1.75	-0.810187	-3.482499	-0.002339	0	-0.001499	-0.212787	0.01514	2.688241E+9
3266.89	2	-0.683341	-3.089774	-0.00216	0	-0.001714	-0.212787	0.015121	2.688242E+9
3639.15	2.25	-0.021431	-3.518623	-0.001882	0	-0.002242	-0.212787	0.015093	2.688243E+9
4003.65	2.5	-0.083934	-2.941521	-0.001748	0	-0.002017	-0.212787	0.015096	2.688244E+9
4359.54	2.75	0.284262	-2.525548	-0.002241	0	-0.001634	-0.212787	0.015035	2.688245E+9
4705.98	3	1.132199	-2.504005	-0.00235	0	-0.001353	-0.212787	0.015033	2.688246E+9
5042.1	3.25	1.171626	-1.938067	-0.001653	0	-0.001722	-0.212787	0.015156	2.688247E+9
5367.05	3.5	1.737214	-1.630028	-0.002209	0	-0.001952	-0.212787	0.015064	2.688248E+9
5679.98	3.75	1.394894	-2.149456	-0.00202	0	-0.001835	-0.212787	0.015028	2.688249E+9
5980.04	4	2.29582	-2.041638	-0.002008	0	-0.00154	-0.212787	0.015081	2.68825E+9
6266.37	4.25	2.269602	-2.134337	-0.002342	0	-0.001487	-0.212787	0.015037	2.688251E+9
6538.11	4.5	1.833291	-1.548214	-0.00229	0	-0.001967	-0.212787	0.015052	2.688252E+9
6794.43	4.75	2.500904	-1.351886	-0.00217	0	-0.001673	-0.212787	0.01505	2.688253E+9
7034.46	5	2.550494	-1.038864	-0.001847	0	-0.001873	-0.212787	0.015039	2.688254E+9
7257.34	5.25	3.056775	-1.098063	-0.00233	0	-0.001834	-0.212787	0.015037	2.688255E+9
7462.23	5.5	3.498481	-0.596221	-0.002223	0	-0.001602	-0.212787	0.015067	2.688256E+9
7648.28	5.75	3.607576	-0.808027	-0.002318	0	-0.001603	-0.212787	0.015045	2.688257E+9
7814.63	6	3.75388	-0.668296	-0.00218	0	-0.001623	-0.212787	0.015018	2.688258E+9
7960.42	6.25	3.980426	-0.820583	-0.001978	0	-0.00165	-0.212787	0.015053	2.688259E+9
8084.8	6.5	3.667364	-0.843822	-0.00177	0	-0.001897	-0.212787	0.015065	2.68826E+9
8186.93	6.75	4.340538	-0.820476	-0.002345	0	-0.001624	-0.212787	0.015035	2.688261E+9
8265.94	7	3.314692	-0.63869	-0.002479	0	-0.001509	-0.212787	0.015039	2.688262E+9
