16/05/2022	14:14

Si\Ta3\(Co88Tb12)150\Pt3-20220511_APEJ6

Field	Kepco	Channel A	Channel B	Agilent	0	RF out	Monitor+	Monitor-	Time
8265.94	7	-3.287097	4.669059	0.003894	0	0.004502	-0.212787	0.026906	2.687372E+9
8186.93	6.75	-3.272003	4.632156	0.004479	0	0.00419	-0.212787	0.026941	2.687372E+9
8084.8	6.5	-3.258228	4.637945	0.003986	0	0.004367	-0.212787	0.026929	2.687373E+9
7960.42	6.25	-3.260079	4.624774	0.004281	0	0.00442	-0.212787	0.026995	2.687374E+9
7814.63	6	-3.22535	4.606396	0.004395	0	0.004644	-0.212787	0.026938	2.687375E+9
7648.28	5.75	-3.210486	4.562212	0.004733	0	0.004504	-0.212787	0.026952	2.687376E+9
7462.23	5.5	-3.232455	4.571055	0.004056	0	0.004328	-0.212787	0.026951	2.687377E+9
7257.34	5.25	-3.203722	4.552131	0.003875	0	0.004596	-0.212787	0.026952	2.687378E+9
7034.46	5	-3.208277	4.558388	0.004077	0	0.004445	-0.212787	0.026932	2.687379E+9
6794.43	4.75	-3.205535	4.559187	0.00447	0	0.004505	-0.212787	0.026856	2.68738E+9
6538.11	4.5	-3.189837	4.525399	0.00417	0	0.004388	-0.212787	0.026948	2.687381E+9
6266.37	4.25	-3.198005	4.527719	0.003954	0	0.004341	-0.212787	0.02697	2.687382E+9
5980.04	4	-3.168681	4.519847	0.004462	0	0.004548	-0.212787	0.026928	2.687383E+9
5679.98	3.75	-3.166257	4.48935	0.004783	0	0.004763	-0.212787	0.026943	2.687384E+9
5367.05	3.5	-3.157401	4.485039	0.004119	0	0.004721	-0.212787	0.026988	2.687385E+9
5042.1	3.25	-3.16089	4.468451	0.004658	0	0.004704	-0.212787	0.026998	2.687386E+9
4705.98	3	-3.144438	4.487105	0.005108	0	0.004648	-0.212787	0.026947	2.687387E+9
4359.54	2.75	-3.136677	4.461804	0.004767	0	0.004652	-0.212787	0.026961	2.687388E+9
4003.65	2.5	-3.128789	4.454276	0.004831	0	0.004888	-0.212787	0.026974	2.687389E+9
3639.15	2.25	-3.14411	4.464351	0.004823	0	0.004705	-0.212787	0.026968	2.68739E+9
3266.89	2	-3.148291	4.440728	0.005291	0	0.004773	-0.212787	0.027003	2.687391E+9
2887.73	1.75	-3.137791	4.449166	0.00515	0	0.004541	-0.212787	0.02697	2.687392E+9
2502.52	1.5	-3.104449	4.406736	0.005135	0	0.004568	-0.212787	0.026932	2.687393E+9
2112.11	1.25	-3.101421	4.3993	0.00482	0	0.004876	-0.212787	0.026893	2.687394E+9
1717.37	1	-3.094355	4.420959	0.005106	0	0.004883	-0.212787	0.026888	2.687395E+9
1319.13	0.75	-3.110478	4.411658	0.005109	0	0.004602	-0.212787	0.02697	2.687396E+9
918.26	0.5	-3.093497	4.417386	0.00509	0	0.00483	-0.212787	0.0269	2.687397E+9
515.61	0.25	-3.082779	4.377981	0.004853	0	0.004996	-0.212787	0.026881	2.687398E+9
112.03	0	-3.072467	4.385388	0.005004	0	0.004796	-0.212787	0.026922	2.687399E+9
-291.63	-0.25	-3.081743	4.381671	0.00507	0	0.004726	-0.212787	0.026914	2.6874E+9
-694.51	-0.5	-3.071649	4.366945	0.005078	0	0.00477	-0.212787	0.026913	2.687401E+9
-1095.76	-0.75	-3.057091	4.355125	0.0051	0	0.004774	-0.212787	0.02686	2.687402E+9
-1494.53	-1	-2.994613	4.275744	0.005103	0	0.005004	-0.212787	0.026902	2.687403E+9
-1889.96	-1.25	-2.792411	3.979149	0.005188	0	0.004961	-0.212787	0.026859	2.687404E+9
-2281.19	-1.5	-2.405332	3.467373	0.004925	0	0.004796	-0.212787	0.02689	2.687405E+9
-2667.39	-1.75	-1.932534	2.835148	0.005192	0	0.00498	-0.212787	0.026912	2.687406E+9
-3047.69	-2	-1.376833	2.075317	0.005247	0	0.005013	-0.212787	0.026911	2.687407E+9
-3421.24	-2.25	-0.812689	1.327995	0.005146	0	0.00526	-0.212787	0.026949	2.687408E+9
-3787.18	-2.5	-0.242742	0.539728	0.005311	0	0.00518	-0.212787	0.026928	2.687409E+9
-4144.67	-2.75	0.313654	-0.192649	0.005248	0	0.00529	-0.212787	0.026886	2.68741E+9
-4492.85	-3	0.864592	-0.951669	0.00555	0	0.005219	-0.212787	0.026921	2.687411E+9
-4830.87	-3.25	1.411209	-1.665366	0.005594	0	0.005475	-0.212787	0.026856	2.687412E+9
-5157.87	-3.5	1.937892	-2.391141	0.005595	0	0.005339	-0.212787	0.026851	2.687413E+9
-5473	-3.75	2.469556	-3.098464	0.005768	0	0.005507	-0.212787	0.026869	2.687414E+9
-5775.41	-4	2.949246	-3.728739	0.005765	0	0.005561	-0.212787	0.026913	2.687415E+9
-6064.24	-4.25	3.337992	-4.283081	0.005815	0	0.005569	-0.212787	0.026849	2.687416E+9
-6338.64	-4.5	3.666165	-4.722119	0.005627	0	0.005656	-0.212787	0.026818	2.687417E+9
-6597.76	-4.75	3.946837	-5.062705	0.00599	0	0.005634	-0.212787	0.026908	2.687418E+9
-6840.75	-5	4.137766	-5.353627	0.005801	0	0.005738	-0.212787	0.026842	2.687419E+9
-7066.75	-5.25	4.299428	-5.56979	0.005658	0	0.005621	-0.212787	0.026829	2.68742E+9
-7274.9	-5.5	4.419215	-5.723915	0.005766	0	0.005684	-0.212787	0.026846	2.687421E+9
-7464.36	-5.75	4.49398	-5.860664	0.006083	0	0.005812	-0.212787	0.026869	2.687422E+9
-7634.28	-6	4.566039	-5.92554	0.006384	0	0.005955	-0.212787	0.026809	2.687423E+9
-7783.79	-6.25	4.62124	-5.992469	0.00601	0	0.005811	-0.212787	0.026815	2.687424E+9
-7912.04	-6.5	4.627058	-6.015321	0.006232	0	0.005655	-0.212787	0.02681	2.687425E+9
-8018.19	-6.75	4.669452	-6.056526	0.006241	0	0.005863	-0.212787	0.026876	2.687426E+9
-8101.38	-7	4.677694	-6.061503	0.006115	0	0.006056	-0.212787	0.026836	2.687427E+9
-8018.19	-6.75	4.663029	-6.045558	0.006052	0	0.005982	-0.212787	0.026813	2.687428E+9
-7912.04	-6.5	4.656791	-6.040191	0.006416	0	0.00593	-0.212787	0.02683	2.687429E+9
-7783.79	-6.25	4.656824	-6.05469	0.006496	0	0.00581	-0.212787	0.026816	2.68743E+9
-7634.28	-6	4.638062	-6.035405	0.006203	0	0.005958	-0.212787	0.026883	2.687431E+9
-7464.36	-5.75	4.627331	-6.00727	0.006228	0	0.006043	-0.212787	0.02687	2.687432E+9
-7274.9	-5.5	4.645862	-6.027066	0.006127	0	0.006105	-0.212787	0.026872	2.687433E+9
-7066.75	-5.25	4.617052	-5.99652	0.006134	0	0.005979	-0.212787	0.026791	2.687434E+9
-6840.75	-5	4.630856	-5.9914	0.006406	0	0.006027	-0.212787	0.026844	2.687435E+9
-6597.76	-4.75	4.628965	-5.98973	0.005475	0	0.006097	-0.212787	0.026839	2.687436E+9
-6338.64	-4.5	4.603196	-5.972274	0.006606	0	0.006051	-0.212787	0.026878	2.687437E+9
-6064.24	-4.25	4.593914	-5.963954	0.005526	0	0.006025	-0.212787	0.026824	2.687438E+9
-5775.41	-4	4.584053	-5.948087	0.005873	0	0.005822	-0.212787	0.02685	2.687439E+9
-5473	-3.75	4.588085	-5.937268	0.005627	0	0.006086	-0.212787	0.026837	2.68744E+9
-5157.87	-3.5	4.586558	-5.935835	0.005492	0	0.00623	-0.212787	0.026821	2.687441E+9
-4830.87	-3.25	4.571978	-5.932911	0.006185	0	0.006239	-0.212787	0.026824	2.687442E+9
-4492.85	-3	4.58124	-5.91799	0.005559	0	0.006291	-0.212787	0.026798	2.687443E+9
-4144.67	-2.75	4.577267	-5.919659	0.005916	0	0.006189	-0.212787	0.026864	2.687444E+9
-3787.18	-2.5	4.54483	-5.931875	0.005556	0	0.006211	-0.212787	0.026853	2.687445E+9
-3421.24	-2.25	4.585684	-5.922518	0.005813	0	0.00613	-0.212787	0.026806	2.687446E+9
-3047.69	-2	4.551338	-5.916615	0.00611	0	0.006162	-0.212787	0.026914	2.687447E+9
-2667.39	-1.75	4.567325	-5.909237	0.00625	0	0.00605	-0.212787	0.026859	2.687448E+9
-2281.19	-1.5	4.552914	-5.898441	0.006027	0	0.006215	-0.212787	0.026866	2.687449E+9
-1889.96	-1.25	4.542612	-5.883185	0.005877	0	0.006204	-0.212787	0.026817	2.68745E+9
-1494.53	-1	4.563277	-5.877058	0.005792	0	0.00597	-0.212787	0.026852	2.687451E+9
-1095.76	-0.75	4.534285	-5.87096	0.006204	0	0.006028	-0.212787	0.026909	2.687452E+9
-694.51	-0.5	4.532787	-5.875381	0.006157	0	0.006244	-0.212787	0.026883	2.687453E+9
-291.63	-0.25	4.518726	-5.872347	0.005924	0	0.006442	-0.212787	0.026822	2.687454E+9
112.03	0	4.515146	-5.87003	0.006287	0	0.006193	-0.212787	0.026845	2.687455E+9
515.61	0.25	4.524171	-5.86019	0.006064	0	0.006261	-0.212787	0.026869	2.687456E+9
918.26	0.5	4.467837	-5.799625	0.006398	0	0.006139	-0.212787	0.026906	2.687457E+9
1319.13	0.75	4.321087	-5.552455	0.006365	0	0.006211	-0.212787	0.026836	2.687458E+9
1717.37	1	3.939757	-5.077182	0.006402	0	0.006253	-0.212787	0.026822	2.687459E+9
2112.11	1.25	3.472266	-4.445944	0.005782	0	0.006182	-0.212787	0.026803	2.68746E+9
2502.52	1.5	2.955227	-3.730179	0.00601	0	0.005945	-0.212787	0.026897	2.687461E+9
2887.73	1.75	2.384337	-2.96362	0.005731	0	0.006047	-0.212787	0.026852	2.687462E+9
3266.89	2	1.817485	-2.219449	0.005651	0	0.006113	-0.212787	0.026809	2.687463E+9
3639.15	2.25	1.244426	-1.465811	0.005672	0	0.006084	-0.212787	0.02682	2.687464E+9
4003.65	2.5	0.70964	-0.694978	0.005653	0	0.005896	-0.212787	0.026787	2.687465E+9
4359.54	2.75	0.142809	0.042645	0.005483	0	0.00579	-0.212787	0.026815	2.687466E+9
4705.98	3	-0.384897	0.776949	0.005954	0	0.005903	-0.212787	0.02682	2.687467E+9
5042.1	3.25	-0.933733	1.454129	0.005916	0	0.006052	-0.212787	0.026831	2.687468E+9
5367.05	3.5	-1.385342	2.131992	0.005491	0	0.005861	-0.212787	0.026846	2.687469E+9
5679.98	3.75	-1.813209	2.692298	0.005446	0	0.005792	-0.212787	0.026764	2.68747E+9
5980.04	4	-2.166951	3.141335	0.005201	0	0.005824	-0.212787	0.026799	2.687471E+9
6266.37	4.25	-2.433337	3.519728	0.005218	0	0.005717	-0.212787	0.02683	2.687472E+9
6538.11	4.5	-2.632394	3.806403	0.005256	0	0.005758	-0.212787	0.026837	2.687473E+9
6794.43	4.75	-2.803067	4.030822	0.005844	0	0.005648	-0.212787	0.026804	2.687474E+9
7034.46	5	-2.925154	4.182775	0.005464	0	0.005465	-0.212787	0.026771	2.687475E+9
7257.34	5.25	-3.01102	4.291374	0.005152	0	0.005658	-0.212787	0.026793	2.687476E+9
7462.23	5.5	-3.079703	4.369034	0.005193	0	0.005624	-0.212787	0.026787	2.687477E+9
7648.28	5.75	-3.126875	4.431599	0.005869	0	0.005724	-0.212787	0.026779	2.687478E+9
7814.63	6	-3.136242	4.470611	0.005792	0	0.005589	-0.212787	0.026847	2.687479E+9
7960.42	6.25	-3.152989	4.467245	0.005802	0	0.005552	-0.212787	0.026801	2.68748E+9
8084.8	6.5	-3.174048	4.501407	0.005608	0	0.005637	-0.212787	0.026798	2.687481E+9
