16/05/2022	10:23

Si\Ta3\(Co88Tb12)63\Pt3-20220511_APEJ2 

Field	Kepco	Channel A	Channel B	Agilent	0	RF out	Monitor+	Monitor-	Time
8265.94	7	-7.966666	-1.465779	0.005169	0	0.005827	-0.212787	0.05581	2.673557E+9
8186.93	6.75	-7.966211	-1.469924	0.006135	0	0.005354	-0.212787	0.055766	2.673558E+9
8084.8	6.5	-7.972455	-1.466071	0.005675	0	0.005544	-0.212787	0.055777	2.673559E+9
7960.42	6.25	-7.974993	-1.470551	0.006291	0	0.005314	-0.212787	0.055884	2.67356E+9
7814.63	6	-7.981445	-1.467049	0.006368	0	0.005981	-0.212787	0.055903	2.673561E+9
7648.28	5.75	-7.979262	-1.467842	0.006044	0	0.00531	-0.212787	0.055965	2.673562E+9
7462.23	5.5	-7.977556	-1.473495	0.005983	0	0.005429	-0.212787	0.05597	2.673563E+9
7257.34	5.25	-7.978414	-1.469119	0.005665	0	0.00521	-0.212787	0.05577	2.673564E+9
7034.46	5	-7.986403	-1.472705	0.005494	0	0.005446	-0.212787	0.055954	2.673565E+9
6794.43	4.75	-7.992013	-1.470051	0.005561	0	0.005582	-0.212787	0.055682	2.673566E+9
6538.11	4.5	-7.993238	-1.467533	0.005662	0	0.005899	-0.212787	0.055896	2.673567E+9
6266.37	4.25	-7.994063	-1.473053	0.005176	0	0.005541	-0.212787	0.055856	2.673568E+9
5980.04	4	-7.996162	-1.475005	0.005341	0	0.0054	-0.212787	0.055871	2.67357E+9
5679.98	3.75	-7.993657	-1.471182	0.005318	0	0.005436	-0.212787	0.055821	2.67357E+9
5367.05	3.5	-7.998014	-1.4752	0.005641	0	0.005727	-0.212787	0.055996	2.673571E+9
5042.1	3.25	-7.996679	-1.47276	0.005702	0	0.005321	-0.212787	0.055796	2.673572E+9
4705.98	3	-7.998576	-1.47149	0.005617	0	0.005425	-0.212787	0.055846	2.673573E+9
4359.54	2.75	-8.002903	-1.475681	0.005766	0	0.005498	-0.212787	0.055904	2.673574E+9
4003.65	2.5	-8.001227	-1.475746	0.005978	0	0.005831	-0.212787	0.055757	2.673575E+9
