31/05/2022	18:34

Si\Ta3\(Co90Tb10)75\Pt3-20220531_APEJ1

Field	Kepco	Channel A	Channel B	Agilent	0	RF out	Monitor+	Monitor-	Time
6096.26	4.1	2.366566	-0.661951	-0.010634	0	-0.010896	-0.212787	0.103877	3.99819E+9
5741.05	3.8	2.366663	-0.663497	-0.010736	0	-0.011045	-0.212787	0.104521	3.998191E+9
5367.05	3.5	2.369071	-0.664514	-0.010991	0	-0.0108	-0.212787	0.104556	3.998192E+9
4975.74	3.2	2.37165	-0.663468	-0.011111	0	-0.010571	-0.212787	0.104574	3.998193E+9
4568.59	2.9	2.374457	-0.665245	-0.011131	0	-0.010904	-0.212787	0.103288	3.998194E+9
4147.09	2.6	2.374665	-0.663101	-0.010477	0	-0.010938	-0.212787	0.103377	3.998195E+9
3712.69	2.3	2.37422	-0.664089	-0.010951	0	-0.010894	-0.212787	0.103386	3.998196E+9
3266.89	2	2.375438	-0.664976	-0.011003	0	-0.011391	-0.212787	0.103455	3.998197E+9
3116	1.9	2.375896	-0.663845	-0.011121	0	-0.011001	-0.212787	0.103559	3.998198E+9
2964.07	1.8	2.376822	-0.663929	-0.01056	0	-0.011553	-0.212787	0.104297	3.998199E+9
2811.14	1.7	2.3764	-0.661915	-0.010958	0	-0.011517	-0.212787	0.104265	3.9982E+9
2657.27	1.6	2.377589	-0.665739	-0.011442	0	-0.010868	-0.212787	0.103996	3.998201E+9
2502.52	1.5	2.377329	-0.665453	-0.01116	0	-0.011545	-0.212787	0.104548	3.998202E+9
2346.93	1.4	2.378275	-0.663705	-0.011483	0	-0.011691	-0.212787	0.10345	3.998203E+9
2190.57	1.3	2.378197	-0.664963	-0.011168	0	-0.011359	-0.212787	0.103483	3.998204E+9
2033.48	1.2	2.378632	-0.661811	-0.011599	0	-0.011781	-0.212787	0.103476	3.998205E+9
1875.73	1.1	2.377404	-0.663215	-0.011446	0	-0.011595	-0.212787	0.103294	3.998206E+9
1717.37	1	2.377219	-0.663328	-0.01112	0	-0.01162	-0.212787	0.104195	3.998207E+9
1558.44	0.9	2.377303	-0.665853	-0.011831	0	-0.011771	-0.212787	0.103407	3.998208E+9
1399.02	0.8	2.377667	-0.662188	-0.011254	0	-0.011412	-0.212787	0.104104	3.998209E+9
1239.14	0.7	2.379041	-0.660989	-0.011773	0	-0.012221	-0.212787	0.103991	3.99821E+9
1078.87	0.6	2.377631	-0.6638	-0.011754	0	-0.011658	-0.212787	0.103904	3.998211E+9
918.26	0.5	2.378957	-0.661558	-0.011607	0	-0.011783	-0.212787	0.103691	3.998212E+9
757.37	0.4	2.378067	-0.662997	-0.01174	0	-0.011632	-0.212787	0.103418	3.998213E+9
596.24	0.3	2.379587	-0.662243	-0.012	0	-0.011606	-0.212787	0.103555	3.998214E+9
434.94	0.2	2.378401	-0.662198	-0.011657	0	-0.011856	-0.212787	0.104057	3.998215E+9
273.52	0.1	2.381423	-0.66261	-0.011606	0	-0.011811	-0.212787	0.104249	3.998216E+9
112.03	0	2.380669	-0.661905	-0.011401	0	-0.012395	-0.212787	0.103583	3.998217E+9
-49.47	-0.1	2.380455	-0.660158	-0.011787	0	-0.011998	-0.212787	0.103903	3.998218E+9
-210.93	-0.2	2.381134	-0.660015	-0.011538	0	-0.011811	-0.212787	0.103231	3.998219E+9
-372.3	-0.3	2.38013	-0.661529	-0.012072	0	-0.012419	-0.212787	0.103582	3.99822E+9
-533.51	-0.4	2.381546	-0.662071	-0.012003	0	-0.011943	-0.212787	0.103651	3.998221E+9
-694.51	-0.5	2.377635	-0.661564	-0.01169	0	-0.012148	-0.212787	0.104522	3.998222E+9
-855.25	-0.6	-1.323842	0.314612	-0.01675	0	-0.016045	-0.212787	0.103903	3.998223E+9
-1015.68	-0.7	-1.894692	0.462283	-0.017533	0	-0.016812	-0.212787	0.10448	3.998224E+9
-1175.74	-0.8	-2.156458	0.532642	-0.016907	0	-0.017181	-0.212787	0.103428	3.998225E+9
-1335.37	-0.9	-2.187214	0.53785	-0.017149	0	-0.01713	-0.212787	0.103831	3.998226E+9
-1494.53	-1	-2.187659	0.540388	-0.017617	0	-0.017498	-0.212787	0.103808	3.998227E+9
-1653.15	-1.1	-2.188959	0.538666	-0.01836	0	-0.017417	-0.212787	0.103626	3.998228E+9
-1811.18	-1.2	-2.188998	0.53772	-0.01815	0	-0.017473	-0.212787	0.103343	3.998229E+9
-1968.57	-1.3	-2.187786	0.537243	-0.017422	0	-0.018092	-0.212787	0.103872	3.99823E+9
-2125.26	-1.4	-2.187812	0.537779	-0.017748	0	-0.018174	-0.212787	0.10408	3.998231E+9
-2281.19	-1.5	-2.187	0.536879	-0.017953	0	-0.017711	-0.212787	0.103387	3.998232E+9
-2436.33	-1.6	-2.186009	0.539111	-0.017934	0	-0.018043	-0.212787	0.104108	3.998233E+9
-2590.6	-1.7	-2.186935	0.536473	-0.017901	0	-0.018255	-0.212787	0.104276	3.998234E+9
-2743.95	-1.8	-2.187822	0.539634	-0.018333	0	-0.017628	-0.212787	0.103387	3.998235E+9
-2896.33	-1.9	-2.185681	0.535521	-0.018105	0	-0.017632	-0.212787	0.103609	3.998236E+9
-3047.69	-2	-2.184121	0.535583	-0.018689	0	-0.017568	-0.212787	0.103826	3.998237E+9
-3495.06	-2.3	-2.18557	0.537876	-0.018426	0	-0.017658	-0.212787	0.103621	3.998238E+9
-3931.24	-2.6	-2.183199	0.535521	-0.018601	0	-0.017178	-0.212787	0.104374	3.998239E+9
-4354.75	-2.9	-2.181197	0.535973	-0.018054	0	-0.017602	-0.212787	0.103643	3.99824E+9
