31/05/2022	18:53

Si\Ta3\(Co90Tb10)50nm\Pt3-20220531_APEJ2

Field	Kepco	Channel A	Channel B	Agilent	0	RF out	Monitor+	Monitor-	Time
6096.26	4.1	3.05968	-0.606185	0.004073	0	0.005078	-0.212787	0.098412	3.999301E+9
5741.05	3.8	3.062617	-0.607897	0.005121	0	0.004747	-0.212787	0.098427	3.999302E+9
5367.05	3.5	3.067344	-0.606111	0.005285	0	0.003553	-0.212787	0.098421	3.999303E+9
4975.74	3.2	3.066496	-0.607322	0.004488	0	0.004428	-0.212787	0.098702	3.999304E+9
4568.59	2.9	3.070388	-0.607335	0.003624	0	0.004283	-0.212787	0.098341	3.999305E+9
4147.09	2.6	3.070878	-0.6091	0.004594	0	0.004691	-0.212787	0.098399	3.999306E+9
3712.69	2.3	3.070836	-0.60791	0.004904	0	0.004886	-0.212787	0.098423	3.999307E+9
3266.89	2	3.072123	-0.606903	0.004866	0	0.003958	-0.212787	0.098428	3.999308E+9
3116	1.9	3.072659	-0.606894	0.004404	0	0.004184	-0.212787	0.098532	3.999309E+9
2964.07	1.8	3.07401	-0.606101	0.004569	0	0.003688	-0.212787	0.098503	3.99931E+9
2811.14	1.7	3.074429	-0.610561	0.004356	0	0.004651	-0.212787	0.098422	3.999311E+9
2657.27	1.6	3.074023	-0.607881	0.005062	0	0.005048	-0.212787	0.098364	3.999312E+9
2502.52	1.5	3.073507	-0.6092	0.004041	0	0.003912	-0.212787	0.098499	3.999313E+9
2346.93	1.4	3.076564	-0.608732	0.004743	0	0.004477	-0.212787	0.098598	3.999314E+9
2190.57	1.3	3.073864	-0.609675	0.004411	0	0.004154	-0.212787	0.098323	3.999315E+9
2033.48	1.2	3.076528	-0.610142	0.00414	0	0.003791	-0.212787	0.098316	3.999316E+9
1875.73	1.1	3.077353	-0.609986	0.004114	0	0.004727	-0.212787	0.098597	3.999317E+9
1717.37	1	3.075037	-0.608408	0.00328	0	0.003931	-0.212787	0.098392	3.999318E+9
1558.44	0.9	3.077425	-0.609064	0.004973	0	0.003954	-0.212787	0.09831	3.999319E+9
1399.02	0.8	3.076674	-0.607732	0.004207	0	0.004132	-0.212787	0.098393	3.99932E+9
1239.14	0.7	3.077249	-0.608658	0.003577	0	0.003977	-0.212787	0.098288	3.999321E+9
1078.87	0.6	3.075859	-0.607011	0.003424	0	0.004539	-0.212787	0.098513	3.999322E+9
918.26	0.5	3.077639	-0.60819	0.004505	0	0.00409	-0.212787	0.09834	3.999323E+9
757.37	0.4	3.077815	-0.606975	0.004783	0	0.004312	-0.212787	0.098352	3.999324E+9
596.24	0.3	3.07812	-0.60791	0.004298	0	0.004243	-0.212787	0.098378	3.999325E+9
434.94	0.2	3.075836	-0.606647	0.003876	0	0.00329	-0.212787	0.098305	3.999326E+9
273.52	0.1	3.07543	-0.605831	0.003962	0	0.004151	-0.212787	0.098354	3.999327E+9
