31/05/2021	08:41

Si/Pt30/[co88Tb12]450/Pt30

Field	Kepco	Channel A	Channel B	Agilent	0	RF out	Monitor+	Monitor-	Time
8342.16	7.4	-1.701346	-0.03683	0.01046	0	0.009997	-0.212787	0.075884	2.737911E+9
8311.94	7.2	-1.701408	-0.03707	0.010194	0	0.009953	-0.212787	0.075953	2.737912E+9
8265.94	7	-1.701967	-0.037857	0.010296	0	0.009905	-0.212787	0.075958	2.737913E+9
8204.61	6.8	-1.703009	-0.037857	0.010525	0	0.009777	-0.212787	0.07563	2.737914E+9
8128.37	6.6	-1.703393	-0.037896	0.010341	0	0.010055	-0.212787	0.075671	2.737915E+9
8037.67	6.4	-1.704566	-0.038289	0.009865	0	0.00972	-0.212787	0.075582	2.737916E+9
7932.95	6.2	-1.705121	-0.038324	0.008974	0	0.009828	-0.212787	0.075649	2.737917E+9
7814.63	6	-1.706086	-0.03837	0.009585	0	0.010168	-0.212787	0.076009	2.737918E+9
7683.15	5.8	-1.706785	-0.038168	0.009468	0	0.009848	-0.212787	0.075694	2.737919E+9
7538.96	5.6	-1.706833	-0.038266	0.009677	0	0.009944	-0.212787	0.0758	2.73792E+9
7382.49	5.4	-1.70823	-0.038331	0.009776	0	0.009708	-0.212787	0.075932	2.737921E+9
7214.18	5.2	-1.708152	-0.038337	0.009355	0	0.010376	-0.212787	0.075709	2.737922E+9
7034.46	5	-1.710043	-0.038724	0.009364	0	0.009957	-0.212787	0.075602	2.737923E+9
6843.76	4.8	-1.710043	-0.03899	0.00955	0	0.009982	-0.212787	0.075724	2.737924E+9
6642.54	4.6	-1.71055	-0.039442	0.009709	0	0.010085	-0.212787	0.07582	2.737925E+9
6431.22	4.4	-1.710605	-0.039637	0.010505	0	0.010151	-0.212787	0.076037	2.737926E+9
6210.24	4.2	-1.711161	-0.040114	0.010143	0	0.010284	-0.212787	0.076009	2.737927E+9
5980.04	4	-1.712184	-0.039127	0.010101	0	0.010018	-0.212787	0.07558	2.737928E+9
5741.05	3.8	-1.712483	-0.039426	0.010089	0	0.010207	-0.212787	0.075782	2.737929E+9
5493.71	3.6	-1.713233	-0.040391	0.010012	0	0.010026	-0.212787	0.07598	2.73793E+9
5238.46	3.4	-1.712649	-0.039829	0.010459	0	0.01001	-0.212787	0.075952	2.737931E+9
4975.74	3.2	-1.712584	-0.040716	0.010296	0	0.009892	-0.212787	0.075779	2.737932E+9
4705.98	3	-1.712616	-0.040358	0.010751	0	0.010174	-0.212787	0.07592	2.737933E+9
4429.62	2.8	-1.712616	-0.041001	0.010526	0	0.010136	-0.212787	0.075652	2.737934E+9
4147.09	2.6	-1.712756	-0.040309	0.010311	0	0.009719	-0.212787	0.076021	2.737935E+9
3858.83	2.4	-1.712239	-0.040563	0.010291	0	0.009876	-0.212787	0.075903	2.737936E+9
3565.29	2.2	-1.712723	-0.040946	0.010319	0	0.010078	-0.212787	0.07567	2.737937E+9
3266.89	2	-1.712239	-0.041216	0.010397	0	0.009976	-0.212787	0.075709	2.737938E+9
2964.07	1.8	-1.712148	-0.040641	0.010146	0	0.010303	-0.212787	0.07556	2.737939E+9
2657.27	1.6	-1.711447	-0.040114	0.010037	0	0.010234	-0.212787	0.075826	2.73794E+9
2346.93	1.4	-1.711232	-0.041125	0.010596	0	0.010303	-0.212787	0.075972	2.737941E+9
2033.48	1.2	-1.710621	-0.041723	0.010239	0	0.010405	-0.212787	0.076003	2.737942E+9
1717.37	1	-1.709913	-0.041294	0.010416	0	0.009939	-0.212787	0.076003	2.737943E+9
1399.02	0.8	-1.709549	-0.041398	0.01002	0	0.010169	-0.212787	0.075854	2.737944E+9
1078.87	0.6	-1.709965	-0.041459	0.009362	0	0.010073	-0.212787	0.07564	2.737945E+9
757.37	0.4	-1.708467	-0.041755	0.010269	0	0.009914	-0.212787	0.07591	2.737946E+9
434.94	0.2	-1.708571	-0.041323	0.009419	0	0.009934	-0.212787	0.075542	2.737947E+9
112.03	0	-1.707785	-0.040829	0.009791	0	0.009962	-0.212787	0.075825	2.737948E+9
-210.93	-0.2	-1.707269	-0.041645	0.010019	0	0.010011	-0.212787	0.075748	2.737949E+9
-533.51	-0.4	-1.706915	-0.041784	0.009258	0	0.009816	-0.212787	0.075577	2.73795E+9
-855.25	-0.6	-1.706063	-0.041674	0.009699	0	0.009729	-0.212787	0.075808	2.737951E+9
-1175.74	-0.8	-1.704751	-0.041687	0.009679	0	0.009875	-0.212787	0.075582	2.737952E+9
-1494.53	-1	-1.703383	-0.042038	0.009768	0	0.0099	-0.212787	0.075657	2.737953E+9
-1811.18	-1.2	-1.667598	-0.04133	0.009471	0	0.009696	-0.212787	0.075679	2.737954E+9
-2125.26	-1.4	0.919	0.024147	0.002084	0	0.001816	-0.212787	0.076074	2.737955E+9
-2436.33	-1.6	1.593207	0.040839	0.000206	0	0.000407	-0.212787	0.076055	2.737956E+9
-2743.95	-1.8	2.06455	0.05259	-0.001355	0	-0.001207	-0.212787	0.075889	2.737957E+9
-3047.69	-2	2.494731	0.063318	-0.002442	0	-0.00255	-0.212787	0.076106	2.737958E+9
-3347.11	-2.2	2.905475	0.07437	-0.003759	0	-0.003829	-0.212787	0.076027	2.737959E+9
-3641.77	-2.4	3.1363	0.079727	-0.004869	0	-0.004044	-0.212787	0.075895	2.73796E+9
-3931.24	-2.6	3.190022	0.080624	-0.004109	0	-0.00453	-0.212787	0.075981	2.737961E+9
-4215.08	-2.8	3.199652	0.081368	-0.003679	0	-0.004063	-0.212787	0.076071	2.737962E+9
-4492.85	-3	3.202355	0.081878	-0.004226	0	-0.00458	-0.212787	0.076029	2.737963E+9
-4764.12	-3.2	3.20458	0.082317	-0.00369	0	-0.004557	-0.212787	0.076191	2.737964E+9
-5028.44	-3.4	3.205948	0.082177	-0.003903	0	-0.004003	-0.212787	0.076258	2.737965E+9
-5285.39	-3.6	3.206669	0.082563	-0.004228	0	-0.004188	-0.212787	0.076081	2.737966E+9
-5534.53	-3.8	3.206568	0.082658	-0.003818	0	-0.00431	-0.212787	0.075813	2.737967E+9
-5775.41	-4	3.207046	0.083009	-0.004158	0	-0.004248	-0.212787	0.076058	2.737968E+9
-6007.6	-4.2	3.206851	0.083736	-0.004149	0	-0.004056	-0.212787	0.076065	2.737969E+9
-6230.67	-4.4	3.206974	0.083662	-0.004392	0	-0.004159	-0.212787	0.075825	2.73797E+9
-6444.17	-4.6	3.206909	0.083727	-0.004191	0	-0.00431	-0.212787	0.076225	2.737971E+9
-6647.68	-4.8	3.207507	0.084139	-0.003839	0	-0.004214	-0.212787	0.075816	2.737972E+9
-6840.75	-5	3.206831	0.083603	-0.004062	0	-0.004055	-0.212787	0.076155	2.737973E+9
-7022.95	-5.2	3.206822	0.08462	-0.003696	0	-0.00391	-0.212787	0.076108	2.737974E+9
-7193.84	-5.4	3.205694	0.08476	-0.004333	0	-0.004418	-0.212787	0.07595	2.737975E+9
-7352.98	-5.6	3.205704	0.085335	-0.004518	0	-0.004253	-0.212787	0.07588	2.737976E+9
-7499.94	-5.8	3.204651	0.085149	-0.004872	0	-0.004394	-0.212787	0.075808	2.737977E+9
-7634.28	-6	3.204534	0.084799	-0.004578	0	-0.00447	-0.212787	0.075842	2.737978E+9
-7755.56	-6.2	3.204499	0.085621	-0.004734	0	-0.004205	-0.212787	0.076186	2.737979E+9
-7863.34	-6.4	3.203739	0.085854	-0.004483	0	-0.004419	-0.212787	0.076037	2.73798E+9
-7957.2	-6.6	3.203657	0.08566	-0.004425	0	-0.004182	-0.212787	0.076075	2.737981E+9
-8036.69	-6.8	3.202712	0.086101	-0.004582	0	-0.003967	-0.212787	0.076075	2.737982E+9
-8101.38	-7	3.202329	0.087206	-0.004404	0	-0.004235	-0.212787	0.075953	2.737983E+9
-8150.82	-7.2	3.202335	0.087005	-0.004347	0	-0.003867	-0.212787	0.076001	2.737984E+9
-8184.58	-7.4	3.201786	0.086618	-0.00407	0	-0.00413	-0.212787	0.076216	2.737985E+9
-8150.82	-7.2	3.202689	0.086569	-0.003831	0	-0.004266	-0.212787	0.076175	2.737986E+9
-8101.38	-7	3.202822	0.086387	-0.004285	0	-0.003705	-0.212787	0.075925	2.737987E+9
-8036.69	-6.8	3.203326	0.086306	-0.004421	0	-0.004153	-0.212787	0.075963	2.737988E+9
-7957.2	-6.6	3.204512	0.086381	-0.004302	0	-0.003927	-0.212787	0.076214	2.737989E+9
-7863.34	-6.4	3.204479	0.087671	-0.003838	0	-0.004245	-0.212787	0.075926	2.73799E+9
-7755.56	-6.2	3.204502	0.086553	-0.004572	0	-0.004231	-0.212787	0.075799	2.737991E+9
-7634.28	-6	3.204876	0.08769	-0.004509	0	-0.003891	-0.212787	0.07588	2.737992E+9
-7499.94	-5.8	3.205678	0.087953	-0.004464	0	-0.004352	-0.212787	0.076172	2.737993E+9
-7352.98	-5.6	3.20559	0.088161	-0.00404	0	-0.004254	-0.212787	0.075802	2.737994E+9
-7193.84	-5.4	3.205639	0.087976	-0.004357	0	-0.003798	-0.212787	0.076214	2.737995E+9
-7022.95	-5.2	3.206435	0.089129	-0.004739	0	-0.004059	-0.212787	0.075816	2.737996E+9
-6840.75	-5	3.206929	0.088194	-0.004426	0	-0.004	-0.212787	0.075894	2.737997E+9
-6647.68	-4.8	3.20738	0.088216	-0.004691	0	-0.004253	-0.212787	0.076091	2.737998E+9
-6444.17	-4.6	3.207803	0.089542	-0.004494	0	-0.004139	-0.212787	0.075817	2.737999E+9
-6230.67	-4.4	3.207351	0.089555	-0.004384	0	-0.004366	-0.212787	0.075812	2.738E+9
-6007.6	-4.2	3.207705	0.090377	-0.004438	0	-0.004076	-0.212787	0.076201	2.738001E+9
-5775.41	-4	3.207725	0.090568	-0.003901	0	-0.004292	-0.212787	0.076108	2.738002E+9
-5534.53	-3.8	3.207543	0.090858	-0.004416	0	-0.004338	-0.212787	0.075861	2.738003E+9
-5285.39	-3.6	3.207702	0.09128	-0.003715	0	-0.004289	-0.212787	0.075935	2.738004E+9
-5028.44	-3.4	3.207813	0.090965	-0.003647	0	-0.004524	-0.212787	0.076098	2.738005E+9
-4764.12	-3.2	3.20714	0.090097	-0.004142	0	-0.004184	-0.212787	0.075901	2.738006E+9
-4492.85	-3	3.207322	0.090406	-0.00434	0	-0.00455	-0.212787	0.075842	2.738007E+9
-4215.08	-2.8	3.206753	0.090926	-0.003864	0	-0.004938	-0.212787	0.076264	2.738008E+9
-3931.24	-2.6	3.2069	0.091351	-0.004025	0	-0.004533	-0.212787	0.076096	2.738009E+9
-3641.77	-2.4	3.206256	0.091439	-0.004732	0	-0.004404	-0.212787	0.076001	2.73801E+9
-3347.11	-2.2	3.205412	0.091793	-0.005034	0	-0.004939	-0.212787	0.075889	2.738011E+9
-3047.69	-2	3.205168	0.091803	-0.00453	0	-0.004787	-0.212787	0.076138	2.738012E+9
-2743.95	-1.8	3.204697	0.091758	-0.004902	0	-0.004373	-0.212787	0.075748	2.738013E+9
-2436.33	-1.6	3.204684	0.091634	-0.004744	0	-0.004726	-0.212787	0.07581	2.738014E+9
-2125.26	-1.4	3.20445	0.09307	-0.004941	0	-0.004407	-0.212787	0.076204	2.738015E+9
-1811.18	-1.2	3.203748	0.092648	-0.004678	0	-0.00497	-0.212787	0.076124	2.738016E+9
-1494.53	-1	3.202562	0.092605	-0.005077	0	-0.004967	-0.212787	0.075958	2.738017E+9
-1175.74	-0.8	3.201747	0.093496	-0.005168	0	-0.004602	-0.212787	0.07587	2.738018E+9
-855.25	-0.6	3.201321	0.093544	-0.004849	0	-0.004712	-0.212787	0.076171	2.738019E+9
-533.51	-0.4	3.201032	0.093704	-0.004344	0	-0.004402	-0.212787	0.076161	2.73802E+9
-210.93	-0.2	3.199681	0.093629	-0.004402	0	-0.004474	-0.212787	0.075845	2.738021E+9
112.03	0	3.198986	0.094373	-0.004471	0	-0.004683	-0.212787	0.076068	2.738022E+9
434.94	0.2	3.197868	0.094344	-0.005282	0	-0.004687	-0.212787	0.076212	2.738023E+9
757.37	0.4	3.19688	0.094074	-0.004673	0	-0.004398	-0.212787	0.075935	2.738024E+9
1078.87	0.6	3.19535	0.095325	-0.0046	0	-0.004283	-0.212787	0.076197	2.738025E+9
1399.02	0.8	1.921252	0.056112	-0.000286	0	0.000359	-0.212787	0.07586	2.738026E+9
1717.37	1	0.352035	0.010885	0.00359	0	0.004267	-0.212787	0.075646	2.738027E+9
2033.48	1.2	-0.240806	-0.006288	0.00606	0	0.005836	-0.212787	0.075826	2.738028E+9
2346.93	1.4	-0.692145	-0.021833	0.006722	0	0.007056	-0.212787	0.07567	2.738029E+9
2657.27	1.6	-1.12369	-0.034332	0.00803	0	0.00853	-0.212787	0.075658	2.73803E+9
2964.07	1.8	-1.504316	-0.045719	0.009705	0	0.00954	-0.212787	0.075837	2.738031E+9
3266.89	2	-1.669894	-0.051326	0.00996	0	0.010283	-0.212787	0.075737	2.738032E+9
3565.29	2.2	-1.702301	-0.051888	0.00984	0	0.009985	-0.212787	0.075962	2.738033E+9
3858.83	2.4	-1.709143	-0.052015	0.009547	0	0.010149	-0.212787	0.075687	2.738034E+9
4147.09	2.6	-1.711437	-0.052005	0.009978	0	0.009846	-0.212787	0.075687	2.738035E+9
4429.62	2.8	-1.712395	-0.05219	0.00987	0	0.01041	-0.212787	0.075952	2.738036E+9
4705.98	3	-1.714435	-0.052886	0.009927	0	0.010101	-0.212787	0.07557	2.738037E+9
4975.74	3.2	-1.715062	-0.052375	0.009986	0	0.00988	-0.212787	0.076029	2.738038E+9
5238.46	3.4	-1.715706	-0.052336	0.009937	0	0.010129	-0.212787	0.075923	2.738039E+9
5493.71	3.6	-1.716661	-0.052697	0.009767	0	0.010094	-0.212787	0.075762	2.73804E+9
5741.05	3.8	-1.716661	-0.052808	0.009701	0	0.010173	-0.212787	0.075535	2.738041E+9
5980.04	4	-1.716953	-0.052902	0.009732	0	0.010311	-0.212787	0.07569	2.738042E+9
6210.24	4.2	-1.717509	-0.052817	0.00999	0	0.010249	-0.212787	0.075739	2.738043E+9
6431.22	4.4	-1.716979	-0.052954	0.01007	0	0.010596	-0.212787	0.07578	2.738044E+9
6642.54	4.6	-1.717087	-0.05373	0.010175	0	0.010157	-0.212787	0.07569	2.738045E+9
6843.76	4.8	-1.717064	-0.053379	0.009503	0	0.010068	-0.212787	0.075647	2.738046E+9
7034.46	5	-1.717122	-0.053321	0.009422	0	0.010759	-0.212787	0.075734	2.738047E+9
7214.18	5.2	-1.716248	-0.053811	0.009666	0	0.010228	-0.212787	0.075923	2.738048E+9
7382.49	5.4	-1.71671	-0.053743	0.009456	0	0.010249	-0.212787	0.075744	2.738049E+9
7538.96	5.6	-1.716239	-0.054325	0.010156	0	0.010387	-0.212787	0.075955	2.73805E+9
7683.15	5.8	-1.716261	-0.054201	0.010724	0	0.010425	-0.212787	0.075613	2.738051E+9
7814.63	6	-1.715719	-0.054088	0.010888	0	0.010268	-0.212787	0.075651	2.738052E+9
7932.95	6.2	-1.715729	-0.054656	0.01054	0	0.010539	-0.212787	0.075587	2.738053E+9
8037.67	6.4	-1.71492	-0.054591	0.010408	0	0.010365	-0.212787	0.07596	2.738054E+9
8128.37	6.6	-1.715157	-0.055082	0.0099	0	0.01029	-0.212787	0.075578	2.738055E+9
8204.61	6.8	-1.714442	-0.055098	0.010276	0	0.010067	-0.212787	0.075668	2.738056E+9
8265.94	7	-1.714526	-0.054289	0.010994	0	0.01042	-0.212787	0.075868	2.738057E+9
8311.94	7.2	-1.714936	-0.055153	0.010534	0	0.010033	-0.212787	0.075648	2.738058E+9
8342.16	7.4	-1.714884	-0.054702	0.01094	0	0.010184	-0.212787	0.075918	2.738059E+9
