20/05/2021	17:05

Si/Pt3/Co88Tb12 (45)/Pt3

Field	Kepco	Channel A	Channel B	Agilent	0	RF out	Monitor+	Monitor-	Time
8265.94	7	-2.189222	-0.213799	0	0	0	0	0	1.817739E+9
8204.61	6.8	-2.185492	-0.216898	0	0	0	0	0	1.81774E+9
8128.37	6.6	-2.187913	-0.21376	0	0	0	0	0	1.817741E+9
8037.67	6.4	-2.187997	-0.216713	0	0	0	0	0	1.817742E+9
7932.95	6.2	-2.195287	-0.210979	0	0	0	0	0	1.817743E+9
7814.63	6	-2.194001	-0.211472	0	0	0	0	0	1.817744E+9
7683.15	5.8	-2.193825	-0.214045	0	0	0	0	0	1.817745E+9
7538.96	5.6	-2.196291	-0.209322	0	0	0	0	0	1.817746E+9
7382.49	5.4	-2.193315	-0.211885	0	0	0	0	0	1.817747E+9
7214.18	5.2	-2.195576	-0.212765	0	0	0	0	0	1.817748E+9
7034.46	5	-2.198523	-0.213526	0	0	0	0	0	1.817749E+9
6843.76	4.8	-2.203393	-0.219568	0	0	0	0	0	1.81775E+9
6642.54	4.6	-2.201291	-0.219487	0	0	0	0	0	1.817751E+9
6431.22	4.4	-2.20825	-0.212301	0	0	0	0	0	1.817752E+9
6210.24	4.2	-2.197064	-0.215277	0	0	0	0	0	1.817753E+9
5980.04	4	-2.202386	-0.217944	0	0	0	0	0	1.817754E+9
5741.05	3.8	-2.203179	-0.221313	0	0	0	0	0	1.817755E+9
5493.71	3.6	-2.200489	-0.220956	0	0	0	0	0	1.817756E+9
5238.46	3.4	-2.210859	-0.215436	0	0	0	0	0	1.817757E+9
4975.74	3.2	-2.205066	-0.214608	0	0	0	0	0	1.817758E+9
4705.98	3	-2.206775	-0.217288	0	0	0	0	0	1.817759E+9
4429.62	2.8	-2.210125	-0.217268	0	0	0	0	0	1.81776E+9
4147.09	2.6	-2.204803	-0.214227	0	0	0	0	0	1.817761E+9
3858.83	2.4	-2.197675	-0.215975	0	0	0	0	0	1.817762E+9
3565.29	2.2	-2.198468	-0.218552	0	0	0	0	0	1.817763E+9
3266.89	2	-2.201145	-0.218126	0	0	0	0	0	1.817764E+9
2964.07	1.8	-2.208598	-0.216677	0	0	0	0	0	1.817765E+9
2657.27	1.6	-2.200258	-0.21552	0	0	0	0	0	1.817766E+9
2346.93	1.4	-2.206317	-0.212973	0	0	0	0	0	1.817767E+9
2033.48	1.2	-2.210394	-0.210547	0	0	0	0	0	1.817768E+9
1717.37	1	-2.207604	-0.210153	0	0	0	0	0	1.817769E+9
1399.02	0.8	-2.207503	-0.21347	0	0	0	0	0	1.81777E+9
1078.87	0.6	-2.21132	-0.214546	0	0	0	0	0	1.817771E+9
757.37	0.4	-2.207714	-0.218379	0	0	0	0	0	1.817772E+9
434.94	0.2	-2.211846	-0.219354	0	0	0	0	0	1.817773E+9
112.03	0	-2.208091	-0.215049	0	0	0	0	0	1.817774E+9
-210.93	-0.2	-2.204504	-0.209361	0	0	0	0	0	1.817775E+9
-533.51	-0.4	-2.209299	-0.21068	0	0	0	0	0	1.817776E+9
-855.25	-0.6	-2.210248	-0.218129	0	0	0	0	0	1.817777E+9
-1175.74	-0.8	-2.212896	-0.219049	0	0	0	0	0	1.817778E+9
-1494.53	-1	-2.184001	-0.207918	0	0	0	0	0	1.817779E+9
-1811.18	-1.2	2.77678	0.153553	0	0	0	0	0	1.81778E+9
-2125.26	-1.4	3.53183	0.2122	0	0	0	0	0	1.817781E+9
-2436.33	-1.6	3.583265	0.2144	0	0	0	0	0	1.817782E+9
-2743.95	-1.8	3.595035	0.209523	0	0	0	0	0	1.817783E+9
-3047.69	-2	3.599824	0.215352	0	0	0	0	0	1.817784E+9
