03/06/2021	17:55

Si/Pt30/[co88Tb12]450/Pt30

Field	Kepco	Channel A	Channel B	Agilent	0	RF out	Monitor+	Monitor-	Time
8342.16	7.4	0.074269	0.002	-0.000428	0	-0.000505	-0.212787	0.00186	3.03041E+9
8311.94	7.2	0.088775	0.002523	-0.000194	0	-0.000403	-0.212787	0.001899	3.03041E+9
8265.94	7	0.093502	0.002584	-0.000444	0	-0.000385	-0.212787	0.001851	3.030411E+9
8204.61	6.8	0.094565	0.002406	-0.000409	0	-0.000427	-0.212787	0.001909	3.030411E+9
8128.37	6.6	0.094243	0.002097	-0.000452	0	-0.000382	-0.212787	0.001876	3.030412E+9
8037.67	6.4	0.094935	0.002091	-0.000329	0	-0.000321	-0.212787	0.001881	3.030412E+9
7932.95	6.2	0.094831	0.001854	-0.000252	0	-0.000506	-0.212787	0.001884	3.030413E+9
7814.63	6	0.095091	0.002497	2.6E-5	0	-0.000495	-0.212787	0.001856	3.030413E+9
7683.15	5.8	0.095244	0.001974	-0.000207	0	-0.000355	-0.212787	0.001888	3.030414E+9
7538.96	5.6	0.095136	0.001918	-0.000561	0	-0.000365	-0.212787	0.001902	3.030414E+9
7382.49	5.4	0.095169	0.001974	-9.5E-5	0	-0.000405	-0.212787	0.001899	3.030415E+9
7214.18	5.2	0.095533	0.00174	-1.8E-5	0	-0.000444	-0.212787	0.001907	3.030415E+9
7034.46	5	0.095695	0.001837	1.9E-5	0	-0.000387	-0.212787	0.001868	3.030416E+9
6843.76	4.8	0.095685	0.00187	-0.000142	0	-0.000433	-0.212787	0.001883	3.030416E+9
6642.54	4.6	0.09603	0.001759	-0.000211	0	-0.000437	-0.212787	0.001921	3.030417E+9
6431.22	4.4	0.096475	0.001899	-5.8E-5	0	-0.000436	-0.212787	0.001912	3.030417E+9
6210.24	4.2	0.096202	0.002399	-0.000238	0	-0.000323	-0.212787	0.001902	3.030418E+9
5980.04	4	0.096215	0.002276	-1.7E-5	0	-0.000431	-0.212787	0.00193	3.030418E+9
