28/05/2021	15:32

Si/Pt30[Co88Tb12]450/Pt30

Field	Kepco	Channel A	Channel B	Agilent	0	RF out	Monitor+	Monitor-	Time
8342.16	7.4	-1.839803	-0.080019	0.013053	0	0.013748	-0.212787	0.09089	2.503394E+9
8311.94	7.2	-1.839618	-0.079636	0.013212	0	0.013256	-0.212787	0.090896	2.503395E+9
8265.94	7	-1.839414	-0.079535	0.013116	0	0.013375	-0.212787	0.090956	2.503396E+9
8204.61	6.8	-1.83942	-0.079366	0.012974	0	0.013178	-0.212787	0.090799	2.503397E+9
8128.37	6.6	-1.840336	-0.079165	0.013166	0	0.013496	-0.212787	0.091269	2.503398E+9
8037.67	6.4	-1.841304	-0.078733	0.012873	0	0.013345	-0.212787	0.090804	2.503399E+9
7932.95	6.2	-1.841659	-0.079191	0.013033	0	0.013218	-0.212787	0.090813	2.5034E+9
7814.63	6	-1.84262	-0.079214	0.012942	0	0.013575	-0.212787	0.090889	2.503401E+9
7683.15	5.8	-1.843972	-0.079357	0.013325	0	0.01421	-0.212787	0.091239	2.503402E+9
7538.96	5.6	-1.845187	-0.079899	0.013806	0	0.01408	-0.212787	0.091249	2.503403E+9
7382.49	5.4	-1.845261	-0.080123	0.012734	0	0.013715	-0.212787	0.090986	2.503404E+9
7214.18	5.2	-1.84609	-0.079626	0.013387	0	0.01359	-0.212787	0.091126	2.503405E+9
7034.46	5	-1.846922	-0.079094	0.013225	0	0.013614	-0.212787	0.090726	2.503406E+9
6843.76	4.8	-1.847799	-0.079792	0.013689	0	0.013987	-0.212787	0.091215	2.503407E+9
6642.54	4.6	-1.848725	-0.080149	0.013798	0	0.01394	-0.212787	0.091049	2.503408E+9
6431.22	4.4	-1.849638	-0.080224	0.013572	0	0.013645	-0.212787	0.090802	2.503409E+9
6210.24	4.2	-1.850989	-0.079578	0.013988	0	0.013911	-0.212787	0.090719	2.50341E+9
5980.04	4	-1.850888	-0.080208	0.013451	0	0.013728	-0.212787	0.09123	2.503411E+9
5741.05	3.8	-1.851831	-0.079821	0.013488	0	0.013705	-0.212787	0.090816	2.503412E+9
5493.71	3.6	-1.853452	-0.079743	0.013335	0	0.013204	-0.212787	0.091214	2.503413E+9
5238.46	3.4	-1.853487	-0.080377	0.013417	0	0.013373	-0.212787	0.091273	2.503414E+9
4975.74	3.2	-1.854319	-0.080032	0.013209	0	0.013574	-0.212787	0.090985	2.503415E+9
4705.98	3	-1.85481	-0.080097	0.013157	0	0.014069	-0.212787	0.090735	2.503416E+9
4429.62	2.8	-1.854943	-0.080439	0.013881	0	0.013637	-0.212787	0.091205	2.503417E+9
4147.09	2.6	-1.855606	-0.080419	0.013614	0	0.014204	-0.212787	0.091047	2.503418E+9
3858.83	2.4	-1.856457	-0.079812	0.013529	0	0.013792	-0.212787	0.091184	2.503419E+9
3565.29	2.2	-1.856454	-0.080429	0.014014	0	0.014221	-0.212787	0.090684	2.50342E+9
3266.89	2	-1.856873	-0.080029	0.013422	0	0.014151	-0.212787	0.090751	2.503421E+9
2964.07	1.8	-1.857366	-0.079652	0.013904	0	0.014035	-0.212787	0.091136	2.503422E+9
2657.27	1.6	-1.857857	-0.080406	0.013343	0	0.013744	-0.212787	0.090782	2.503423E+9
2346.93	1.4	-1.8576	-0.080075	0.013446	0	0.01372	-0.212787	0.09098	2.503424E+9
2033.48	1.2	-1.85735	-0.080942	0.013462	0	0.013935	-0.212787	0.090788	2.503425E+9
1717.37	1	-1.857782	-0.080432	0.013404	0	0.013409	-0.212787	0.091054	2.503426E+9
1399.02	0.8	-1.857535	-0.080296	0.013467	0	0.013772	-0.212787	0.090771	2.503427E+9
1078.87	0.6	-1.858672	-0.080374	0.012654	0	0.013894	-0.212787	0.090779	2.503428E+9
757.37	0.4	-1.859124	-0.079714	0.01336	0	0.01413	-0.212787	0.091007	2.503429E+9
434.94	0.2	-1.859998	-0.079997	0.013616	0	0.013198	-0.212787	0.091111	2.50343E+9
112.03	0	-1.860346	-0.080042	0.013217	0	0.013556	-0.212787	0.091124	2.503431E+9
-210.93	-0.2	-1.86132	-0.07999	0.01328	0	0.013791	-0.212787	0.091251	2.503432E+9
-533.51	-0.4	-1.862178	-0.080065	0.014016	0	0.014087	-0.212787	0.090739	2.503433E+9
-855.25	-0.6	-1.862539	-0.08012	0.013449	0	0.013995	-0.212787	0.090744	2.503434E+9
-1175.74	-0.8	-1.863497	-0.080864	0.013933	0	0.013587	-0.212787	0.091229	2.503435E+9
-1494.53	-1	-1.863487	-0.080383	0.013439	0	0.013529	-0.212787	0.091249	2.503436E+9
-1811.18	-1.2	-1.864283	-0.080237	0.013143	0	0.013735	-0.212787	0.090717	2.503437E+9
-2125.26	-1.4	-1.864312	-0.080802	0.01339	0	0.013881	-0.212787	0.090934	2.503438E+9
-2436.33	-1.6	-1.863851	-0.08037	0.013104	0	0.013662	-0.212787	0.090741	2.503439E+9
-2743.95	-1.8	-1.861934	-0.080828	0.013325	0	0.013039	-0.212787	0.09104	2.50344E+9
-3047.69	-2	-0.095672	-0.006489	0.006826	0	0.007235	-0.212787	0.091345	2.503441E+9
-3347.11	-2.2	2.07867	0.074263	0.001417	0	0.001493	-0.212787	0.090996	2.503442E+9
-3641.77	-2.4	2.328519	0.083035	0.000904	0	0.000854	-0.212787	0.091139	2.503443E+9
-3931.24	-2.6	2.382859	0.086225	0.000519	0	0.000669	-0.212787	0.091171	2.503444E+9
-4215.08	-2.8	2.403264	0.087014	0.00045	0	0.001167	-0.212787	0.091011	2.503445E+9
-4492.85	-3	2.413079	0.086927	0.000573	0	0.000709	-0.212787	0.091143	2.503446E+9
-4764.12	-3.2	2.423537	0.087745	0.000829	0	0.000819	-0.212787	0.091286	2.503447E+9
-5028.44	-3.4	2.430821	0.087736	0.000838	0	0.001058	-0.212787	0.091294	2.503448E+9
-5285.39	-3.6	2.434755	0.08833	0.00051	0	0.001129	-0.212787	0.091455	2.503449E+9
-5534.53	-3.8	2.436233	0.087989	0.000692	0	0.000989	-0.212787	0.091468	2.50345E+9
-5775.41	-4	2.43661	0.087109	0.000704	0	0.000742	-0.212787	0.091462	2.503451E+9
-6007.6	-4.2	2.436142	0.088252	0.000519	0	0.00076	-0.212787	0.091151	2.503452E+9
-6230.67	-4.4	2.435866	0.087895	0.000834	0	0.001117	-0.212787	0.091057	2.503453E+9
-6444.17	-4.6	2.435116	0.087898	0.000906	0	0.000841	-0.212787	0.090939	2.503454E+9
-6647.68	-4.8	2.43534	0.087167	0.001124	0	0.000632	-0.212787	0.09129	2.503455E+9
-6840.75	-5	2.434885	0.086686	0.000595	0	0.000306	-0.212787	0.090992	2.503456E+9
-7022.95	-5.2	2.434684	0.087732	0.00043	0	0.000892	-0.212787	0.091074	2.503457E+9
-7193.84	-5.4	2.433966	0.087472	0.000903	0	0.000828	-0.212787	0.091011	2.503458E+9
-7352.98	-5.6	2.433693	0.087599	0.000674	0	0.000909	-0.212787	0.091167	2.503459E+9
-7499.94	-5.8	2.433209	0.087862	0.000695	0	0.000409	-0.212787	0.090963	2.50346E+9
-7634.28	-6	2.432747	0.087726	0.000487	0	0.000796	-0.212787	0.091287	2.503461E+9
-7755.56	-6.2	2.432484	0.086979	0.000722	0	0.000922	-0.212787	0.091028	2.503462E+9
-7863.34	-6.4	2.431743	0.086972	0.000783	0	0.000809	-0.212787	0.091001	2.503463E+9
-7957.2	-6.6	2.430486	0.087726	0.00074	0	0.000781	-0.212787	0.090967	2.503464E+9
-8036.69	-6.8	2.430727	0.086995	0.000861	0	0.001358	-0.212787	0.09139	2.503465E+9
-8101.38	-7	2.429927	0.087161	0.001066	0	0.001345	-0.212787	0.091165	2.503466E+9
-8150.82	-7.2	2.429427	0.086088	0.001336	0	0.001058	-0.212787	0.090994	2.503467E+9
-8184.58	-7.4	2.42959	0.087541	0.000838	0	0.001176	-0.212787	0.091439	2.503468E+9
-8150.82	-7.2	2.429196	0.087157	0.00099	0	0.001117	-0.212787	0.090989	2.503469E+9
-8101.38	-7	2.431259	0.087333	0.000966	0	0.001308	-0.212787	0.090936	2.50347E+9
-8036.69	-6.8	2.430269	0.086589	0.001103	0	0.000787	-0.212787	0.091313	2.503471E+9
-7957.2	-6.6	2.432439	0.086803	0.000822	0	0.00136	-0.212787	0.091205	2.503472E+9
-7863.34	-6.4	2.432708	0.087177	0.000945	0	0.000961	-0.212787	0.091017	2.503473E+9
-7755.56	-6.2	2.433514	0.087053	0.00103	0	0.000969	-0.212787	0.091025	2.503474E+9
-7634.28	-6	2.434456	0.087453	0.001201	0	0.00095	-0.212787	0.090972	2.503475E+9
-7499.94	-5.8	2.435353	0.087505	0.000815	0	0.000893	-0.212787	0.091015	2.503476E+9
-7352.98	-5.6	2.435951	0.087398	0.000734	0	0.001185	-0.212787	0.091434	2.503477E+9
-7193.84	-5.4	2.435753	0.088187	0.001181	0	0.001177	-0.212787	0.090986	2.503478E+9
-7022.95	-5.2	2.436695	0.08719	0.001146	0	0.001055	-0.212787	0.091376	2.503479E+9
-6840.75	-5	2.437218	0.087736	0.000528	0	0.000709	-0.212787	0.091417	2.50348E+9
-6647.68	-4.8	2.438238	0.08641	0.000656	0	0.00094	-0.212787	0.090997	2.503481E+9
-6444.17	-4.6	2.438956	0.087807	0.000783	0	0.001112	-0.212787	0.091164	2.503482E+9
-6230.67	-4.4	2.438748	0.087963	0.001342	0	0.001078	-0.212787	0.09108	2.503483E+9
-6007.6	-4.2	2.440236	0.087719	0.00051	0	0.000965	-0.212787	0.090988	2.503484E+9
-5775.41	-4	2.440554	0.087885	0.000658	0	0.000693	-0.212787	0.090936	2.503485E+9
-5534.53	-3.8	2.440496	0.087934	0.000475	0	0.001069	-0.212787	0.091296	2.503486E+9
-5285.39	-3.6	2.441877	0.087388	0.001003	0	0.000962	-0.212787	0.091133	2.503487E+9
-5028.44	-3.4	2.442637	0.088307	0.001451	0	0.001031	-0.212787	0.091549	2.503488E+9
-4764.12	-3.2	2.442341	0.088372	0.001553	0	0.000839	-0.212787	0.090993	2.503489E+9
-4492.85	-3	2.442578	0.087823	0.000828	0	0.001077	-0.212787	0.091255	2.50349E+9
-4215.08	-2.8	2.44317	0.087843	0.001895	0	0.00151	-0.212787	0.091257	2.503491E+9
-3931.24	-2.6	2.444151	0.088301	0.002224	0	0.00127	-0.212787	0.091346	2.503492E+9
-3641.77	-2.4	2.443978	0.087424	0.001746	0	0.001123	-0.212787	0.091094	2.503493E+9
-3347.11	-2.2	2.444391	0.087921	0.001409	0	0.001088	-0.212787	0.091451	2.503494E+9
-3047.69	-2	2.444108	0.088317	0.001555	0	0.001068	-0.212787	0.091066	2.503495E+9
-2743.95	-1.8	2.44493	0.088272	0.001621	0	0.000968	-0.212787	0.091032	2.503496E+9
-2436.33	-1.6	2.445353	0.08795	0.001381	0	0.000764	-0.212787	0.091512	2.503497E+9
-2125.26	-1.4	2.445285	0.087453	0.001159	0	0.000809	-0.212787	0.091451	2.503498E+9
-1811.18	-1.2	2.446285	0.088288	0.001444	0	0.001073	-0.212787	0.091162	2.503499E+9
-1494.53	-1	2.446808	0.088285	0.001854	0	0.000921	-0.212787	0.091244	2.5035E+9
-1175.74	-0.8	2.446688	0.087476	0.001505	0	0.000879	-0.212787	0.091506	2.503501E+9
-855.25	-0.6	2.447201	0.087859	0.001743	0	0.0008	-0.212787	0.091473	2.503502E+9
-533.51	-0.4	2.447598	0.087891	0.001151	0	0.001036	-0.212787	0.090936	2.503503E+9
-210.93	-0.2	2.44801	0.087904	0.001688	0	0.001112	-0.212787	0.091269	2.503504E+9
112.03	0	2.44854	0.087917	0.001954	0	0.000995	-0.212787	0.091301	2.503505E+9
