31/05/2021	09:04

Si/Pt30/[co88Tb12]450/Pt30

Field	Kepco	Channel A	Channel B	Agilent	0	RF out	Monitor+	Monitor-	Time
8342.16	7.4	-0.276523	-0.000209	0.01057	0	0.010433	-0.212787	0.007874	2.739299E+9
8311.94	7.2	-0.276559	-8.276872E-5	0.010692	0	0.01043	-0.212787	0.007958	2.7393E+9
8265.94	7	-0.276422	-6.002713E-5	0.011121	0	0.010512	-0.212787	0.007953	2.739301E+9
8204.61	6.8	-0.276906	3.418807E-5	0.010972	0	0.010534	-0.212787	0.007984	2.739302E+9
8128.37	6.6	-0.276829	0.000122	0.010969	0	0.010517	-0.212787	0.007962	2.739303E+9
8037.67	6.4	-0.276881	3.743687E-5	0.010923	0	0.010595	-0.212787	0.007938	2.739304E+9
7932.95	6.2	-0.2769	-1.548729E-6	0.01064	0	0.010549	-0.212787	0.007977	2.739305E+9
7814.63	6	-0.277053	-1.548729E-6	0.010385	0	0.010488	-0.212787	0.00787	2.739306E+9
7683.15	5.8	-0.277241	6.017847E-5	0.011087	0	0.01064	-0.212787	0.007876	2.739307E+9
7538.96	5.6	-0.277777	-3.078793E-5	0.010104	0	0.010553	-0.212787	0.007868	2.739308E+9
7382.49	5.4	-0.277751	-5.028073E-5	0.010093	0	0.01048	-0.212787	0.007921	2.739309E+9
7214.18	5.2	-0.277797	-0.0002	0.010207	0	0.010494	-0.212787	0.007881	2.73931E+9
7034.46	5	-0.27817	-0.000206	0.010482	0	0.010551	-0.212787	0.00792	2.739311E+9
6843.76	4.8	-0.276816	-0.000119	0.010552	0	0.010372	-0.212787	0.007919	2.739312E+9
6642.54	4.6	-0.276903	-0.000352	0.010457	0	0.010479	-0.212787	0.007896	2.739313E+9
6431.22	4.4	-0.277683	6.992487E-5	0.010339	0	0.010512	-0.212787	0.007903	2.739314E+9
6210.24	4.2	-0.2773	-6.327593E-5	0.010382	0	0.010607	-0.212787	0.007899	2.739315E+9
5980.04	4	-0.277238	-0.000382	0.010403	0	0.010567	-0.212787	0.007889	2.739316E+9
5741.05	3.8	-0.276984	-0.000119	0.01051	0	0.010483	-0.212787	0.007935	2.739317E+9
5493.71	3.6	-0.277192	0.000421	0.010414	0	0.010586	-0.212787	0.007942	2.739318E+9
5238.46	3.4	-0.277189	0.000281	0.01044	0	0.010627	-0.212787	0.007888	2.739319E+9
4975.74	3.2	-0.277114	0.00046	0.010305	0	0.010678	-0.212787	0.007952	2.73932E+9
4705.98	3	-0.277101	0.000453	0.010232	0	0.010663	-0.212787	0.00791	2.739321E+9
4429.62	2.8	-0.277251	0.000437	0.010228	0	0.010571	-0.212787	0.007943	2.739322E+9
4147.09	2.6	-0.277228	0.000349	0.010356	0	0.0105	-0.212787	0.007868	2.739323E+9
3858.83	2.4	-0.277326	0.000375	0.0103	0	0.010534	-0.212787	0.007863	2.739324E+9
3565.29	2.2	-0.276819	0.000288	0.010417	0	0.010611	-0.212787	0.007929	2.739325E+9
3266.89	2	-0.277391	0.000668	0.010412	0	0.010514	-0.212787	0.007941	2.739326E+9
2964.07	1.8	-0.27677	0.000223	0.010007	0	0.010605	-0.212787	0.007835	2.739327E+9
2657.27	1.6	-0.276913	0.000353	0.009992	0	0.010548	-0.212787	0.007877	2.739328E+9
2346.93	1.4	-0.276877	-0.00017	0.01001	0	0.010469	-0.212787	0.007807	2.739329E+9
2033.48	1.2	-0.276744	-0.000174	0.009925	0	0.01053	-0.212787	0.007864	2.73933E+9
1717.37	1	-0.276374	0.00021	0.00998	0	0.010472	-0.212787	0.00784	2.739331E+9
1399.02	0.8	-0.275178	-0.000232	0.010181	0	0.010426	-0.212787	0.007926	2.739332E+9
1078.87	0.6	-0.26808	-0.000138	0.010696	0	0.010465	-0.212787	0.0079	2.739333E+9
757.37	0.4	-0.246017	0.000229	0.010118	0	0.010431	-0.212787	0.00791	2.739334E+9
434.94	0.2	-0.212717	0.000457	0.010338	0	0.010287	-0.212787	0.007887	2.739335E+9
112.03	0	-0.177409	0.000859	0.010287	0	0.010216	-0.212787	0.007952	2.739336E+9
-210.93	-0.2	-0.143982	0.001421	0.010098	0	0.010139	-0.212787	0.007924	2.739337E+9
-533.51	-0.4	-0.111666	0.001867	0.01023	0	0.010087	-0.212787	0.007902	2.739338E+9
-855.25	-0.6	-0.081455	0.001961	0.010012	0	0.010038	-0.212787	0.007899	2.739339E+9
-1175.74	-0.8	-0.052707	0.002318	0.009895	0	0.009942	-0.212787	0.007899	2.73934E+9
-1494.53	-1	-0.025677	0.002052	0.009948	0	0.009741	-0.212787	0.007925	2.739341E+9
-1811.18	-1.2	0.001636	0.002796	0.009687	0	0.00979	-0.212787	0.007898	2.739342E+9
-2125.26	-1.4	0.026142	0.002731	0.009718	0	0.009612	-0.212787	0.00788	2.739343E+9
-2436.33	-1.6	0.050452	0.003043	0.009583	0	0.009552	-0.212787	0.007902	2.739344E+9
-2743.95	-1.8	0.073561	0.002656	0.009717	0	0.009489	-0.212787	0.007888	2.739345E+9
-3047.69	-2	0.096683	0.003621	0.008945	0	0.009585	-0.212787	0.007881	2.739346E+9
-3347.11	-2.2	0.118934	0.003098	0.009794	0	0.009455	-0.212787	0.007943	2.739347E+9
-3641.77	-2.4	0.141555	0.003046	0.009667	0	0.009385	-0.212787	0.007922	2.739348E+9
-3931.24	-2.6	0.165154	0.003627	0.009891	0	0.009373	-0.212787	0.007971	2.739349E+9
-4215.08	-2.8	0.188257	0.00402	0.009949	0	0.00934	-0.212787	0.007976	2.73935E+9
-4492.85	-3	0.211034	0.003952	0.009787	0	0.009041	-0.212787	0.007978	2.739351E+9
-4764.12	-3.2	0.234149	0.004339	0.009822	0	0.009072	-0.212787	0.007935	2.739352E+9
-5028.44	-3.4	0.256027	0.004365	0.009623	0	0.008969	-0.212787	0.007957	2.739353E+9
-5285.39	-3.6	0.277849	0.004722	0.008544	0	0.008953	-0.212787	0.007888	2.739354E+9
-5534.53	-3.8	0.298537	0.004758	0.008699	0	0.008827	-0.212787	0.00785	2.739355E+9
-5775.41	-4	0.315941	0.005122	0.008733	0	0.008792	-0.212787	0.007886	2.739356E+9
-6007.6	-4.2	0.331379	0.005138	0.008527	0	0.008753	-0.212787	0.007868	2.739357E+9
-6230.67	-4.4	0.34376	0.005031	0.008448	0	0.008755	-0.212787	0.007921	2.739358E+9
-6444.17	-4.6	0.35326	0.004969	0.008337	0	0.00874	-0.212787	0.007902	2.739359E+9
-6647.68	-4.8	0.359927	0.005473	0.008635	0	0.008719	-0.212787	0.007873	2.73936E+9
-6840.75	-5	0.365245	0.00544	0.008533	0	0.008844	-0.212787	0.007896	2.739361E+9
-7022.95	-5.2	0.368536	0.005599	0.008404	0	0.008602	-0.212787	0.007921	2.739362E+9
-7193.84	-5.4	0.371444	0.005476	0.008614	0	0.008725	-0.212787	0.007865	2.739363E+9
-7352.98	-5.6	0.373289	0.005427	0.008261	0	0.008739	-0.212787	0.007915	2.739364E+9
-7499.94	-5.8	0.374673	0.005378	0.008899	0	0.008657	-0.212787	0.007964	2.739365E+9
-7634.28	-6	0.376265	0.00543	0.008553	0	0.008569	-0.212787	0.007922	2.739366E+9
