04/05/2022	11:57

Co88Tb12_20210526_CVEJ6

Field	Kepco	Channel A	Channel B	Agilent	0	RF out	Monitor+	Monitor-	Time
8265.94	7	1.679512	0.837669	0.002547	0	0.002354	-0.212787	0.004403	1.642359E+9
8204.61	6.8	1.675181	0.835626	0.002247	0	0.00226	-0.212787	0.004354	1.64236E+9
8128.37	6.6	1.667296	0.832166	0.002517	0	0.002227	-0.212787	0.004408	1.642361E+9
8037.67	6.4	1.670877	0.833839	0.002895	0	0.002388	-0.212787	0.004394	1.642362E+9
7932.95	6.2	1.658151	0.82891	0.002644	0	0.002226	-0.212787	0.004405	1.642363E+9
7814.63	6	1.646114	0.822796	0.002748	0	0.002237	-0.212787	0.004366	1.642364E+9
7683.15	5.8	1.64626	0.821886	0.002625	0	0.002226	-0.212787	0.004351	1.642365E+9
7538.96	5.6	1.636225	0.820152	0.002598	0	0.002315	-0.212787	0.004427	1.642366E+9
7382.49	5.4	1.633252	0.815499	0.002737	0	0.00232	-0.212787	0.004388	1.642367E+9
7214.18	5.2	1.630526	0.813618	0.002909	0	0.002343	-0.212787	0.004389	1.642368E+9
7034.46	5	1.6213	0.808456	0.002695	0	0.002304	-0.212787	0.004437	1.642369E+9
6843.76	4.8	1.604195	0.800496	0.002372	0	0.00235	-0.212787	0.004374	1.64237E+9
6642.54	4.6	1.589442	0.793992	0.002983	0	0.00232	-0.212787	0.004346	1.642371E+9
6431.22	4.4	1.578536	0.788693	0.002753	0	0.002283	-0.212787	0.004357	1.642372E+9
6210.24	4.2	1.553507	0.776822	0.001981	0	0.002342	-0.212787	0.004374	1.642373E+9
5980.04	4	1.533745	0.764974	0.002825	0	0.002338	-0.212787	0.004355	1.642374E+9
5741.05	3.8	1.496529	0.745413	0.002423	0	0.002165	-0.212787	0.004308	1.642375E+9
5493.71	3.6	1.457632	0.728643	0.002374	0	0.002209	-0.212787	0.004328	1.642376E+9
5238.46	3.4	1.41375	0.703692	0.002362	0	0.002215	-0.212787	0.004317	1.642377E+9
4975.74	3.2	1.356438	0.676191	0.002309	0	0.002176	-0.212787	0.004248	1.642378E+9
4705.98	3	1.280673	0.637524	0.002117	0	0.002197	-0.212787	0.004205	1.642379E+9
4429.62	2.8	1.217964	0.60729	0.002172	0	0.002132	-0.212787	0.004257	1.64238E+9
4147.09	2.6	1.159512	0.579406	0.002393	0	0.002186	-0.212787	0.004286	1.642381E+9
3858.83	2.4	1.09579	0.546869	0.002217	0	0.002077	-0.212787	0.004311	1.642382E+9
3565.29	2.2	1.002997	0.501646	0.002015	0	0.002096	-0.212787	0.004303	1.642383E+9
3266.89	2	0.92246	0.460288	0.002036	0	0.002033	-0.212787	0.004303	1.642384E+9
2964.07	1.8	0.835873	0.417079	0.002046	0	0.001911	-0.212787	0.004272	1.642385E+9
2657.27	1.6	0.745088	0.372191	0.002025	0	0.001925	-0.212787	0.004276	1.642386E+9
2346.93	1.4	0.659164	0.328758	0.001951	0	0.001905	-0.212787	0.004258	1.642387E+9
2033.48	1.2	0.574503	0.285883	0.001947	0	0.002021	-0.212787	0.004302	1.642388E+9
1717.37	1	0.489846	0.241085	0.001961	0	0.001983	-0.212787	0.004353	1.642389E+9
1399.02	0.8	0.408581	0.200677	0.002033	0	0.001894	-0.212787	0.004344	1.64239E+9
1078.87	0.6	0.324492	0.161048	0.001904	0	0.001946	-0.212787	0.004287	1.642391E+9
757.37	0.4	0.240146	0.118593	0.001806	0	0.001953	-0.212787	0.00432	1.642392E+9
434.94	0.2	0.157572	0.074818	0.001947	0	0.001876	-0.212787	0.004307	1.642393E+9
112.03	0	0.072356	0.033152	0.001795	0	0.001808	-0.212787	0.004306	1.642394E+9
-210.93	-0.2	-0.00672	-0.007536	0.002165	0	0.001849	-0.212787	0.004356	1.642395E+9
-533.51	-0.4	-0.091101	-0.05042	0.002003	0	0.001871	-0.212787	0.004389	1.642396E+9
-855.25	-0.6	-0.17238	-0.092384	0.002083	0	0.00179	-0.212787	0.004327	1.642397E+9
-1175.74	-0.8	-0.250591	-0.131506	0.0018	0	0.001673	-0.212787	0.004347	1.642398E+9
-1494.53	-1	-0.334202	-0.173033	0.002225	0	0.001723	-0.212787	0.004335	1.642399E+9
-1811.18	-1.2	-0.408229	-0.210598	0.002161	0	0.001651	-0.212787	0.004254	1.6424E+9
-2125.26	-1.4	-0.488247	-0.251767	0.001894	0	0.00162	-0.212787	0.0043	1.642401E+9
-2436.33	-1.6	-0.576254	-0.296503	0.001795	0	0.001482	-0.212787	0.00434	1.642402E+9
-2743.95	-1.8	-0.656428	-0.336304	0.002054	0	0.001566	-0.212787	0.004314	1.642403E+9
-3047.69	-2	-0.742196	-0.380098	0.002073	0	0.001538	-0.212787	0.004348	1.642404E+9
-3347.11	-2.2	-0.830343	-0.42296	0.001619	0	0.00152	-0.212787	0.004392	1.642405E+9
-3641.77	-2.4	-0.91319	-0.46663	0.001549	0	0.001538	-0.212787	0.004311	1.642406E+9
-3931.24	-2.6	-0.99686	-0.506896	0.002004	0	0.001424	-0.212787	0.004353	1.642407E+9
-4215.08	-2.8	-1.089064	-0.553376	0.001279	0	0.001438	-0.212787	0.004319	1.642408E+9
-4492.85	-3	-1.175905	-0.598966	0.001245	0	0.001404	-0.212787	0.004324	1.642409E+9
-4764.12	-3.2	-1.252739	-0.635905	0.001877	0	0.001425	-0.212787	0.004301	1.64241E+9
-5028.44	-3.4	-1.328819	-0.674199	0.001408	0	0.001467	-0.212787	0.0043	1.642411E+9
-5285.39	-3.6	-1.416897	-0.717674	0.001134	0	0.00138	-0.212787	0.004236	1.642412E+9
