04/05/2022	14:51

Co88Tb12_20210526_CVEJ1

Field	Kepco	Channel A	Channel B	Agilent	0	RF out	Monitor+	Monitor-	Time
8265.94	7	0.228977	-0.204286	0.001145	0	0.000777	-0.212787	0.009135	1.652841E+9
8084.8	6.5	0.240825	-0.193344	0.001265	0	0.000627	-0.212787	0.009196	1.652842E+9
7814.63	6	0.260205	-0.206404	0.001135	0	0.000702	-0.212787	0.009181	1.652843E+9
7462.23	5.5	0.302277	-0.202441	0.001358	0	0.000703	-0.212787	0.009156	1.652844E+9
7034.46	5	0.29918	-0.186778	0.001152	0	0.000684	-0.212787	0.009183	1.652845E+9
6538.11	4.5	0.336837	-0.188926	0.001194	0	0.000696	-0.212787	0.009226	1.652846E+9
5980.04	4	0.345125	-0.17902	0.00098	0	0.000631	-0.212787	0.009185	1.652847E+9
5367.05	3.5	0.398041	-0.194043	0.00108	0	0.000619	-0.212787	0.009259	1.652848E+9
4705.98	3	0.431468	-0.167006	0.001278	0	0.000666	-0.212787	0.00924	1.652849E+9
4003.65	2.5	0.448404	-0.166606	0.001063	0	0.00066	-0.212787	0.00916	1.65285E+9
3266.89	2	0.459691	-0.166538	0.001073	0	0.000689	-0.212787	0.009159	1.652851E+9
2502.52	1.5	0.495177	-0.136497	0.001097	0	0.000552	-0.212787	0.009202	1.652852E+9
1717.37	1	0.51404	-0.153891	0.001332	0	0.000632	-0.212787	0.00924	1.652853E+9
918.26	0.5	0.51353	-0.148663	0.000267	0	0.000801	-0.212787	0.009158	1.652854E+9
112.03	0	0.534169	-0.145733	0.000777	0	0.000636	-0.212787	0.009174	1.652855E+9
-694.51	-0.5	0.55207	-0.131292	0.001262	0	0.000681	-0.212787	0.009165	1.652856E+9
-1494.53	-1	0.551174	-0.134697	0.001074	0	0.000634	-0.212787	0.009191	1.652857E+9
-2281.19	-1.5	0.525427	-0.132543	0.0006	0	0.000721	-0.212787	0.00923	1.652858E+9
-3047.69	-2	0.551362	-0.147676	0.000607	0	0.000599	-0.212787	0.009195	1.652859E+9
-3787.18	-2.5	0.570348	-0.159693	0.001123	0	0.000682	-0.212787	0.009177	1.65286E+9
-4492.85	-3	0.566492	-0.14086	0.001231	0	0.000649	-0.212787	0.009122	1.652861E+9
-5157.87	-3.5	0.580192	-0.110172	0.001099	0	0.000688	-0.212787	0.009189	1.652862E+9
-5775.41	-4	0.586826	-0.12586	0.001069	0	0.000574	-0.212787	0.009209	1.652863E+9
-6338.64	-4.5	0.576966	-0.127975	0.000963	0	0.000793	-0.212787	0.009184	1.652864E+9
-6840.75	-5	0.580189	-0.143858	0.001237	0	0.000539	-0.212787	0.009175	1.652865E+9
-7274.9	-5.5	0.584152	-0.144713	0.000614	0	0.000461	-0.212787	0.009155	1.652866E+9
-7634.28	-6	0.595533	-0.13533	0.000151	0	0.000619	-0.212787	0.009219	1.652867E+9
-7912.04	-6.5	0.57708	-0.126451	0.00103	0	0.000586	-0.212787	0.009199	1.652868E+9
-8101.38	-7	0.598025	-0.136571	0.000737	0	0.000741	-0.212787	0.009157	1.652869E+9
-7912.04	-6.5	0.619743	-0.144472	0.000752	0	0.000506	-0.212787	0.009167	1.65287E+9
-7634.28	-6	0.612829	-0.151425	0.000965	0	0.00056	-0.212787	0.009172	1.652871E+9
-7274.9	-5.5	0.634902	-0.132575	0.000911	0	0.000564	-0.212787	0.009195	1.652872E+9
-6840.75	-5	0.633596	-0.151922	0.000797	0	0.000479	-0.212787	0.009133	1.652873E+9
-6338.64	-4.5	0.646042	-0.124967	0.000657	0	0.000455	-0.212787	0.009167	1.652874E+9
-5775.41	-4	0.676763	-0.122991	0.000621	0	0.000604	-0.212787	0.009133	1.652875E+9
-5157.87	-3.5	0.666318	-0.12202	0.000718	0	0.000635	-0.212787	0.009191	1.652876E+9
-4492.85	-3	0.685999	-0.128995	0.000855	0	0.000667	-0.212787	0.009159	1.652877E+9
-3787.18	-2.5	0.687854	-0.107608	0.000673	0	0.000544	-0.212787	0.009138	1.652878E+9
-3047.69	-2	0.686912	-0.129044	0.000641	0	0.000655	-0.212787	0.009206	1.652879E+9
-2281.19	-1.5	0.667936	-0.120207	0.000728	0	0.00046	-0.212787	0.009163	1.65288E+9
-1494.53	-1	0.664813	-0.12509	0.000681	0	0.000547	-0.212787	0.009171	1.652881E+9
-694.51	-0.5	0.6396	-0.129846	0.000718	0	0.000545	-0.212787	0.009193	1.652882E+9
112.03	0	0.618752	-0.131737	0.000674	0	0.000585	-0.212787	0.009155	1.652883E+9
918.26	0.5	0.619282	-0.117952	0.000783	0	0.000621	-0.212787	0.009179	1.652884E+9
1717.37	1	0.596027	-0.145629	0.000674	0	0.000485	-0.212787	0.009261	1.652885E+9
2502.52	1.5	0.580146	-0.118566	0.000647	0	0.000552	-0.212787	0.009203	1.652886E+9
3266.89	2	0.566755	-0.123271	0.000602	0	0.000648	-0.212787	0.009148	1.652887E+9
4003.65	2.5	0.552623	-0.146165	0.000716	0	0.000666	-0.212787	0.009124	1.652888E+9
4705.98	3	0.536271	-0.14263	0.000687	0	0.000634	-0.212787	0.009153	1.652889E+9
5367.05	3.5	0.50545	-0.151941	0.001283	0	0.00073	-0.212787	0.009224	1.65289E+9
5980.04	4	0.471292	-0.160096	0.000673	0	0.000622	-0.212787	0.009228	1.652891E+9
6538.11	4.5	0.44666	-0.173211	0.001067	0	0.000702	-0.212787	0.009178	1.652892E+9
7034.46	5	0.441978	-0.173374	0.001273	0	0.000634	-0.212787	0.00915	1.652893E+9
7462.23	5.5	0.406774	-0.14625	0.000617	0	0.000615	-0.212787	0.009199	1.652894E+9
7814.63	6	0.422547	-0.154095	0.000308	0	0.000682	-0.212787	0.00921	1.652895E+9
8084.8	6.5	0.416537	-0.170817	6.5E-5	0	0.000732	-0.212787	0.00915	1.652896E+9
8265.94	7	0.412885	-0.153793	0.000368	0	0.000567	-0.212787	0.009111	1.652897E+9
