28/05/2021	16:00

Si/Pt30[Co88Tb12]450/Pt30

Field	Kepco	Channel A	Channel B	Agilent	0	RF out	Monitor+	Monitor-	Time
8342.16	7.4	0.272004	0.003679	0.009194	0	0.008718	-0.212787	0.009675	2.505029E+9
8311.94	7.2	0.271855	0.004277	0.00924	0	0.008919	-0.212787	0.009558	2.50503E+9
8265.94	7	0.271244	0.00428	0.008768	0	0.008768	-0.212787	0.009606	2.505031E+9
8204.61	6.8	0.271039	0.004225	0.009185	0	0.008888	-0.212787	0.00961	2.505032E+9
8128.37	6.6	0.270594	0.004128	0.009309	0	0.008825	-0.212787	0.009542	2.505033E+9
8037.67	6.4	0.270474	0.00418	0.008854	0	0.008739	-0.212787	0.009569	2.505034E+9
7932.95	6.2	0.270029	0.004098	0.008523	0	0.008873	-0.212787	0.009459	2.505035E+9
7814.63	6	0.269613	0.004105	0.00843	0	0.009001	-0.212787	0.00941	2.505036E+9
7683.15	5.8	0.269038	0.004228	0.008217	0	0.008868	-0.212787	0.009459	2.505037E+9
7538.96	5.6	0.26869	0.004089	0.00867	0	0.008761	-0.212787	0.009453	2.505038E+9
7382.49	5.4	0.268216	0.004069	0.008223	0	0.008843	-0.212787	0.009382	2.505039E+9
7214.18	5.2	0.268362	0.004251	0.008331	0	0.008858	-0.212787	0.009337	2.50504E+9
7034.46	5	0.267784	0.004274	0.008573	0	0.008996	-0.212787	0.009378	2.505041E+9
6843.76	4.8	0.267774	0.004115	0.008875	0	0.008853	-0.212787	0.009375	2.505042E+9
6642.54	4.6	0.26742	0.004202	0.008553	0	0.008754	-0.212787	0.009362	2.505043E+9
6431.22	4.4	0.267345	0.004254	0.008704	0	0.008862	-0.212787	0.009337	2.505044E+9
6210.24	4.2	0.266936	0.003978	0.008837	0	0.008973	-0.212787	0.009336	2.505045E+9
5980.04	4	0.266702	0.004352	0.008742	0	0.009023	-0.212787	0.009322	2.505046E+9
5741.05	3.8	0.266816	0.004212	0.00875	0	0.009017	-0.212787	0.009339	2.505047E+9
5493.71	3.6	0.266303	0.003712	0.008713	0	0.008887	-0.212787	0.009318	2.505048E+9
5238.46	3.4	0.266277	0.003735	0.008808	0	0.009	-0.212787	0.009241	2.505049E+9
4975.74	3.2	0.265916	0.00365	0.00886	0	0.008931	-0.212787	0.009324	2.50505E+9
4705.98	3	0.26511	0.00392	0.008915	0	0.009001	-0.212787	0.009286	2.505051E+9
4429.62	2.8	0.26472	0.003618	0.009002	0	0.008908	-0.212787	0.009273	2.505052E+9
4147.09	2.6	0.263846	0.00353	0.008921	0	0.008725	-0.212787	0.009196	2.505053E+9
3858.83	2.4	0.263911	0.003705	0.008864	0	0.008865	-0.212787	0.009226	2.505054E+9
3565.29	2.2	0.263018	0.003556	0.008786	0	0.008869	-0.212787	0.009165	2.505055E+9
3266.89	2	0.262557	0.003871	0.008726	0	0.008919	-0.212787	0.00918	2.505056E+9
2964.07	1.8	0.262268	0.003735	0.008747	0	0.008846	-0.212787	0.009206	2.505057E+9
2657.27	1.6	0.262576	0.003959	0.008647	0	0.008927	-0.212787	0.009159	2.505058E+9
2346.93	1.4	0.262021	0.003777	0.009486	0	0.008974	-0.212787	0.009218	2.505059E+9
2033.48	1.2	0.261709	0.003939	0.009335	0	0.008984	-0.212787	0.009152	2.50506E+9
1717.37	1	0.26128	0.003926	0.009325	0	0.00902	-0.212787	0.009242	2.505061E+9
1399.02	0.8	0.260838	0.003878	0.009498	0	0.008903	-0.212787	0.009149	2.505062E+9
1078.87	0.6	0.260815	0.003848	0.009288	0	0.009003	-0.212787	0.009095	2.505063E+9
757.37	0.4	0.260328	0.004141	0.009446	0	0.008916	-0.212787	0.009085	2.505064E+9
434.94	0.2	0.260289	0.00418	0.009057	0	0.008976	-0.212787	0.009111	2.505065E+9
112.03	0	0.25976	0.003822	0.008994	0	0.008948	-0.212787	0.009086	2.505066E+9
-210.93	-0.2	0.260367	0.004225	0.009049	0	0.009057	-0.212787	0.009117	2.505067E+9
-533.51	-0.4	0.260565	0.004518	0.009056	0	0.008999	-0.212787	0.00914	2.505068E+9
-855.25	-0.6	0.259945	0.004446	0.009061	0	0.009081	-0.212787	0.009045	2.505069E+9
-1175.74	-0.8	0.260302	0.004388	0.008969	0	0.009082	-0.212787	0.009061	2.50507E+9
-1494.53	-1	0.25988	0.004436	0.009108	0	0.00906	-0.212787	0.009077	2.505071E+9
-1811.18	-1.2	0.259311	0.004644	0.009405	0	0.009189	-0.212787	0.009096	2.505072E+9
-2125.26	-1.4	0.259048	0.00416	0.009121	0	0.009065	-0.212787	0.009063	2.505073E+9
-2436.33	-1.6	0.258551	0.004105	0.009424	0	0.009234	-0.212787	0.008978	2.505074E+9
-2743.95	-1.8	-0.154914	0.005102	0.007559	0	0.007945	-0.212787	0.008926	2.505075E+9
-3047.69	-2	-0.22362	0.004583	0.007313	0	0.007851	-0.212787	0.008955	2.505076E+9
-3347.11	-2.2	-0.228769	0.005067	0.007292	0	0.00771	-0.212787	0.008978	2.505077E+9
-3641.77	-2.4	-0.230517	0.004449	0.007694	0	0.007689	-0.212787	0.008938	2.505078E+9
-3931.24	-2.6	-0.231349	0.004654	0.007605	0	0.007872	-0.212787	0.008944	2.505079E+9
-4215.08	-2.8	-0.231121	0.004098	0.007657	0	0.007681	-0.212787	0.0089	2.50508E+9
-4492.85	-3	-0.231245	0.004781	0.007846	0	0.00788	-0.212787	0.008921	2.505081E+9
-4764.12	-3.2	-0.231807	0.003939	0.007736	0	0.007679	-0.212787	0.008949	2.505082E+9
-5028.44	-3.4	-0.231414	0.00392	0.007754	0	0.007716	-0.212787	0.008898	2.505083E+9
-5285.39	-3.6	-0.231167	0.003981	0.007714	0	0.007794	-0.212787	0.008838	2.505084E+9
-5534.53	-3.8	-0.231115	0.004748	0.007586	0	0.007896	-0.212787	0.008842	2.505085E+9
-5775.41	-4	-0.230975	0.004134	0.007627	0	0.0077	-0.212787	0.00887	2.505086E+9
-6007.6	-4.2	-0.229705	0.004277	0.00792	0	0.00782	-0.212787	0.008798	2.505087E+9
-6230.67	-4.4	-0.229779	0.004742	0.007396	0	0.007931	-0.212787	0.008851	2.505088E+9
-6444.17	-4.6	-0.229149	0.00442	0.007638	0	0.007691	-0.212787	0.008807	2.505089E+9
-6647.68	-4.8	-0.228873	0.004238	0.008435	0	0.007885	-0.212787	0.008912	2.50509E+9
-6840.75	-5	-0.228314	0.004163	0.008555	0	0.007945	-0.212787	0.008839	2.505091E+9
-7022.95	-5.2	-0.228425	0.004751	0.00831	0	0.007696	-0.212787	0.008768	2.505092E+9
-7193.84	-5.4	-0.227957	0.004349	0.007887	0	0.007842	-0.212787	0.008806	2.505093E+9
-7352.98	-5.6	-0.227856	0.004673	0.007775	0	0.007924	-0.212787	0.008745	2.505094E+9
-7499.94	-5.8	-0.22757	0.004053	0.007985	0	0.007845	-0.212787	0.008804	2.505095E+9
-7634.28	-6	-0.227028	0.004248	0.008046	0	0.007832	-0.212787	0.008819	2.505096E+9
-7755.56	-6.2	-0.227213	0.004222	0.007971	0	0.007819	-0.212787	0.008752	2.505097E+9
-7863.34	-6.4	-0.226865	0.004505	0.008011	0	0.008012	-0.212787	0.008722	2.505098E+9
-7957.2	-6.6	-0.226875	0.005339	0.007945	0	0.007954	-0.212787	0.008706	2.505099E+9
-8036.69	-6.8	-0.225988	0.005002	0.007786	0	0.007876	-0.212787	0.008656	2.5051E+9
-8101.38	-7	-0.225166	0.005375	0.007993	0	0.007855	-0.212787	0.008732	2.505101E+9
-8150.82	-7.2	-0.224133	0.005401	0.008115	0	0.007928	-0.212787	0.008672	2.505102E+9
-8184.58	-7.4	-0.223564	0.005216	0.007859	0	0.00796	-0.212787	0.008685	2.505103E+9
-8150.82	-7.2	-0.223867	0.005067	0.007895	0	0.007958	-0.212787	0.008614	2.505104E+9
-8101.38	-7	-0.223077	0.004651	0.008054	0	0.007926	-0.212787	0.00871	2.505105E+9
-8036.69	-6.8	-0.222616	0.004956	0.008285	0	0.008024	-0.212787	0.008687	2.505106E+9
-7957.2	-6.6	-0.222457	0.005151	0.008267	0	0.007985	-0.212787	0.008617	2.505107E+9
-7863.34	-6.4	-0.223139	0.004647	0.00814	0	0.007964	-0.212787	0.008582	2.505108E+9
-7755.56	-6.2	-0.222671	0.004596	0.007657	0	0.008008	-0.212787	0.008648	2.505109E+9
-7634.28	-6	-0.22207	0.004563	0.008084	0	0.007945	-0.212787	0.008544	2.50511E+9
-7499.94	-5.8	-0.222255	0.005115	0.007687	0	0.008072	-0.212787	0.008556	2.505111E+9
-7352.98	-5.6	-0.221768	0.004547	0.007266	0	0.008028	-0.212787	0.008501	2.505112E+9
-7193.84	-5.4	-0.221251	0.005054	0.007512	0	0.007966	-0.212787	0.008512	2.505113E+9
-7022.95	-5.2	-0.221303	0.004842	0.007651	0	0.008004	-0.212787	0.008549	2.505114E+9
-6840.75	-5	-0.220891	0.004826	0.007483	0	0.008024	-0.212787	0.008542	2.505115E+9
-6647.68	-4.8	-0.220403	0.005122	0.007553	0	0.007915	-0.212787	0.008551	2.505116E+9
-6444.17	-4.6	-0.22041	0.005184	0.007765	0	0.008034	-0.212787	0.008442	2.505117E+9
-6230.67	-4.4	-0.219776	0.004755	0.007707	0	0.007848	-0.212787	0.008504	2.505118E+9
-6007.6	-4.2	-0.219903	0.00521	0.007982	0	0.008001	-0.212787	0.008498	2.505119E+9
-5775.41	-4	-0.219471	0.005041	0.007764	0	0.007939	-0.212787	0.008448	2.50512E+9
-5534.53	-3.8	-0.218928	0.003933	0.007849	0	0.008134	-0.212787	0.008458	2.505121E+9
-5285.39	-3.6	-0.21885	0.004651	0.007789	0	0.008134	-0.212787	0.008417	2.505122E+9
-5028.44	-3.4	-0.218782	0.004901	0.008005	0	0.007983	-0.212787	0.008414	2.505123E+9
-4764.12	-3.2	-0.217947	0.004319	0.008023	0	0.008044	-0.212787	0.008461	2.505124E+9
-4492.85	-3	-0.217681	0.004326	0.007929	0	0.007947	-0.212787	0.008377	2.505125E+9
-4215.08	-2.8	-0.218035	0.004475	0.00789	0	0.008008	-0.212787	0.008395	2.505126E+9
-3931.24	-2.6	-0.217941	0.004332	0.008058	0	0.008056	-0.212787	0.008343	2.505127E+9
-3641.77	-2.4	-0.218275	0.004911	0.007809	0	0.007949	-0.212787	0.008373	2.505128E+9
-3347.11	-2.2	-0.217652	0.003981	0.007943	0	0.008044	-0.212787	0.008392	2.505129E+9
