03/06/2021	17:39

Si/Pt30/[co88Tb12]450/Pt30

Field	Kepco	Channel A	Channel B	Agilent	0	RF out	Monitor+	Monitor-	Time
8342.16	7.4	2.312805	-0.007175	0.014212	0	0.014561	-0.212787	0.052843	3.029385E+9
8311.94	7.2	2.31324	-0.007136	0.014267	0	0.014893	-0.212787	0.052806	3.029386E+9
8265.94	7	2.313662	-0.007269	0.014491	0	0.014509	-0.212787	0.052868	3.029387E+9
8204.61	6.8	2.314033	-0.007435	0.01444	0	0.014737	-0.212787	0.053016	3.029388E+9
8128.37	6.6	2.31464	-0.007471	0.014414	0	0.01447	-0.212787	0.052797	3.029389E+9
8037.67	6.4	2.315664	-0.006954	0.014681	0	0.014346	-0.212787	0.053006	3.02939E+9
7932.95	6.2	2.315394	-0.007055	0.014354	0	0.01437	-0.212787	0.052951	3.029391E+9
7814.63	6	2.316326	-0.007035	0.014245	0	0.014594	-0.212787	0.052884	3.029392E+9
7683.15	5.8	2.316739	-0.007461	0.014571	0	0.014548	-0.212787	0.053082	3.029393E+9
7538.96	5.6	2.316645	-0.007116	0.014186	0	0.014479	-0.212787	0.053008	3.029394E+9
7382.49	5.4	2.316629	-0.007198	0.014374	0	0.014783	-0.212787	0.05296	3.029395E+9
7214.18	5.2	2.31669	-0.006645	0.014002	0	0.014295	-0.212787	0.053017	3.029396E+9
7034.46	5	2.317239	-0.007003	0.014016	0	0.014586	-0.212787	0.052992	3.029397E+9
6843.76	4.8	2.317067	-0.007038	0.01424	0	0.014703	-0.212787	0.05306	3.029398E+9
6642.54	4.6	2.3171	-0.007597	0.014371	0	0.014452	-0.212787	0.052831	3.029399E+9
6431.22	4.4	2.317057	-0.007536	0.013881	0	0.014279	-0.212787	0.053036	3.0294E+9
6210.24	4.2	2.317756	-0.007562	0.014181	0	0.014811	-0.212787	0.052997	3.029401E+9
5980.04	4	2.317863	-0.007542	0.014281	0	0.014092	-0.212787	0.05277	3.029402E+9
5741.05	3.8	2.317428	-0.007409	0.014342	0	0.014391	-0.212787	0.053047	3.029403E+9
5493.71	3.6	2.317697	-0.007042	0.01467	0	0.014523	-0.212787	0.052903	3.029404E+9
5238.46	3.4	2.317009	-0.007025	0.014509	0	0.014336	-0.212787	0.052853	3.029405E+9
4975.74	3.2	2.316183	-0.007289	0.014346	0	0.014361	-0.212787	0.05282	3.029406E+9
4705.98	3	2.315313	-0.006723	0.014413	0	0.014495	-0.212787	0.052857	3.029407E+9
4429.62	2.8	2.315517	-0.00673	0.01462	0	0.014311	-0.212787	0.05307	3.029408E+9
4147.09	2.6	2.314845	-0.007181	0.014469	0	0.014615	-0.212787	0.052806	3.029409E+9
3858.83	2.4	2.313929	-0.006873	0.014281	0	0.014828	-0.212787	0.052824	3.02941E+9
3565.29	2.2	2.313139	-0.007951	0.014439	0	0.014213	-0.212787	0.052971	3.029411E+9
3266.89	2	2.311892	-0.007659	0.014171	0	0.01424	-0.212787	0.053094	3.029412E+9
2964.07	1.8	2.311041	-0.007051	0.01447	0	0.014383	-0.212787	0.053031	3.029413E+9
2657.27	1.6	2.309868	-0.007471	0.014851	0	0.014341	-0.212787	0.052877	3.029414E+9
2346.93	1.4	2.308571	-0.007357	0.014849	0	0.014169	-0.212787	0.053066	3.029415E+9
