06/05/2022	13:00

Co88Tb12_35_20210602_CVMH6

Field	Kepco	Channel A	Channel B	Agilent	0	RF out	Monitor+	Monitor-	Time
8265.94	7	-0.070332	-0.758418	-0.000303	0	-0.000614	-0.212787	0.042748	1.818894E+9
8204.61	6.8	-0.024686	-0.764317	0.000489	0	-0.00056	-0.212787	0.042699	1.818895E+9
8128.37	6.6	-0.0331	-0.755416	0.000255	0	0.000125	-0.212787	0.042721	1.818896E+9
8037.67	6.4	-0.066803	-0.74948	0.000374	0	-0.000749	-0.212787	0.04267	1.818897E+9
7932.95	6.2	-0.036697	-0.742287	0.00024	0	0.001869	-0.212787	0.042743	1.818898E+9
7814.63	6	-0.011415	-0.751699	-0.001317	0	-4.4E-5	-0.212787	0.042757	1.818899E+9
7683.15	5.8	-0.009602	-0.75486	-0.001342	0	0.000177	-0.212787	0.042711	1.8189E+9
7538.96	5.6	0.000398	-0.742154	-0.000256	0	0.001251	-0.212787	0.042723	1.818901E+9
7382.49	5.4	0.016463	-0.740647	0.000658	0	0.00051	-0.212787	0.042776	1.818902E+9
7214.18	5.2	-0.002165	-0.72682	-0.00229	0	-0.000947	-0.212787	0.042734	1.818903E+9
7034.46	5	0.016333	-0.738834	0.000279	0	-0.000494	-0.212787	0.042672	1.818904E+9
6843.76	4.8	0.039004	-0.736014	0.001072	0	0.000415	-0.212787	0.042738	1.818905E+9
6642.54	4.6	0.019758	-0.743385	0.002213	0	0.000477	-0.212787	0.042744	1.818906E+9
6431.22	4.4	0.059718	-0.745997	-0.000601	0	0.001701	-0.212787	0.042713	1.818907E+9
6210.24	4.2	0.041918	-0.732005	0.002641	0	-0.000428	-0.212787	0.042767	1.818908E+9
5980.04	4	0.086241	-0.709124	0.003422	0	0.002141	-0.212787	0.042781	1.818909E+9
5741.05	3.8	0.069331	-0.750698	0.001147	0	-0.000993	-0.212787	0.042745	1.81891E+9
5493.71	3.6	0.08346	-0.732963	-0.001152	0	0.001661	-0.212787	0.042713	1.818911E+9
5238.46	3.4	0.086069	-0.709637	0.001151	0	0.001641	-0.212787	0.042699	1.818912E+9
4975.74	3.2	0.066784	-0.750413	-0.000715	0	9.5E-5	-0.212787	0.042742	1.818913E+9
4705.98	3	0.094295	-0.740796	-0.001563	0	0.000583	-0.212787	0.042671	1.818914E+9
4429.62	2.8	0.070478	-0.738018	0.001104	0	-0.000276	-0.212787	0.042752	1.818915E+9
4147.09	2.6	0.108658	-0.731332	0.000464	0	-0.000561	-0.212787	0.042685	1.818916E+9
3858.83	2.4	0.130808	-0.71837	0.000482	0	-0.001908	-0.212787	0.042764	1.818917E+9
3565.29	2.2	0.150317	-0.695885	0.000336	0	-0.000705	-0.212787	0.042861	1.818918E+9
3266.89	2	0.153095	-0.716164	-0.000135	0	0.000982	-0.212787	0.042863	1.818919E+9
2964.07	1.8	0.167065	-0.70722	0.000292	0	-0.000666	-0.212787	0.042879	1.81892E+9
2657.27	1.6	0.156084	-0.731209	-0.000969	0	0.000767	-0.212787	0.042828	1.818921E+9
2346.93	1.4	0.21849	-0.724312	0.000866	0	0.000747	-0.212787	0.042875	1.818922E+9
2033.48	1.2	0.247775	-0.694124	0.000873	0	-0.001194	-0.212787	0.042893	1.818923E+9
1717.37	1	0.268651	-0.696703	-0.001262	0	-0.001222	-0.212787	0.042868	1.818924E+9
1399.02	0.8	0.336646	-0.665294	-0.001449	0	0.000897	-0.212787	0.042792	1.818925E+9
1078.87	0.6	0.402327	-0.649173	0.000633	0	0.000756	-0.212787	0.042904	1.818926E+9
757.37	0.4	0.45945	-0.670144	0.000632	0	-0.001643	-0.212787	0.042902	1.818927E+9
434.94	0.2	0.548191	-0.579906	0.001378	0	-0.001354	-0.212787	0.04278	1.818928E+9
112.03	0	0.680336	-0.632946	0.001786	0	-0.00031	-0.212787	0.042787	1.818929E+9
-210.93	-0.2	0.878682	-0.571813	-0.000339	0	-0.001763	-0.212787	0.042763	1.81893E+9
-533.51	-0.4	1.270185	-0.493384	-0.000185	0	0.000595	-0.212787	0.042805	1.818931E+9
-855.25	-0.6	2.340228	-0.25204	0.000106	0	-0.001063	-0.212787	0.042841	1.818932E+9
-1175.74	-0.8	2.570731	-0.210173	0.000127	0	-0.000181	-0.212787	0.042847	1.818933E+9
-1494.53	-1	2.720059	-0.208886	-0.001847	0	-0.001372	-0.212787	0.042732	1.818934E+9
-1811.18	-1.2	2.822676	-0.168416	-0.00094	0	-3E-5	-0.212787	0.042808	1.818935E+9
-2125.26	-1.4	2.936865	-0.151798	-0.000162	0	-0.001555	-0.212787	0.04287	1.818936E+9
-2436.33	-1.6	3.00792	-0.087537	-0.001618	0	-0.000747	-0.212787	0.042851	1.818937E+9
-2743.95	-1.8	3.065505	-0.118216	-0.002575	0	-0.000151	-0.212787	0.04287	1.818938E+9
-3047.69	-2	3.125192	-0.076449	0.001162	0	-0.001363	-0.212787	0.042927	1.818939E+9
-3347.11	-2.2	3.157404	-0.09934	-0.002774	0	-0.002406	-0.212787	0.04285	1.81894E+9
-3641.77	-2.4	3.176595	-0.096774	-0.00195	0	0.001316	-0.212787	0.042887	1.818941E+9
-3931.24	-2.6	3.183521	-0.076153	-0.000232	0	-0.001044	-0.212787	0.042888	1.818942E+9
-4215.08	-2.8	3.205746	-0.075312	-0.001635	0	-0.002587	-0.212787	0.042885	1.818943E+9
-4492.85	-3	3.195451	-0.070458	-0.002601	0	-0.001747	-0.212787	0.042838	1.818944E+9
-4764.12	-3.2	3.20048	-0.100679	-0.001622	0	9.3E-5	-0.212787	0.042967	1.818945E+9
-5028.44	-3.4	3.175597	-0.104532	-0.001607	0	-0.003119	-0.212787	0.042811	1.818946E+9
-5285.39	-3.6	3.229664	-0.073405	-0.002347	0	-0.000858	-0.212787	0.042889	1.818947E+9
-5534.53	-3.8	3.212033	-0.078597	-0.001688	0	-0.002266	-0.212787	0.042787	1.818948E+9
-5775.41	-4	3.246688	-0.085604	0.000609	0	-0.001072	-0.212787	0.042906	1.818949E+9
-6007.6	-4.2	3.236015	-0.075111	-0.001175	0	-0.003402	-0.212787	0.042736	1.81895E+9
-6230.67	-4.4	3.190448	-0.085815	-0.001385	0	-0.001313	-0.212787	0.042756	1.818951E+9
-6444.17	-4.6	3.20716	-0.082001	-0.002274	0	-0.000675	-0.212787	0.042755	1.818952E+9
-6647.68	-4.8	3.234797	-0.066375	-4.3E-5	0	-0.005026	-0.212787	0.04269	1.818953E+9
-6840.75	-5	3.223498	-0.074198	-0.003676	0	-0.002314	-0.212787	0.042691	1.818954E+9
-7022.95	-5.2	3.229284	-0.059477	-0.000763	0	-0.001998	-0.212787	0.042714	1.818955E+9
-7193.84	-5.4	3.235177	-0.128849	-0.003033	0	-0.001622	-0.212787	0.042799	1.818956E+9
-7352.98	-5.6	3.220083	-0.055874	-0.001792	0	-0.001931	-0.212787	0.042745	1.818957E+9
-7499.94	-5.8	3.239177	-0.067278	-0.001937	0	-0.000616	-0.212787	0.042741	1.818958E+9
-7634.28	-6	3.252464	-0.045806	-0.00193	0	-0.001871	-0.212787	0.042746	1.818959E+9
-7755.56	-6.2	3.224788	-0.06938	-0.004638	0	-0.002114	-0.212787	0.042689	1.81896E+9
-7863.34	-6.4	3.238075	-0.080357	-0.00199	0	-0.002667	-0.212787	0.042658	1.818961E+9
-7957.2	-6.6	3.189525	-0.078619	-0.001525	0	-0.001147	-0.212787	0.042754	1.818962E+9
-8036.69	-6.8	3.190782	-0.077479	-0.002526	0	-0.004942	-0.212787	0.042772	1.818963E+9
-8101.38	-7	3.170221	-0.095461	-0.003238	0	0.000389	-0.212787	0.042777	1.818964E+9
-8036.69	-6.8	3.146745	-0.092407	-0.001727	0	-0.001697	-0.212787	0.042741	1.818965E+9
-7957.2	-6.6	3.184574	-0.068697	-0.000294	0	-0.003965	-0.212787	0.042823	1.818966E+9
-7863.34	-6.4	3.153931	-0.06989	-0.003508	0	-0.003368	-0.212787	0.042759	1.818967E+9
-7755.56	-6.2	3.122798	-0.076995	-0.001992	0	-0.001447	-0.212787	0.042764	1.818968E+9
-7634.28	-6	3.141625	-0.050602	-0.00388	0	-0.002859	-0.212787	0.042852	1.818969E+9
-7499.94	-5.8	3.156865	-0.099928	-0.00281	0	-0.0021	-0.212787	0.042796	1.81897E+9
-7352.98	-5.6	3.14845	-0.070426	-0.003702	0	-0.002202	-0.212787	0.04266	1.818971E+9
-7193.84	-5.4	3.140305	-0.098752	-0.002522	0	-0.002857	-0.212787	0.042838	1.818972E+9
-7022.95	-5.2	3.144773	-0.067427	-0.002247	0	-0.003561	-0.212787	0.042829	1.818973E+9
-6840.75	-5	3.109091	-0.070838	-0.003747	0	-0.002886	-0.212787	0.042813	1.818974E+9
-6647.68	-4.8	3.106638	-0.092264	-0.002423	0	-0.000634	-0.212787	0.0429	1.818975E+9
-6444.17	-4.6	3.129513	-0.092375	-0.001308	0	-0.002337	-0.212787	0.042865	1.818976E+9
-6230.67	-4.4	3.101674	-0.099538	-0.003463	0	-0.002287	-0.212787	0.042843	1.818977E+9
-6007.6	-4.2	3.11539	-0.076303	-0.003043	0	-0.003428	-0.212787	0.042829	1.818978E+9
-5775.41	-4	3.137297	-0.06564	-0.003756	0	-0.001805	-0.212787	0.042886	1.818979E+9
-5534.53	-3.8	3.090976	-0.088119	-0.002741	0	-0.004374	-0.212787	0.042714	1.81898E+9
-5285.39	-3.6	3.096931	-0.054331	-0.002329	0	-0.002818	-0.212787	0.042824	1.818981E+9
-5028.44	-3.4	3.104994	-0.086485	-0.002448	0	-0.002107	-0.212787	0.042862	1.818982E+9
-4764.12	-3.2	3.110563	-0.107046	-0.003136	0	-0.003798	-0.212787	0.042766	1.818983E+9
-4492.85	-3	3.068594	-0.104847	-0.0036	0	-0.004885	-0.212787	0.042857	1.818984E+9
-4215.08	-2.8	2.993732	-0.103144	-0.003181	0	-0.00403	-0.212787	0.042887	1.818985E+9
-3931.24	-2.6	3.013826	-0.118073	-0.002268	0	-0.003573	-0.212787	0.042893	1.818986E+9
-3641.77	-2.4	2.99574	-0.1329	-0.005331	0	-0.004885	-0.212787	0.042811	1.818987E+9
-3347.11	-2.2	2.932096	-0.114967	-0.004472	0	-0.001784	-0.212787	0.04283	1.818988E+9
-3047.69	-2	2.916576	-0.139434	-0.002744	0	-0.003681	-0.212787	0.043033	1.818989E+9
-2743.95	-1.8	2.890014	-0.131299	-0.00434	0	-0.004829	-0.212787	0.042803	1.81899E+9
-2436.33	-1.6	2.791965	-0.149086	-0.005025	0	-0.002623	-0.212787	0.042959	1.818991E+9
-2125.26	-1.4	2.782595	-0.161028	-0.004949	0	-0.004531	-0.212787	0.042964	1.818992E+9
-1811.18	-1.2	2.740546	-0.172402	-0.0041	0	-0.005354	-0.212787	0.042837	1.818993E+9
-1494.53	-1	2.633806	-0.177685	-0.004403	0	-0.004684	-0.212787	0.042918	1.818994E+9
-1175.74	-0.8	2.512973	-0.17364	-0.005693	0	-0.003026	-0.212787	0.042954	1.818995E+9
-855.25	-0.6	2.4334	-0.246472	-0.004246	0	-0.004396	-0.212787	0.043023	1.818996E+9
