06/05/2022	10:39

Co88Tb12_35_20210602_CVMH3

Field	Kepco	Channel A	Channel B	Agilent	0	RF out	Monitor+	Monitor-	Time
8265.94	7	-9.442014	-1.521837	0.010799	0	0.012333	-0.212787	0.071889	1.810492E+9
8204.61	6.8	-9.440799	-1.525521	0.011293	0	0.01143	-0.212787	0.071937	1.810493E+9
8128.37	6.6	-9.442556	-1.527844	0.01145	0	0.011429	-0.212787	0.071971	1.810494E+9
8037.67	6.4	-9.447943	-1.523858	0.011634	0	0.01245	-0.212787	0.071879	1.810495E+9
7932.95	6.2	-9.44615	-1.520791	0.01169	0	0.01196	-0.212787	0.071922	1.810496E+9
7814.63	6	-9.449762	-1.522201	0.011475	0	0.011903	-0.212787	0.07197	1.810497E+9
7683.15	5.8	-9.451806	-1.523747	0.011961	0	0.011429	-0.212787	0.071972	1.810498E+9
7538.96	5.6	-9.450068	-1.520411	0.011018	0	0.011861	-0.212787	0.071824	1.810499E+9
7382.49	5.4	-9.454691	-1.523019	0.011608	0	0.011429	-0.212787	0.071881	1.8105E+9
7214.18	5.2	-9.458346	-1.524072	0.011482	0	0.011461	-0.212787	0.071878	1.810501E+9
7034.46	5	-9.458781	-1.521158	0.011704	0	0.011802	-0.212787	0.071814	1.810502E+9
6843.76	4.8	-9.4578	-1.525521	0.011516	0	0.011084	-0.212787	0.071848	1.810503E+9
6642.54	4.6	-9.458242	-1.528153	0.011169	0	0.011679	-0.212787	0.071788	1.810504E+9
6431.22	4.4	-9.456592	-1.525973	0.011953	0	0.011544	-0.212787	0.071771	1.810505E+9
6210.24	4.2	-9.461803	-1.529813	0.011551	0	0.01171	-0.212787	0.07191	1.810506E+9
5980.04	4	-9.465191	-1.529592	0.011943	0	0.011015	-0.212787	0.071844	1.810507E+9
5741.05	3.8	-9.46562	-1.527171	0.011632	0	0.011468	-0.212787	0.071859	1.810508E+9
5493.71	3.6	-9.465601	-1.529446	0.011866	0	0.011689	-0.212787	0.071789	1.810509E+9
5238.46	3.4	-9.465165	-1.524244	0.01183	0	0.011707	-0.212787	0.071806	1.81051E+9
4975.74	3.2	-9.462946	-1.530329	0.01208	0	0.012158	-0.212787	0.071869	1.810511E+9
4705.98	3	-9.467394	-1.519793	0.011991	0	0.011213	-0.212787	0.071853	1.810512E+9
4429.62	2.8	-9.464665	-1.52389	0.011848	0	0.011046	-0.212787	0.07185	1.810513E+9
4147.09	2.6	-9.46666	-1.522068	0.011484	0	0.011586	-0.212787	0.071791	1.810514E+9
3858.83	2.4	-9.465913	-1.518182	0.011633	0	0.011351	-0.212787	0.071799	1.810515E+9
3565.29	2.2	-9.468122	-1.525488	0.011364	0	0.011298	-0.212787	0.071981	1.810516E+9
3266.89	2	-9.468057	-1.527038	0.011094	0	0.010932	-0.212787	0.071896	1.810517E+9
2964.07	1.8	-9.46907	-1.521099	0.011426	0	0.011529	-0.212787	0.071851	1.810518E+9
2657.27	1.6	-9.46295	-1.527467	0.011479	0	0.011989	-0.212787	0.071759	1.810519E+9
2346.93	1.4	-9.439642	-1.521678	0.011711	0	0.01064	-0.212787	0.071945	1.81052E+9
2033.48	1.2	-9.407813	-1.516691	0.010871	0	0.011294	-0.212787	0.071825	1.810521E+9
1717.37	1	-9.340087	-1.502822	0.011651	0	0.011425	-0.212787	0.071845	1.810522E+9
1399.02	0.8	-9.112517	-1.44383	0.011166	0	0.010836	-0.212787	0.071836	1.810523E+9
1078.87	0.6	-8.650117	-1.341863	0.010159	0	0.010261	-0.212787	0.071753	1.810524E+9
757.37	0.4	-8.091948	-1.224637	0.009436	0	0.008891	-0.212787	0.071988	1.810525E+9
434.94	0.2	-7.469193	-1.118021	0.008492	0	0.008304	-0.212787	0.071936	1.810526E+9
112.03	0	-6.783572	-1.022828	0.007548	0	0.007247	-0.212787	0.072014	1.810527E+9
-210.93	-0.2	-5.930852	-0.94447	0.007196	0	0.006561	-0.212787	0.071965	1.810528E+9
-533.51	-0.4	-4.894511	-0.836694	0.006816	0	0.005933	-0.212787	0.07194	1.810529E+9
-855.25	-0.6	-3.769106	-0.661071	0.006065	0	0.00558	-0.212787	0.07193	1.81053E+9
-1175.74	-0.8	-2.644593	-0.475782	0.004581	0	0.005311	-0.212787	0.071901	1.810531E+9
-1494.53	-1	-1.525732	-0.286971	0.004343	0	0.004591	-0.212787	0.072012	1.810532E+9
-1811.18	-1.2	-0.430448	-0.109129	0.003738	0	0.003965	-0.212787	0.071955	1.810533E+9
-2125.26	-1.4	0.663875	0.073931	0.003326	0	0.003138	-0.212787	0.072086	1.810534E+9
-2436.33	-1.6	1.75839	0.266286	0.002998	0	0.002547	-0.212787	0.072123	1.810535E+9
-2743.95	-1.8	2.843826	0.439785	0.002297	0	0.001902	-0.212787	0.072036	1.810536E+9
-3047.69	-2	3.941132	0.625857	0.001347	0	0.001355	-0.212787	0.071994	1.810537E+9
-3347.11	-2.2	5.0468	0.805012	0.001507	0	0.000732	-0.212787	0.072049	1.810538E+9
-3641.77	-2.4	6.15728	0.989395	0.000365	0	-0.000134	-0.212787	0.072134	1.810539E+9
-3931.24	-2.6	7.267049	1.16727	0.000267	0	-0.000734	-0.212787	0.072111	1.81054E+9
