19/05/2022	17:19

Si\Pt3\(Co88Tb12)75\Pt3-20220426_APRD1

Field	Kepco	Channel A	Channel B	Agilent	0	RF out	Monitor+	Monitor-	Time
8265.94	7	5.174092	-0.117875	0.029614	0	0.029687	-0.212787	0.075111	2.957637E+9
8204.61	6.8	5.16877	-0.117504	0.03008	0	0.029947	-0.212787	0.075063	2.957638E+9
8128.37	6.6	5.172851	-0.116867	0.029525	0	0.030285	-0.212787	0.075244	2.957639E+9
8037.67	6.4	5.181161	-0.116841	0.030751	0	0.030718	-0.212787	0.07495	2.95764E+9
7932.95	6.2	5.181496	-0.115945	0.030631	0	0.029241	-0.212787	0.074954	2.957641E+9
7814.63	6	5.18341	-0.118268	0.030736	0	0.030566	-0.212787	0.074959	2.957642E+9
7683.15	5.8	5.184173	-0.117299	0.031174	0	0.030728	-0.212787	0.075303	2.957643E+9
7538.96	5.6	5.186022	-0.122192	0.029938	0	0.030027	-0.212787	0.07526	2.957644E+9
7382.49	5.4	5.189595	-0.114489	0.030475	0	0.030812	-0.212787	0.074918	2.957645E+9
7214.18	5.2	5.188699	-0.12239	0.031068	0	0.029562	-0.212787	0.074992	2.957646E+9
7034.46	5	5.189504	-0.115152	0.029777	0	0.030461	-0.212787	0.075214	2.957647E+9
6843.76	4.8	5.189462	-0.120886	0.030316	0	0.030421	-0.212787	0.075183	2.957648E+9
6642.54	4.6	5.190918	-0.115509	0.030654	0	0.030445	-0.212787	0.075053	2.957649E+9
6431.22	4.4	5.194059	-0.120847	0.030565	0	0.030469	-0.212787	0.075366	2.95765E+9
6210.24	4.2	5.194543	-0.121367	0.030646	0	0.031144	-0.212787	0.075171	2.957651E+9
5980.04	4	5.193046	-0.120977	0.031419	0	0.030111	-0.212787	0.075341	2.957652E+9
5741.05	3.8	5.197211	-0.116997	0.03017	0	0.030618	-0.212787	0.075328	2.957653E+9
5493.71	3.6	5.200206	-0.121315	0.03094	0	0.030445	-0.212787	0.075284	2.957654E+9
5238.46	3.4	5.202025	-0.119879	0.031524	0	0.0304	-0.212787	0.075326	2.957655E+9
4975.74	3.2	5.201502	-0.119083	0.03053	0	0.031779	-0.212787	0.075118	2.957656E+9
4705.98	3	5.205339	-0.119064	0.031927	0	0.030721	-0.212787	0.07523	2.957657E+9
4429.62	2.8	5.200641	-0.122933	0.03108	0	0.030787	-0.212787	0.075442	2.957658E+9
4147.09	2.6	5.205381	-0.119479	0.031768	0	0.030759	-0.212787	0.07505	2.957659E+9
3858.83	2.4	5.202971	-0.119905	0.030973	0	0.03154	-0.212787	0.075449	2.95766E+9
3565.29	2.2	5.206723	-0.117728	0.031617	0	0.030902	-0.212787	0.07533	2.957661E+9
3266.89	2	5.203244	-0.117803	0.031582	0	0.030938	-0.212787	0.075275	2.957662E+9
2964.07	1.8	5.206288	-0.122952	0.03085	0	0.031235	-0.212787	0.074996	2.957663E+9
2657.27	1.6	5.203552	-0.115422	0.030529	0	0.031229	-0.212787	0.075329	2.957664E+9
2346.93	1.4	5.206242	-0.123462	0.0314	0	0.030577	-0.212787	0.075335	2.957665E+9
2033.48	1.2	5.205034	-0.116341	0.031605	0	0.030912	-0.212787	0.075336	2.957666E+9
1717.37	1	5.19889	-0.122533	0.031629	0	0.031053	-0.212787	0.075422	2.957667E+9
1399.02	0.8	5.203588	-0.12075	0.031443	0	0.03129	-0.212787	0.075004	2.957668E+9
1078.87	0.6	5.206509	-0.115513	0.029997	0	0.031927	-0.212787	0.075028	2.957669E+9
757.37	0.4	5.202386	-0.120402	0.032219	0	0.031033	-0.212787	0.074985	2.95767E+9
434.94	0.2	5.199758	-0.116776	0.032235	0	0.03141	-0.212787	0.075316	2.957671E+9
112.03	0	5.197919	-0.118141	0.031909	0	0.031517	-0.212787	0.074981	2.957672E+9
-210.93	-0.2	5.194449	-0.118014	0.03267	0	0.032665	-0.212787	0.075352	2.957673E+9
-533.51	-0.4	5.197552	-0.119876	0.032251	0	0.031482	-0.212787	0.075326	2.957674E+9
-855.25	-0.6	5.193764	-0.11768	0.031668	0	0.032044	-0.212787	0.074938	2.957675E+9
-1175.74	-0.8	5.190807	-0.121624	0.030897	0	0.032529	-0.212787	0.07532	2.957676E+9
-1494.53	-1	5.18903	-0.122559	0.031414	0	0.031708	-0.212787	0.07495	2.957677E+9
-1811.18	-1.2	5.177403	-0.11909	0.031288	0	0.03101	-0.212787	0.075066	2.957678E+9
-2125.26	-1.4	-0.040222	0.022194	0.023841	0	0.025222	-0.212787	0.075207	2.957679E+9
-2436.33	-1.6	-2.750813	0.092612	0.022139	0	0.021797	-0.212787	0.075119	2.95768E+9
-2743.95	-1.8	-4.202556	0.1265	0.020445	0	0.0199	-0.212787	0.075379	2.957681E+9
-3047.69	-2	-5.045126	0.152598	0.01914	0	0.019973	-0.212787	0.07553	2.957682E+9
-3347.11	-2.2	-5.219188	0.15905	0.020112	0	0.019223	-0.212787	0.075459	2.957683E+9
-3641.77	-2.4	-5.246137	0.160418	0.01922	0	0.019743	-0.212787	0.07502	2.957684E+9
-3931.24	-2.6	-5.249106	0.157653	0.019236	0	0.019534	-0.212787	0.075436	2.957685E+9
-4215.08	-2.8	-5.250665	0.157552	0.02036	0	0.020532	-0.212787	0.075439	2.957686E+9
-4492.85	-3	-5.248651	0.161461	0.020332	0	0.019841	-0.212787	0.075414	2.957687E+9
-4764.12	-3.2	-5.255045	0.158049	0.020429	0	0.020809	-0.212787	0.07552	2.957688E+9
-5028.44	-3.4	-5.254385	0.153456	0.021275	0	0.020709	-0.212787	0.07523	2.957689E+9
-5285.39	-3.6	-5.254392	0.162536	0.020556	0	0.020475	-0.212787	0.07555	2.95769E+9
-5534.53	-3.8	-5.251374	0.154118	0.019642	0	0.02127	-0.212787	0.075286	2.957691E+9
-5775.41	-4	-5.259639	0.156016	0.020791	0	0.021219	-0.212787	0.075513	2.957692E+9
-6007.6	-4.2	-5.253693	0.15521	0.020419	0	0.020833	-0.212787	0.07536	2.957693E+9
-6230.67	-4.4	-5.25242	0.15455	0.020317	0	0.021196	-0.212787	0.075338	2.957694E+9
-6444.17	-4.6	-5.258849	0.159307	0.021282	0	0.021587	-0.212787	0.075436	2.957695E+9
-6647.68	-4.8	-5.258492	0.160194	0.02073	0	0.021283	-0.212787	0.075322	2.957696E+9
-6840.75	-5	-5.254606	0.155025	0.021612	0	0.021943	-0.212787	0.07546	2.957697E+9
-7022.95	-5.2	-5.256318	0.16059	0.021816	0	0.021609	-0.212787	0.075244	2.957698E+9
-7193.84	-5.4	-5.25587	0.158433	0.020596	0	0.02117	-0.212787	0.075466	2.957699E+9
-7352.98	-5.6	-5.257585	0.155483	0.021939	0	0.021996	-0.212787	0.075325	2.9577E+9
-7499.94	-5.8	-5.256799	0.153329	0.021978	0	0.021576	-0.212787	0.07555	2.957701E+9
-7634.28	-6	-5.256708	0.158407	0.022335	0	0.021651	-0.212787	0.075469	2.957702E+9
-7755.56	-6.2	-5.254561	0.158826	0.021768	0	0.022313	-0.212787	0.075277	2.957703E+9
-7863.34	-6.4	-5.250555	0.160684	0.021855	0	0.022226	-0.212787	0.075396	2.957704E+9
-7957.2	-6.6	-5.250211	0.158033	0.021866	0	0.021302	-0.212787	0.075467	2.957705E+9
-8036.69	-6.8	-5.249207	0.161435	0.021651	0	0.022609	-0.212787	0.075322	2.957706E+9
-8101.38	-7	-5.253963	0.160158	0.023836	0	0.022439	-0.212787	0.075665	2.957707E+9
-8036.69	-6.8	-5.254158	0.159771	0.021386	0	0.021818	-0.212787	0.075222	2.957708E+9
-7957.2	-6.6	-5.254473	0.159813	0.022899	0	0.023791	-0.212787	0.075331	2.957709E+9
-7863.34	-6.4	-5.257059	0.158452	0.022814	0	0.023286	-0.212787	0.075624	2.95771E+9
-7755.56	-6.2	-5.262374	0.158468	0.023157	0	0.021473	-0.212787	0.07529	2.957711E+9
-7634.28	-6	-5.263605	0.152468	0.022831	0	0.022541	-0.212787	0.075642	2.957712E+9
-7499.94	-5.8	-5.258713	0.158007	0.02372	0	0.02261	-0.212787	0.07559	2.957713E+9
-7352.98	-5.6	-5.262741	0.157802	0.022903	0	0.022677	-0.212787	0.075421	2.957714E+9
-7193.84	-5.4	-5.262507	0.159982	0.022152	0	0.023375	-0.212787	0.075668	2.957715E+9
-7022.95	-5.2	-5.263872	0.163972	0.022415	0	0.02247	-0.212787	0.075303	2.957716E+9
-6840.75	-5	-5.263852	0.159823	0.022994	0	0.023013	-0.212787	0.07549	2.957717E+9
-6647.68	-4.8	-5.265152	0.160408	0.022269	0	0.023059	-0.212787	0.075526	2.957718E+9
-6444.17	-4.6	-5.273635	0.159017	0.023691	0	0.023297	-0.212787	0.075376	2.957719E+9
-6230.67	-4.4	-5.269625	0.159947	0.023674	0	0.023281	-0.212787	0.07568	2.95772E+9
-6007.6	-4.2	-5.268186	0.153852	0.023019	0	0.022842	-0.212787	0.075515	2.957721E+9
-5775.41	-4	-5.272887	0.15942	0.024159	0	0.023181	-0.212787	0.075482	2.957722E+9
-5534.53	-3.8	-5.272039	0.156396	0.022354	0	0.02353	-0.212787	0.075384	2.957723E+9
-5285.39	-3.6	-5.276692	0.162172	0.023674	0	0.023923	-0.212787	0.075288	2.957724E+9
-5028.44	-3.4	-5.271688	0.159485	0.024103	0	0.02328	-0.212787	0.0753	2.957725E+9
-4764.12	-3.2	-5.273719	0.159456	0.024324	0	0.02323	-0.212787	0.075351	2.957726E+9
-4492.85	-3	-5.271234	0.161763	0.0232	0	0.023392	-0.212787	0.075275	2.957727E+9
-4215.08	-2.8	-5.273001	0.156425	0.023513	0	0.023617	-0.212787	0.075358	2.957728E+9
-3931.24	-2.6	-5.272972	0.156928	0.022673	0	0.02388	-0.212787	0.075642	2.957729E+9
-3641.77	-2.4	-5.270373	0.158728	0.02355	0	0.022886	-0.212787	0.075648	2.95773E+9
-3347.11	-2.2	-5.26983	0.154823	0.023956	0	0.022813	-0.212787	0.075392	2.957731E+9
-3047.69	-2	-5.267608	0.157335	0.023688	0	0.02314	-0.212787	0.075348	2.957732E+9
-2743.95	-1.8	-5.275006	0.160372	0.02289	0	0.024154	-0.212787	0.075453	2.957733E+9
-2436.33	-1.6	-5.270821	0.157789	0.024809	0	0.023779	-0.212787	0.075325	2.957734E+9
-2125.26	-1.4	-5.271565	0.159151	0.024528	0	0.023445	-0.212787	0.07555	2.957735E+9
-1811.18	-1.2	-5.266305	0.155557	0.024343	0	0.024016	-0.212787	0.075253	2.957736E+9
-1494.53	-1	-5.267663	0.159908	0.024201	0	0.022929	-0.212787	0.075403	2.957737E+9
-1175.74	-0.8	-5.26854	0.158712	0.024179	0	0.023121	-0.212787	0.075651	2.957738E+9
-855.25	-0.6	-5.263716	0.156477	0.023718	0	0.024472	-0.212787	0.075384	2.957739E+9
-533.51	-0.4	-5.265058	0.155928	0.024677	0	0.023315	-0.212787	0.075429	2.95774E+9
-210.93	-0.2	-5.263687	0.159508	0.024918	0	0.022593	-0.212787	0.075675	2.957741E+9
112.03	0	-5.267296	0.157263	0.023811	0	0.023664	-0.212787	0.07536	2.957742E+9
434.94	0.2	-5.257939	0.155609	0.023629	0	0.024643	-0.212787	0.075543	2.957743E+9
757.37	0.4	-5.255331	0.159976	0.023631	0	0.023899	-0.212787	0.075323	2.957744E+9
1078.87	0.6	-5.259905	0.159531	0.02295	0	0.023579	-0.212787	0.07523	2.957745E+9
1399.02	0.8	-5.241991	0.16122	0.023682	0	0.023927	-0.212787	0.075244	2.957746E+9
1717.37	1	0.89554	-0.000866	0.031264	0	0.031653	-0.212787	0.075447	2.957747E+9
2033.48	1.2	3.063549	-0.067443	0.032766	0	0.034668	-0.212787	0.075275	2.957748E+9
2346.93	1.4	4.419468	-0.099116	0.035562	0	0.035849	-0.212787	0.075459	2.957749E+9
2657.27	1.6	5.081215	-0.115993	0.037037	0	0.036769	-0.212787	0.075262	2.95775E+9
