20/05/2022	14:28

CoTb

Field	Kepco	Channel A	Channel B	Agilent	0	RF out	Monitor+	Monitor-	Time
8265.94	7	4.586279	-0.254347	0.017036	0	0.01737	-0.212787	0.074212	3.033635E+9
8237.17	6.9	4.590684	-0.254694	0.017852	0	0.017069	-0.212787	0.074284	3.033635E+9
8204.61	6.8	4.588063	-0.252914	0.016894	0	0.016217	-0.212787	0.074183	3.033636E+9
8168.33	6.7	4.591578	-0.251553	0.017636	0	0.017113	-0.212787	0.074303	3.033637E+9
8128.37	6.6	4.589794	-0.258632	0.01708	0	0.017912	-0.212787	0.074188	3.033638E+9
8084.8	6.5	4.59455	-0.258359	0.018064	0	0.017678	-0.212787	0.074254	3.033639E+9
8037.67	6.4	4.595164	-0.252599	0.017045	0	0.017256	-0.212787	0.074339	3.03364E+9
7987.04	6.3	4.593745	-0.254041	0.018124	0	0.017004	-0.212787	0.074338	3.033641E+9
7932.95	6.2	4.596942	-0.257804	0.016877	0	0.016962	-0.212787	0.074182	3.033642E+9
7875.46	6.1	4.588371	-0.254876	0.01613	0	0.017005	-0.212787	0.074266	3.033643E+9
7814.63	6	4.598387	-0.255273	0.01705	0	0.017029	-0.212787	0.074209	3.033644E+9
7750.51	5.9	4.597101	-0.259798	0.01764	0	0.017403	-0.212787	0.074206	3.033645E+9
7683.15	5.8	4.59585	-0.254854	0.016213	0	0.017394	-0.212787	0.07433	3.033646E+9
7612.62	5.7	4.600548	-0.257953	0.016463	0	0.017344	-0.212787	0.074255	3.033647E+9
7538.96	5.6	4.601324	-0.257167	0.015773	0	0.017087	-0.212787	0.074249	3.033648E+9
7462.23	5.5	4.604073	-0.252258	0.016305	0	0.016108	-0.212787	0.074253	3.033649E+9
7382.49	5.4	4.600177	-0.25627	0.017269	0	0.017028	-0.212787	0.074181	3.03365E+9
7299.79	5.3	4.600441	-0.251413	0.016692	0	0.016618	-0.212787	0.074271	3.033651E+9
7214.18	5.2	4.600869	-0.255861	0.016248	0	0.016972	-0.212787	0.074286	3.033652E+9
7125.71	5.1	4.597452	-0.251368	0.016986	0	0.01674	-0.212787	0.07418	3.033653E+9
7034.46	5	4.60009	-0.251468	0.017872	0	0.016698	-0.212787	0.074144	3.033654E+9
6940.45	4.9	4.598235	-0.254522	0.016045	0	0.018569	-0.212787	0.074203	3.033655E+9
6843.76	4.8	4.601399	-0.2546	0.017185	0	0.015864	-0.212787	0.074166	3.033656E+9
6744.44	4.7	4.596055	-0.257177	0.017078	0	0.016371	-0.212787	0.074258	3.033657E+9
6642.54	4.6	4.604102	-0.259808	0.016542	0	0.016802	-0.212787	0.074316	3.033658E+9
6538.11	4.5	4.605821	-0.255055	0.016319	0	0.016648	-0.212787	0.074299	3.033659E+9
6431.22	4.4	4.607104	-0.25576	0.017078	0	0.016494	-0.212787	0.074337	3.03366E+9
6321.91	4.3	4.603277	-0.253203	0.017094	0	0.016956	-0.212787	0.074237	3.033661E+9
6210.24	4.2	4.605226	-0.25716	0.018242	0	0.01762	-0.212787	0.074239	3.033662E+9
6096.26	4.1	4.599921	-0.25447	0.016732	0	0.016722	-0.212787	0.074259	3.033663E+9
5980.04	4	4.605736	-0.253057	0.017365	0	0.016157	-0.212787	0.074197	3.033664E+9
5861.61	3.9	4.608147	-0.258762	0.01755	0	0.017644	-0.212787	0.074365	3.033665E+9
5741.05	3.8	4.603433	-0.256169	0.016911	0	0.016522	-0.212787	0.074311	3.033666E+9
5618.4	3.7	4.607312	-0.254818	0.016637	0	0.016408	-0.212787	0.074255	3.033667E+9
5493.71	3.6	4.606006	-0.255669	0.015925	0	0.016654	-0.212787	0.07433	3.033668E+9
5367.05	3.5	4.608033	-0.255192	0.017462	0	0.016291	-0.212787	0.074308	3.033669E+9
5238.46	3.4	4.6033	-0.258278	0.016638	0	0.015838	-0.212787	0.074345	3.03367E+9
5108.01	3.3	4.603137	-0.257768	0.016274	0	0.016524	-0.212787	0.07427	3.033671E+9
4975.74	3.2	4.59611	-0.257112	0.016145	0	0.016588	-0.212787	0.074198	3.033672E+9
4841.71	3.1	4.607413	-0.257183	0.016845	0	0.017022	-0.212787	0.07413	3.033673E+9
4705.98	3	4.600853	-0.253138	0.016467	0	0.016414	-0.212787	0.074184	3.033674E+9
4568.59	2.9	4.600015	-0.253444	0.015964	0	0.016524	-0.212787	0.074302	3.033675E+9
4429.62	2.8	4.597172	-0.255247	0.01606	0	0.016476	-0.212787	0.074295	3.033676E+9
4289.09	2.7	4.601506	-0.25192	0.017108	0	0.016336	-0.212787	0.074248	3.033677E+9
4147.09	2.6	4.598023	-0.257056	0.017205	0	0.016161	-0.212787	0.074206	3.033678E+9
