20/05/2022	14:38

CoTb

Field	Kepco	Channel A	Channel B	Agilent	0	RF out	Monitor+	Monitor-	Time
7034.46	5	4.607289	-0.237957	0.01839	0	0.017957	-0.212787	0.075678	3.0345E+9
6940.45	4.9	4.633016	-0.23976	0.018165	0	0.017438	-0.212787	0.075576	3.0345E+9
6843.76	4.8	4.637065	-0.240663	0.017919	0	0.018222	-0.212787	0.075637	3.034501E+9
6744.44	4.7	4.643822	-0.245546	0.017864	0	0.017732	-0.212787	0.075434	3.034501E+9
6642.54	4.6	4.643215	-0.24681	0.018433	0	0.017389	-0.212787	0.075582	3.034501E+9
6538.11	4.5	4.637984	-0.242781	0.017408	0	0.017096	-0.212787	0.075562	3.034502E+9
6431.22	4.4	4.643228	-0.236245	0.017912	0	0.017128	-0.212787	0.07547	3.034502E+9
6321.91	4.3	4.644436	-0.237586	0.017631	0	0.017354	-0.212787	0.075549	3.034502E+9
6210.24	4.2	4.643822	-0.248596	0.016913	0	0.017673	-0.212787	0.075504	3.034503E+9
6096.26	4.1	4.64314	-0.241621	0.017495	0	0.016334	-0.212787	0.075496	3.034503E+9
5980.04	4	4.643988	-0.243876	0.017539	0	0.017389	-0.212787	0.075669	3.034503E+9
5861.61	3.9	4.644326	-0.242989	0.017033	0	0.017351	-0.212787	0.075596	3.034503E+9
5741.05	3.8	4.641051	-0.242573	0.017421	0	0.017973	-0.212787	0.075442	3.034504E+9
5618.4	3.7	4.641428	-0.23988	0.0183	0	0.017383	-0.212787	0.075606	3.034504E+9
5493.71	3.6	4.640872	-0.241608	0.017788	0	0.017428	-0.212787	0.075663	3.034505E+9
5367.05	3.5	4.640983	-0.242495	0.017171	0	0.016982	-0.212787	0.075488	3.034505E+9
5238.46	3.4	4.635788	-0.241767	0.017281	0	0.01739	-0.212787	0.075445	3.034505E+9
5108.01	3.3	4.640096	-0.239958	0.016112	0	0.017143	-0.212787	0.075519	3.034506E+9
4975.74	3.2	4.636148	-0.24078	0.018458	0	0.017074	-0.212787	0.075482	3.034506E+9
4841.71	3.1	4.637266	-0.242992	0.016956	0	0.016886	-0.212787	0.075537	3.034506E+9
4705.98	3	4.640339	-0.239363	0.017396	0	0.017206	-0.212787	0.075396	3.034506E+9
4568.59	2.9	4.637773	-0.242641	0.016846	0	0.016935	-0.212787	0.075518	3.034507E+9
4429.62	2.8	4.638699	-0.236995	0.017555	0	0.017636	-0.212787	0.075425	3.034507E+9
4289.09	2.7	4.636915	-0.242446	0.017579	0	0.016695	-0.212787	0.07555	3.034507E+9
4147.09	2.6	4.633887	-0.236069	0.017489	0	0.016513	-0.212787	0.075523	3.034508E+9
4003.65	2.5	4.628159	-0.238278	0.016666	0	0.01779	-0.212787	0.075442	3.034508E+9
3858.83	2.4	4.628829	-0.239211	0.016745	0	0.017563	-0.212787	0.07549	3.034508E+9
3712.69	2.3	4.629966	-0.243366	0.016098	0	0.017218	-0.212787	0.075533	3.034509E+9
3565.29	2.2	4.629992	-0.240858	0.016034	0	0.017842	-0.212787	0.075416	3.034509E+9
3416.67	2.1	4.628647	-0.243226	0.01668	0	0.016128	-0.212787	0.075538	3.034509E+9
3266.89	2	4.633224	-0.242323	0.016628	0	0.017703	-0.212787	0.075442	3.034509E+9
3116	1.9	4.62019	-0.238405	0.017369	0	0.016941	-0.212787	0.075486	3.03451E+9
2964.07	1.8	4.616236	-0.235799	0.016335	0	0.016942	-0.212787	0.075476	3.03451E+9
2811.14	1.7	4.626213	-0.241452	0.016367	0	0.017449	-0.212787	0.075447	3.03451E+9
2657.27	1.6	4.619592	-0.237063	0.016309	0	0.016673	-0.212787	0.075384	3.034511E+9
2502.52	1.5	4.621301	-0.244607	0.017465	0	0.0166	-0.212787	0.07545	3.034511E+9
2346.93	1.4	4.620011	-0.24269	0.017031	0	0.016703	-0.212787	0.075452	3.034511E+9
2190.57	1.3	4.619193	-0.237827	0.016352	0	0.016556	-0.212787	0.07545	3.034512E+9
2033.48	1.2	4.61533	-0.240315	0.016741	0	0.01771	-0.212787	0.075442	3.034512E+9
1875.73	1.1	4.614693	-0.240013	0.016375	0	0.016782	-0.212787	0.075518	3.034512E+9
1717.37	1	4.606396	-0.240764	0.016455	0	0.017246	-0.212787	0.07537	3.034512E+9
1558.44	0.9	4.609862	-0.242775	0.016963	0	0.017063	-0.212787	0.075338	3.034513E+9
1399.02	0.8	4.605918	-0.247128	0.017433	0	0.016331	-0.212787	0.075484	3.034513E+9
1239.14	0.7	4.599784	-0.240929	0.017842	0	0.016812	-0.212787	0.075399	3.034513E+9
1078.87	0.6	4.606223	-0.241793	0.016668	0	0.016374	-0.212787	0.075461	3.034514E+9
918.26	0.5	4.602741	-0.240936	0.016074	0	0.016599	-0.212787	0.075567	3.034514E+9
757.37	0.4	4.595333	-0.242524	0.017206	0	0.016974	-0.212787	0.075458	3.034514E+9
596.24	0.3	4.59482	-0.240166	0.017147	0	0.016176	-0.212787	0.075421	3.034515E+9
434.94	0.2	4.592718	-0.241225	0.016277	0	0.017313	-0.212787	0.075454	3.034515E+9
273.52	0.1	4.589911	-0.244916	0.01652	0	0.016849	-0.212787	0.075411	3.034515E+9
112.03	0	4.588144	-0.244211	0.01645	0	0.017267	-0.212787	0.075375	3.034515E+9
-49.47	-0.1	4.584508	-0.245445	0.0174	0	0.016845	-0.212787	0.075423	3.034516E+9
-210.93	-0.2	4.57751	-0.242596	0.016991	0	0.017012	-0.212787	0.075429	3.034516E+9
-372.3	-0.3	4.574791	-0.239549	0.016347	0	0.017282	-0.212787	0.075406	3.034516E+9
-533.51	-0.4	4.573085	-0.237888	0.016644	0	0.016459	-0.212787	0.075409	3.034517E+9
-694.51	-0.5	4.568261	-0.235114	0.017073	0	0.017366	-0.212787	0.075387	3.034517E+9
-855.25	-0.6	4.565844	-0.237018	0.017102	0	0.016656	-0.212787	0.07533	3.034517E+9
-1015.68	-0.7	4.554116	-0.237983	0.017134	0	0.015846	-0.212787	0.075353	3.034518E+9
-1175.74	-0.8	4.531959	-0.232889	0.016436	0	0.017105	-0.212787	0.07547	3.034518E+9
-1335.37	-0.9	4.396389	-0.219968	0.015926	0	0.015707	-0.212787	0.075413	3.034518E+9
-1494.53	-1	3.495199	-0.160353	0.014081	0	0.012989	-0.212787	0.075553	3.034518E+9
-1653.15	-1.1	1.737929	-0.057522	0.011512	0	0.01195	-0.212787	0.075511	3.034519E+9
-1811.18	-1.2	0.514167	0.002263	0.010887	0	0.010939	-0.212787	0.075371	3.034519E+9
-1968.57	-1.3	-0.293589	0.046414	0.009723	0	0.010675	-0.212787	0.075528	3.034519E+9
-2125.26	-1.4	-0.879689	0.085624	0.009496	0	0.009965	-0.212787	0.075449	3.03452E+9
-2281.19	-1.5	-1.369842	0.110903	0.009442	0	0.00815	-0.212787	0.075454	3.03452E+9
