19/05/2022	16:11

Si\Pt3\(Co88Tb12)75\Pt3-20220518_APEJ6

Field	Kepco	Channel A	Channel B	Agilent	0	RF out	Monitor+	Monitor-	Time
8265.94	7	3.911269	-0.124768	0.000588	0	0.000742	-0.212787	0.064199	2.953594E+9
8204.61	6.8	3.909485	-0.123245	-0.000776	0	-5.8E-5	-0.212787	0.064304	2.953595E+9
8128.37	6.6	3.914855	-0.116253	0.000161	0	9.3E-5	-0.212787	0.06449	2.953596E+9
8037.67	6.4	3.917896	-0.118573	0.000434	0	-4E-5	-0.212787	0.064556	2.953597E+9
7932.95	6.2	3.909969	-0.118934	0.001309	0	-0.000789	-0.212787	0.06443	2.953598E+9
7814.63	6	3.914517	-0.118043	0.000108	0	0.00103	-0.212787	0.064455	2.953599E+9
7683.15	5.8	3.913237	-0.119161	0.000588	0	1.7E-5	-0.212787	0.064417	2.9536E+9
7538.96	5.6	3.916249	-0.122059	0.000262	0	0.000381	-0.212787	0.064249	2.953601E+9
7382.49	5.4	3.912987	-0.121685	-0.000149	0	-0.000315	-0.212787	0.06451	2.953602E+9
7214.18	5.2	3.911515	-0.121477	-0.000267	0	0.000163	-0.212787	0.064333	2.953603E+9
7034.46	5	3.904618	-0.124528	-0.000196	0	-0.001019	-0.212787	0.064441	2.953604E+9
6843.76	4.8	3.909053	-0.121224	-0.000421	0	0.00057	-0.212787	0.064502	2.953605E+9
6642.54	4.6	3.911278	-0.117212	0.000619	0	-0.000454	-0.212787	0.064292	2.953606E+9
6431.22	4.4	3.910115	-0.115763	0.000168	0	0.000691	-0.212787	0.064225	2.953607E+9
6210.24	4.2	3.903254	-0.117202	-0.000728	0	-0.000312	-0.212787	0.064226	2.953608E+9
5980.04	4	3.905541	-0.120253	-0.001514	0	0.000726	-0.212787	0.064315	2.953609E+9
5741.05	3.8	3.908345	-0.11959	-0.000607	0	-0.001053	-0.212787	0.064375	2.95361E+9
5493.71	3.6	3.905057	-0.11804	-0.000828	0	-0.001397	-0.212787	0.064514	2.953611E+9
5238.46	3.4	3.898231	-0.116913	0.000173	0	-0.000595	-0.212787	0.064485	2.953612E+9
4975.74	3.2	3.902854	-0.123323	-0.000724	0	0.000539	-0.212787	0.064286	2.953613E+9
4705.98	3	3.902009	-0.117569	-0.002405	0	-0.001068	-0.212787	0.06436	2.953614E+9
4429.62	2.8	3.901337	-0.116757	-0.001367	0	-0.000941	-0.212787	0.064349	2.953615E+9
4147.09	2.6	3.89378	-0.117787	-0.001222	0	-0.000907	-0.212787	0.064445	2.953616E+9
3858.83	2.4	3.898874	-0.118609	-0.001197	0	-8.6E-5	-0.212787	0.064212	2.953617E+9
3565.29	2.2	3.903267	-0.119112	0.000166	0	-0.001361	-0.212787	0.064258	2.953618E+9
3266.89	2	3.900391	-0.118667	-0.001723	0	-0.002152	-0.212787	0.064368	2.953619E+9
2964.07	1.8	3.904157	-0.118134	-0.001985	0	-0.002076	-0.212787	0.064334	2.95362E+9
2657.27	1.6	3.900707	-0.124349	-0.000135	0	-0.001939	-0.212787	0.064202	2.953621E+9
2346.93	1.4	3.905372	-0.120792	-0.002126	0	-0.001501	-0.212787	0.064242	2.953622E+9
2033.48	1.2	3.898289	-0.123066	-0.00203	0	-0.001438	-0.212787	0.064317	2.953623E+9
1717.37	1	3.9071	-0.118963	-0.002322	0	-0.001446	-0.212787	0.064285	2.953624E+9
1399.02	0.8	3.893075	-0.125152	-0.000953	0	-0.002264	-0.212787	0.064349	2.953625E+9
1078.87	0.6	3.900349	-0.126026	-0.002248	0	-0.002163	-0.212787	0.064198	2.953626E+9
757.37	0.4	3.89865	-0.117228	-0.000948	0	-0.002121	-0.212787	0.064447	2.953627E+9
434.94	0.2	3.903533	-0.122764	-0.002197	0	-0.001223	-0.212787	0.06424	2.953628E+9
112.03	0	3.895824	-0.116776	-0.002218	0	-0.001035	-0.212787	0.06444	2.953629E+9
-210.93	-0.2	3.895768	-0.116253	-0.000641	0	-0.001274	-0.212787	0.064385	2.95363E+9
-533.51	-0.4	3.890846	-0.118508	-0.000245	0	-0.001556	-0.212787	0.064539	2.953631E+9
