04/05/2022	12:06

Co88Tb12_20210526_CVEJ6

Field	Kepco	Channel A	Channel B	Agilent	0	RF out	Monitor+	Monitor-	Time
8265.94	7	1.362903	0.695797	0.002279	0	0.002108	-0.212787	0.003646	1.642905E+9
8204.61	6.8	1.362883	0.695307	0.002083	0	0.002253	-0.212787	0.003641	1.642906E+9
8128.37	6.6	1.354463	0.691879	0.002226	0	0.002236	-0.212787	0.003623	1.642907E+9
8037.67	6.4	1.345356	0.68519	0.002196	0	0.002138	-0.212787	0.003594	1.642908E+9
7932.95	6.2	1.347484	0.687795	0.001962	0	0.002116	-0.212787	0.00361	1.642909E+9
7814.63	6	1.341321	0.685554	0.001791	0	0.002237	-0.212787	0.003583	1.64291E+9
7683.15	5.8	1.334746	0.680482	0.00175	0	0.002225	-0.212787	0.003589	1.642911E+9
7538.96	5.6	1.32906	0.679134	0.002142	0	0.002205	-0.212787	0.003555	1.642912E+9
7382.49	5.4	1.324801	0.675694	0.001832	0	0.002214	-0.212787	0.003524	1.642913E+9
7214.18	5.2	1.313252	0.671733	0.001648	0	0.002135	-0.212787	0.003523	1.642914E+9
7034.46	5	1.300344	0.664541	0.001998	0	0.002008	-0.212787	0.003574	1.642915E+9
6843.76	4.8	1.280724	0.654424	0.002044	0	0.0021	-0.212787	0.003485	1.642916E+9
6642.54	4.6	1.264919	0.645399	0.00198	0	0.002108	-0.212787	0.003521	1.642917E+9
6431.22	4.4	1.253006	0.639171	0.001764	0	0.002049	-0.212787	0.003449	1.642918E+9
6210.24	4.2	1.238821	0.633963	0.001769	0	0.002119	-0.212787	0.003513	1.642919E+9
5980.04	4	1.218286	0.621702	0.001619	0	0.002103	-0.212787	0.003484	1.64292E+9
5741.05	3.8	1.187458	0.605097	0.001565	0	0.002111	-0.212787	0.003507	1.642921E+9
5493.71	3.6	1.155714	0.590624	0.00169	0	0.002095	-0.212787	0.003474	1.642922E+9
5238.46	3.4	1.124681	0.574991	0.00175	0	0.002117	-0.212787	0.00349	1.642923E+9
4975.74	3.2	1.084848	0.553971	0.001934	0	0.002091	-0.212787	0.003508	1.642924E+9
4705.98	3	1.044637	0.532987	0.001876	0	0.002109	-0.212787	0.003519	1.642925E+9
4429.62	2.8	0.992315	0.505905	0.001605	0	0.001973	-0.212787	0.003509	1.642926E+9
4147.09	2.6	0.934269	0.474895	0.001698	0	0.002061	-0.212787	0.003519	1.642927E+9
3858.83	2.4	0.87209	0.445916	0.00227	0	0.002069	-0.212787	0.003493	1.642928E+9
3565.29	2.2	0.805344	0.412054	0.002524	0	0.00193	-0.212787	0.003522	1.642929E+9
3266.89	2	0.739065	0.375693	0.001543	0	0.001979	-0.212787	0.00352	1.64293E+9
2964.07	1.8	0.669599	0.340388	0.002442	0	0.001922	-0.212787	0.003515	1.642931E+9
2657.27	1.6	0.595582	0.30251	0.002402	0	0.001915	-0.212787	0.003544	1.642932E+9
2346.93	1.4	0.527366	0.267365	0.002403	0	0.001953	-0.212787	0.003575	1.642933E+9
2033.48	1.2	0.455893	0.230173	0.001351	0	0.001812	-0.212787	0.003504	1.642934E+9
1717.37	1	0.386807	0.195651	0.00241	0	0.001895	-0.212787	0.003517	1.642935E+9
1399.02	0.8	0.317497	0.158667	0.002278	0	0.001818	-0.212787	0.003586	1.642936E+9
1078.87	0.6	0.247677	0.125669	0.002262	0	0.001787	-0.212787	0.003511	1.642937E+9
757.37	0.4	0.18006	0.089185	0.001954	0	0.001742	-0.212787	0.003539	1.642938E+9
434.94	0.2	0.114541	0.055972	0.001817	0	0.001738	-0.212787	0.003536	1.642939E+9
112.03	0	0.048315	0.02171	0.001848	0	0.00166	-0.212787	0.003496	1.64294E+9
-210.93	-0.2	-0.019852	-0.010658	0.001743	0	0.001594	-0.212787	0.003538	1.642941E+9
-533.51	-0.4	-0.085133	-0.047242	0.001827	0	0.00173	-0.212787	0.003531	1.642942E+9
