05/05/2022	17:38

Co88Tb12_20210531_CVMH1

Field	Kepco	Channel A	Channel B	Agilent	0	RF out	Monitor+	Monitor-	Time
8265.94	7	-0.946296	-0.473046	-0.003008	0	-0.002803	-0.212787	0.036981	1.749224E+9
8204.61	6.8	-0.957182	-0.485756	-0.002666	0	-0.002898	-0.212787	0.037041	1.749224E+9
8128.37	6.6	-0.933274	-0.480519	-0.002496	0	-0.003412	-0.212787	0.037223	1.749225E+9
8037.67	6.4	-0.913902	-0.469898	-0.003431	0	-0.003069	-0.212787	0.037079	1.749226E+9
7932.95	6.2	-0.884257	-0.464882	-0.003332	0	-0.003112	-0.212787	0.037062	1.749227E+9
7814.63	6	-0.861827	-0.458219	-0.002902	0	-0.003251	-0.212787	0.037186	1.749228E+9
7683.15	5.8	-0.845255	-0.458199	-0.002969	0	-0.003422	-0.212787	0.037321	1.749229E+9
7538.96	5.6	-0.826928	-0.452745	-0.003079	0	-0.00339	-0.212787	0.037117	1.74923E+9
7382.49	5.4	-0.839521	-0.435688	-0.003126	0	-0.003444	-0.212787	0.037296	1.749231E+9
7214.18	5.2	-0.788745	-0.444337	-0.003324	0	-0.003629	-0.212787	0.037339	1.749232E+9
7034.46	5	-0.761611	-0.431293	-0.003202	0	-0.003655	-0.212787	0.037241	1.749233E+9
6843.76	4.8	-0.735799	-0.449135	-0.003559	0	-0.003497	-0.212787	0.037109	1.749234E+9
6642.54	4.6	-0.723967	-0.442274	-0.003012	0	-0.003757	-0.212787	0.037083	1.749235E+9
6431.22	4.4	-0.707814	-0.438414	-0.003535	0	-0.004115	-0.212787	0.037089	1.749236E+9
6210.24	4.2	-0.711908	-0.430464	-0.003483	0	-0.00405	-0.212787	0.037332	1.749237E+9
5980.04	4	-0.685411	-0.433115	-0.003556	0	-0.004164	-0.212787	0.037242	1.749238E+9
5741.05	3.8	-0.678874	-0.437855	-0.003464	0	-0.00421	-0.212787	0.037272	1.749239E+9
5493.71	3.6	-0.671113	-0.424262	-0.003897	0	-0.004201	-0.212787	0.037338	1.74924E+9
5238.46	3.4	-0.653114	-0.424714	-0.004145	0	-0.004805	-0.212787	0.037073	1.749241E+9
4975.74	3.2	-0.643725	-0.41243	-0.003704	0	-0.004254	-0.212787	0.037136	1.749242E+9
4705.98	3	-0.647315	-0.413246	-0.004201	0	-0.004369	-0.212787	0.037333	1.749243E+9
4429.62	2.8	-0.616117	-0.408561	-0.004092	0	-0.004538	-0.212787	0.037265	1.749244E+9
4147.09	2.6	-0.59359	-0.405968	-0.004304	0	-0.004703	-0.212787	0.037353	1.749245E+9
3858.83	2.4	-0.57512	-0.402479	-0.003949	0	-0.004951	-0.212787	0.037093	1.749246E+9
3565.29	2.2	-0.546274	-0.387882	-0.004102	0	-0.004737	-0.212787	0.037227	1.749247E+9
3266.89	2	-0.517191	-0.393067	-0.004496	0	-0.004791	-0.212787	0.037341	1.749248E+9
2964.07	1.8	-0.488887	-0.385394	-0.004696	0	-0.00525	-0.212787	0.03724	1.749249E+9
2657.27	1.6	-0.47433	-0.383353	-0.004731	0	-0.004773	-0.212787	0.037352	1.74925E+9
2346.93	1.4	-0.420169	-0.362691	-0.004556	0	-0.00506	-0.212787	0.037166	1.749251E+9
2033.48	1.2	-0.346207	-0.34608	-0.004483	0	-0.005387	-0.212787	0.037347	1.749252E+9
1717.37	1	-0.25858	-0.320941	-0.004706	0	-0.00509	-0.212787	0.037216	1.749253E+9
1399.02	0.8	-0.153234	-0.301409	-0.004876	0	-0.005188	-0.212787	0.037187	1.749254E+9
1078.87	0.6	-0.035446	-0.283833	-0.004733	0	-0.005403	-0.212787	0.037245	1.749255E+9
757.37	0.4	0.118739	-0.231167	-0.004366	0	-0.005379	-0.212787	0.037251	1.749256E+9
434.94	0.2	0.289915	-0.209224	-0.005155	0	-0.005781	-0.212787	0.037159	1.749257E+9
112.03	0	0.494836	-0.173416	-0.005168	0	-0.005453	-0.212787	0.037189	1.749258E+9
-210.93	-0.2	0.745046	-0.098648	-0.005369	0	-0.005517	-0.212787	0.037131	1.749259E+9
-533.51	-0.4	1.095416	-0.05105	-0.005548	0	-0.005296	-0.212787	0.037302	1.74926E+9
-855.25	-0.6	2.293695	0.223802	-0.005123	0	-0.005646	-0.212787	0.037415	1.749261E+9
-1175.74	-0.8	2.607075	0.299515	-0.005398	0	-0.005736	-0.212787	0.037152	1.749262E+9
-1494.53	-1	2.832663	0.343241	-0.006369	0	-0.005781	-0.212787	0.037404	1.749263E+9
-1811.18	-1.2	3.005197	0.377525	-0.005265	0	-0.005909	-0.212787	0.037251	1.749264E+9
-2125.26	-1.4	3.124533	0.410185	-0.00537	0	-0.005869	-0.212787	0.037327	1.749265E+9
-2436.33	-1.6	3.202887	0.429162	-0.006269	0	-0.006049	-0.212787	0.037145	1.749266E+9
-2743.95	-1.8	3.249232	0.449879	-0.006016	0	-0.00618	-0.212787	0.037155	1.749267E+9
-3047.69	-2	3.291957	0.463566	-0.006073	0	-0.006104	-0.212787	0.037317	1.749268E+9
-3347.11	-2.2	3.33424	0.457329	-0.005813	0	-0.006366	-0.212787	0.037339	1.749269E+9
-3641.77	-2.4	3.374944	0.463976	-0.00623	0	-0.006478	-0.212787	0.037288	1.74927E+9
-3931.24	-2.6	3.412965	0.473183	-0.006797	0	-0.006101	-0.212787	0.037039	1.749271E+9
-4215.08	-2.8	3.448303	0.468449	-0.006831	0	-0.006567	-0.212787	0.037315	1.749272E+9
-4492.85	-3	3.466129	0.489352	-0.007327	0	-0.006751	-0.212787	0.03728	1.749273E+9
-4764.12	-3.2	3.502399	0.506321	-0.007401	0	-0.006422	-0.212787	0.037243	1.749274E+9
-5028.44	-3.4	3.501148	0.480425	-0.00703	0	-0.006783	-0.212787	0.037149	1.749275E+9
-5285.39	-3.6	3.518948	0.500746	-0.006526	0	-0.006884	-0.212787	0.037181	1.749276E+9
-5534.53	-3.8	3.566433	0.500492	-0.007259	0	-0.006694	-0.212787	0.037237	1.749277E+9
-5775.41	-4	3.574886	0.523536	-0.007438	0	-0.006893	-0.212787	0.037277	1.749278E+9
-6007.6	-4.2	3.591936	0.516879	-0.007727	0	-0.006568	-0.212787	0.037148	1.749279E+9
-6230.67	-4.4	3.601345	0.519319	-0.006972	0	-0.007234	-0.212787	0.037178	1.74928E+9
-6444.17	-4.6	3.610834	0.506175	-0.007186	0	-0.006897	-0.212787	0.037225	1.749281E+9
-6647.68	-4.8	3.617904	0.522724	-0.006955	0	-0.006644	-0.212787	0.037094	1.749282E+9
-6840.75	-5	3.630847	0.515541	-0.006785	0	-0.006984	-0.212787	0.037043	1.749283E+9
-7022.95	-5.2	3.628293	0.524443	-0.006691	0	-0.006719	-0.212787	0.037066	1.749284E+9
-7193.84	-5.4	3.628901	0.517968	-0.006901	0	-0.006726	-0.212787	0.037194	1.749285E+9
-7352.98	-5.6	3.617676	0.530459	-0.006869	0	-0.006874	-0.212787	0.037282	1.749286E+9
-7499.94	-5.8	3.607231	0.513553	-0.006751	0	-0.007283	-0.212787	0.037088	1.749287E+9
-7634.28	-6	3.616438	0.525018	-0.007163	0	-0.00693	-0.212787	0.037351	1.749288E+9
-7755.56	-6.2	3.620363	0.532818	-0.006658	0	-0.007134	-0.212787	0.037325	1.749289E+9
-7863.34	-6.4	3.620022	0.532249	-0.006896	0	-0.007042	-0.212787	0.037157	1.74929E+9
-7957.2	-6.6	3.647803	0.53299	-0.007722	0	-0.00726	-0.212787	0.037263	1.749291E+9
-8036.69	-6.8	3.653823	0.53455	-0.007247	0	-0.006948	-0.212787	0.037075	1.749292E+9
-8101.38	-7	3.661496	0.541154	-0.00649	0	-0.007237	-0.212787	0.037295	1.749293E+9
-8036.69	-6.8	3.669277	0.531811	-0.007715	0	-0.007439	-0.212787	0.037273	1.749294E+9
-7957.2	-6.6	3.690827	0.534166	-0.008105	0	-0.007657	-0.212787	0.037274	1.749295E+9
-7863.34	-6.4	3.686311	0.548133	-0.007922	0	-0.007317	-0.212787	0.037135	1.749296E+9
-7755.56	-6.2	3.715342	0.557246	-0.007534	0	-0.007336	-0.212787	0.037036	1.749297E+9
-7634.28	-6	3.714842	0.547785	-0.008065	0	-0.007424	-0.212787	0.037012	1.749298E+9
-7499.94	-5.8	3.746807	0.549439	-0.008168	0	-0.007965	-0.212787	0.037024	1.749299E+9
-7352.98	-5.6	3.75824	0.564331	-0.00783	0	-0.007697	-0.212787	0.037048	1.7493E+9
-7193.84	-5.4	3.772554	0.55912	-0.008223	0	-0.008122	-0.212787	0.037054	1.749301E+9
-7022.95	-5.2	3.784081	0.554244	-0.008166	0	-0.008349	-0.212787	0.037287	1.749302E+9
-6840.75	-5	3.802365	0.567749	-0.008218	0	-0.007807	-0.212787	0.037013	1.749303E+9
-6647.68	-4.8	3.825701	0.572398	-0.007995	0	-0.007993	-0.212787	0.037321	1.749304E+9
-6444.17	-4.6	3.834967	0.572986	-0.007751	0	-0.008447	-0.212787	0.037293	1.749305E+9
-6230.67	-4.4	3.866074	0.56529	-0.00772	0	-0.008292	-0.212787	0.037172	1.749306E+9
-6007.6	-4.2	3.877806	0.58566	-0.007572	0	-0.008378	-0.212787	0.037335	1.749307E+9
-5775.41	-4	3.892825	0.581914	-0.007412	0	-0.008294	-0.212787	0.037333	1.749308E+9
-5534.53	-3.8	3.901951	0.573343	-0.008327	0	-0.008644	-0.212787	0.037335	1.749309E+9
-5285.39	-3.6	3.916184	0.588993	-0.008556	0	-0.008375	-0.212787	0.03733	1.74931E+9
-5028.44	-3.4	3.912032	0.604321	-0.008367	0	-0.008569	-0.212787	0.037338	1.749311E+9
-4764.12	-3.2	3.91762	0.602605	-0.008419	0	-0.008694	-0.212787	0.037324	1.749312E+9
-4492.85	-3	3.943191	0.620412	-0.008553	0	-0.009034	-0.212787	0.03734	1.749313E+9
-4215.08	-2.8	3.946687	0.60177	-0.00896	0	-0.008863	-0.212787	0.037047	1.749314E+9
-3931.24	-2.6	3.948909	0.592544	-0.0088	0	-0.009172	-0.212787	0.037238	1.749315E+9
-3641.77	-2.4	3.943831	0.599022	-0.009112	0	-0.00912	-0.212787	0.037098	1.749316E+9
-3347.11	-2.2	3.944257	0.592966	-0.008784	0	-0.009349	-0.212787	0.037331	1.749317E+9
-3047.69	-2	3.91674	0.59922	-0.009369	0	-0.008945	-0.212787	0.037195	1.749318E+9
-2743.95	-1.8	3.872406	0.581293	-0.008771	0	-0.008891	-0.212787	0.037374	1.749319E+9
-2436.33	-1.6	3.817651	0.572863	-0.008678	0	-0.009411	-0.212787	0.03735	1.74932E+9
-2125.26	-1.4	3.728883	0.560085	-0.009136	0	-0.009444	-0.212787	0.037304	1.749321E+9
-1811.18	-1.2	3.659804	0.543091	-0.009035	0	-0.009231	-0.212787	0.037147	1.749322E+9
-1494.53	-1	3.532398	0.528149	-0.008689	0	-0.009818	-0.212787	0.037353	1.749323E+9
-1175.74	-0.8	3.382459	0.476169	-0.009212	0	-0.009671	-0.212787	0.037323	1.749324E+9
-855.25	-0.6	3.193261	0.457504	-0.008841	0	-0.009087	-0.212787	0.037092	1.749325E+9
-533.51	-0.4	3.011601	0.398542	-0.009506	0	-0.009377	-0.212787	0.037305	1.749326E+9
-210.93	-0.2	2.772638	0.344517	-0.008777	0	-0.009397	-0.212787	0.037161	1.749327E+9
112.03	0	2.035977	0.190508	-0.00894	0	-0.00978	-0.212787	0.037373	1.749328E+9
434.94	0.2	1.271722	0.02199	-0.009795	0	-0.009182	-0.212787	0.037253	1.749329E+9
757.37	0.4	1.016162	-0.028597	-0.009296	0	-0.009775	-0.212787	0.037355	1.74933E+9
1078.87	0.6	0.823654	-0.078109	-0.009034	0	-0.009357	-0.212787	0.037323	1.749331E+9
1399.02	0.8	0.700609	-0.081092	-0.008903	0	-0.010001	-0.212787	0.037361	1.749332E+9
1717.37	1	0.614356	-0.12524	-0.009629	0	-0.009646	-0.212787	0.037114	1.749333E+9
2033.48	1.2	0.558168	-0.119707	-0.010094	0	-0.01014	-0.212787	0.037234	1.749334E+9
2346.93	1.4	0.522834	-0.141844	-0.009536	0	-0.010141	-0.212787	0.037177	1.749335E+9
2657.27	1.6	0.497387	-0.15071	-0.009406	0	-0.010064	-0.212787	0.037153	1.749336E+9
2964.07	1.8	0.475577	-0.145041	-0.009485	0	-0.010298	-0.212787	0.037225	1.749337E+9
3266.89	2	0.47085	-0.148611	-0.010382	0	-0.009997	-0.212787	0.037054	1.749338E+9
3565.29	2.2	0.453131	-0.140597	-0.009419	0	-0.010409	-0.212787	0.037292	1.749339E+9
3858.83	2.4	0.460269	-0.15456	-0.009643	0	-0.010224	-0.212787	0.037098	1.74934E+9
4147.09	2.6	0.465912	-0.152318	-0.010654	0	-0.011192	-0.212787	0.037082	1.749341E+9
4429.62	2.8	0.47085	-0.138137	-0.010204	0	-0.010444	-0.212787	0.037045	1.749342E+9
4705.98	3	0.477423	-0.152445	-0.009723	0	-0.010564	-0.212787	0.037184	1.749343E+9
4975.74	3.2	0.47946	-0.159888	-0.009951	0	-0.010323	-0.212787	0.037234	1.749344E+9
5238.46	3.4	0.476078	-0.142016	-0.009972	0	-0.01083	-0.212787	0.037283	1.749345E+9
5493.71	3.6	0.482988	-0.136773	-0.010078	0	-0.010811	-0.212787	0.037002	1.749346E+9
5741.05	3.8	0.475691	-0.145915	-0.010186	0	-0.010105	-0.212787	0.037313	1.749347E+9
5980.04	4	0.479028	-0.12869	-0.010023	0	-0.010511	-0.212787	0.037199	1.749348E+9
6210.24	4.2	0.499979	-0.144034	-0.010421	0	-0.010715	-0.212787	0.037276	1.749349E+9
6431.22	4.4	0.49688	-0.129723	-0.010311	0	-0.010711	-0.212787	0.037159	1.74935E+9
6642.54	4.6	0.509105	-0.138881	-0.011171	0	-0.010242	-0.212787	0.037166	1.749351E+9
6843.76	4.8	0.503611	-0.122816	-0.010139	0	-0.010926	-0.212787	0.037005	1.749352E+9
7034.46	5	0.525885	-0.139752	-0.010392	0	-0.011057	-0.212787	0.037183	1.749353E+9
7214.18	5.2	0.51212	-0.117501	-0.011267	0	-0.010753	-0.212787	0.037203	1.749354E+9
7382.49	5.4	0.521918	-0.124551	-0.010866	0	-0.010175	-0.212787	0.037154	1.749355E+9
