05/05/2022	17:53

Co88Tb12_20210531_CVMH1

Field	Kepco	Channel A	Channel B	Agilent	0	RF out	Monitor+	Monitor-	Time
8265.94	7	-6.853746	-1.512617	0.021059	0	0.020708	-0.212787	0.068272	1.75008E+9
8204.61	6.8	-6.858655	-1.513517	0.020392	0	0.021023	-0.212787	0.068267	1.750081E+9
8128.37	6.6	-6.859211	-1.518458	0.020593	0	0.020971	-0.212787	0.068785	1.750082E+9
8037.67	6.4	-6.859175	-1.517438	0.020531	0	0.020926	-0.212787	0.068291	1.750083E+9
7932.95	6.2	-6.855452	-1.515752	0.020871	0	0.020564	-0.212787	0.068197	1.750084E+9
7814.63	6	-6.857148	-1.517929	0.019923	0	0.020752	-0.212787	0.06889	1.750085E+9
7683.15	5.8	-6.855907	-1.514901	0.020326	0	0.020085	-0.212787	0.068756	1.750086E+9
7538.96	5.6	-6.857635	-1.519296	0.020657	0	0.020291	-0.212787	0.068341	1.750087E+9
7382.49	5.4	-6.854585	-1.514923	0.020139	0	0.020231	-0.212787	0.068754	1.750088E+9
7214.18	5.2	-6.855517	-1.516713	0.020067	0	0.021072	-0.212787	0.068458	1.750089E+9
7034.46	5	-6.854156	-1.516213	0.020287	0	0.019856	-0.212787	0.068384	1.75009E+9
6843.76	4.8	-6.851865	-1.513205	0.019794	0	0.019784	-0.212787	0.068859	1.750091E+9
6642.54	4.6	-6.853002	-1.510563	0.020101	0	0.020661	-0.212787	0.068407	1.750092E+9
6431.22	4.4	-6.84592	-1.514953	0.020346	0	0.020083	-0.212787	0.06827	1.750093E+9
6210.24	4.2	-6.845696	-1.513302	0.021006	0	0.019915	-0.212787	0.068875	1.750094E+9
5980.04	4	-6.840881	-1.512042	0.020092	0	0.019511	-0.212787	0.068625	1.750095E+9
5741.05	3.8	-6.83786	-1.512061	0.020267	0	0.020187	-0.212787	0.06814	1.750096E+9
5493.71	3.6	-6.832775	-1.509946	0.019963	0	0.019767	-0.212787	0.068361	1.750097E+9
5238.46	3.4	-6.821063	-1.504232	0.01876	0	0.019359	-0.212787	0.068709	1.750098E+9
4975.74	3.2	-6.793497	-1.501522	0.018573	0	0.019634	-0.212787	0.068725	1.750099E+9
4705.98	3	-6.733436	-1.490129	0.018371	0	0.019048	-0.212787	0.068088	1.7501E+9
4429.62	2.8	-6.593024	-1.456838	0.018043	0	0.018896	-0.212787	0.068349	1.750101E+9
4147.09	2.6	-6.319356	-1.396414	0.017696	0	0.018249	-0.212787	0.068798	1.750102E+9
3858.83	2.4	-5.957749	-1.31867	0.01783	0	0.017098	-0.212787	0.068083	1.750103E+9
3565.29	2.2	-5.554199	-1.229052	0.016353	0	0.016894	-0.212787	0.06846	1.750104E+9
3266.89	2	-5.140725	-1.14164	0.016385	0	0.016004	-0.212787	0.068132	1.750105E+9
2964.07	1.8	-4.718295	-1.048035	0.016138	0	0.015998	-0.212787	0.06883	1.750106E+9
2657.27	1.6	-4.300163	-0.958319	0.014841	0	0.014854	-0.212787	0.068439	1.750107E+9
2346.93	1.4	-3.884387	-0.86657	0.01432	0	0.013802	-0.212787	0.068403	1.750108E+9
2033.48	1.2	-3.472431	-0.77856	0.013767	0	0.013872	-0.212787	0.068304	1.750109E+9
1717.37	1	-3.06392	-0.68814	0.013137	0	0.013617	-0.212787	0.068624	1.75011E+9
1399.02	0.8	-2.659473	-0.596952	0.013269	0	0.013929	-0.212787	0.068693	1.750111E+9
1078.87	0.6	-2.259718	-0.514566	0.012349	0	0.012148	-0.212787	0.068658	1.750112E+9
757.37	0.4	-1.8644	-0.425598	0.012036	0	0.011693	-0.212787	0.068687	1.750113E+9
434.94	0.2	-1.467179	-0.341242	0.011554	0	0.010929	-0.212787	0.068696	1.750114E+9
112.03	0	-1.073405	-0.25398	0.010388	0	0.011533	-0.212787	0.068309	1.750115E+9
-210.93	-0.2	-0.686892	-0.170976	0.010846	0	0.010818	-0.212787	0.068145	1.750116E+9
-533.51	-0.4	-0.296435	-0.082459	0.011164	0	0.010205	-0.212787	0.068401	1.750117E+9
-855.25	-0.6	0.08719	0.003283	0.009849	0	0.009411	-0.212787	0.067998	1.750118E+9
-1175.74	-0.8	0.478488	0.088769	0.009061	0	0.009599	-0.212787	0.068179	1.750119E+9
-1494.53	-1	0.862721	0.170664	0.009437	0	0.009724	-0.212787	0.068227	1.75012E+9
-1811.18	-1.2	1.250826	0.258626	0.008586	0	0.008174	-0.212787	0.068664	1.750121E+9
-2125.26	-1.4	1.640296	0.343881	0.008311	0	0.007179	-0.212787	0.068562	1.750122E+9
-2436.33	-1.6	2.029359	0.428424	0.006282	0	0.006911	-0.212787	0.06794	1.750123E+9
-2743.95	-1.8	2.420275	0.514553	0.006523	0	0.007491	-0.212787	0.068058	1.750124E+9
-3047.69	-2	2.811113	0.599834	0.006454	0	0.006243	-0.212787	0.068199	1.750125E+9
-3347.11	-2.2	3.19907	0.684504	0.006429	0	0.006817	-0.212787	0.068416	1.750126E+9
-3641.77	-2.4	3.594096	0.770828	0.006068	0	0.005211	-0.212787	0.068314	1.750127E+9
-3931.24	-2.6	3.990267	0.858575	0.004556	0	0.006023	-0.212787	0.06862	1.750128E+9
-4215.08	-2.8	4.381116	0.942914	0.005042	0	0.005435	-0.212787	0.068136	1.750129E+9
-4492.85	-3	4.770068	1.028676	0.004435	0	0.005323	-0.212787	0.068696	1.75013E+9
-4764.12	-3.2	5.159521	1.108177	0.005542	0	0.005585	-0.212787	0.068587	1.750131E+9
-5028.44	-3.4	5.539644	1.194037	0.005202	0	0.005228	-0.212787	0.068754	1.750132E+9
-5285.39	-3.6	5.911606	1.275224	0.005113	0	0.004912	-0.212787	0.068755	1.750133E+9
-5534.53	-3.8	6.26466	1.354709	0.004721	0	0.004404	-0.212787	0.068508	1.750134E+9
-5775.41	-4	6.585396	1.419981	0.004536	0	0.004522	-0.212787	0.068305	1.750135E+9
-6007.6	-4.2	6.857288	1.480675	0.004654	0	0.005333	-0.212787	0.068246	1.750136E+9
-6230.67	-4.4	7.070491	1.526685	0.005209	0	0.004208	-0.212787	0.068863	1.750137E+9
-6444.17	-4.6	7.217459	1.557955	0.004426	0	0.004266	-0.212787	0.068865	1.750138E+9
-6647.68	-4.8	7.306516	1.579634	0.004398	0	0.004216	-0.212787	0.068522	1.750139E+9
-6840.75	-5	7.356045	1.590329	0.004257	0	0.005372	-0.212787	0.06818	1.75014E+9
-7022.95	-5.2	7.376981	1.595387	0.005354	0	0.004069	-0.212787	0.068281	1.750141E+9
-7193.84	-5.4	7.392981	1.602246	0.004146	0	0.004941	-0.212787	0.068542	1.750142E+9
-7352.98	-5.6	7.396922	1.60068	0.004697	0	0.004775	-0.212787	0.068789	1.750143E+9
-7499.94	-5.8	7.400122	1.602106	0.003958	0	0.004887	-0.212787	0.06852	1.750144E+9
-7634.28	-6	7.399216	1.598851	0.004379	0	0.005391	-0.212787	0.068796	1.750145E+9
-7755.56	-6.2	7.402312	1.601865	0.005856	0	0.005019	-0.212787	0.068688	1.750146E+9
-7863.34	-6.4	7.400519	1.601521	0.005375	0	0.004541	-0.212787	0.068114	1.750147E+9
-7957.2	-6.6	7.403833	1.601394	0.004099	0	0.005437	-0.212787	0.068148	1.750148E+9
-8036.69	-6.8	7.400262	1.597902	0.005224	0	0.005223	-0.212787	0.068165	1.750149E+9
-8101.38	-7	7.40035	1.597817	0.005473	0	0.005255	-0.212787	0.068342	1.75015E+9
-8036.69	-6.8	7.399287	1.597398	0.004753	0	0.005424	-0.212787	0.06877	1.750151E+9
-7957.2	-6.6	7.400616	1.594039	0.004711	0	0.005686	-0.212787	0.068605	1.750152E+9
-7863.34	-6.4	7.402825	1.600676	0.004355	0	0.005159	-0.212787	0.068152	1.750153E+9
-7755.56	-6.2	7.40148	1.598555	0.005322	0	0.005406	-0.212787	0.068609	1.750154E+9
-7634.28	-6	7.401802	1.600845	0.006404	0	0.004134	-0.212787	0.068856	1.750155E+9
-7499.94	-5.8	7.399697	1.599471	0.004674	0	0.005029	-0.212787	0.068222	1.750156E+9
-7352.98	-5.6	7.400883	1.597337	0.004658	0	0.004785	-0.212787	0.068154	1.750157E+9
