05/05/2022	14:06

Co88Tb12_20210514_CVMH1

Field	Kepco	Channel A	Channel B	Agilent	0	RF out	Monitor+	Monitor-	Time
8265.94	7	-0.118674	-0.111286	-0.003879	0	-0.005758	-0.212787	0.04889	1.736364E+9
8237.17	6.9	-0.113726	-0.113219	-0.005238	0	-0.005825	-0.212787	0.048727	1.736365E+9
8204.61	6.8	-0.109278	-0.107858	-0.004721	0	-0.004203	-0.212787	0.048799	1.736366E+9
8168.33	6.7	-0.101195	-0.110896	-0.004354	0	-0.005144	-0.212787	0.048863	1.736367E+9
8128.37	6.6	-0.096319	-0.111656	-0.005569	0	-0.005487	-0.212787	0.048668	1.736368E+9
8084.8	6.5	-0.08217	-0.10563	-0.005026	0	-0.00516	-0.212787	0.04886	1.736369E+9
8037.67	6.4	-0.083892	-0.107797	-0.004609	0	-0.004364	-0.212787	0.048979	1.73637E+9
7987.04	6.3	-0.076654	-0.099243	-0.005224	0	-0.005589	-0.212787	0.048893	1.736371E+9
7932.95	6.2	-0.076719	-0.10485	-0.005461	0	-0.004882	-0.212787	0.048793	1.736372E+9
7875.46	6.1	-0.074578	-0.107121	-0.00551	0	-0.004352	-0.212787	0.048672	1.736373E+9
7814.63	6	-0.072437	-0.099727	-0.004792	0	-0.004502	-0.212787	0.048908	1.736374E+9
7750.51	5.9	-0.065796	-0.1014	-0.005871	0	-0.005097	-0.212787	0.048619	1.736375E+9
7683.15	5.8	-0.067554	-0.102284	-0.006926	0	-0.00459	-0.212787	0.048629	1.736376E+9
7612.62	5.7	-0.064916	-0.094113	-0.005683	0	-0.004175	-0.212787	0.048684	1.736377E+9
7538.96	5.6	-0.061079	-0.097917	-0.004783	0	-0.006248	-0.212787	0.048919	1.736378E+9
7462.23	5.5	-0.051082	-0.100688	-0.006133	0	-0.006146	-0.212787	0.048708	1.736379E+9
7382.49	5.4	-0.057853	-0.101068	-0.005604	0	-0.004667	-0.212787	0.048961	1.73638E+9
7299.79	5.3	-0.042044	-0.097894	-0.005028	0	-0.005963	-0.212787	0.048658	1.736381E+9
7214.18	5.2	-0.0385	-0.09577	-0.00519	0	-0.005629	-0.212787	0.04875	1.736382E+9
7125.71	5.1	-0.028299	-0.094867	-0.005815	0	-0.00464	-0.212787	0.048687	1.736383E+9
7034.46	5	-0.025196	-0.094779	-0.00455	0	-0.00505	-0.212787	0.048899	1.736384E+9
6940.45	4.9	-0.016187	-0.089262	-0.004942	0	-0.006187	-0.212787	0.048942	1.736385E+9
6843.76	4.8	-0.002815	-0.090968	-0.005366	0	-0.005843	-0.212787	0.048982	1.736386E+9
6744.44	4.7	0.006015	-0.090266	-0.005198	0	-0.00412	-0.212787	0.048773	1.736387E+9
6642.54	4.6	0.001379	-0.090315	-0.004818	0	-0.004245	-0.212787	0.04862	1.736388E+9
6538.11	4.5	0.007896	-0.085936	-0.005677	0	-0.005403	-0.212787	0.048611	1.736389E+9
6431.22	4.4	0.010105	-0.088184	-0.005292	0	-0.004432	-0.212787	0.048711	1.73639E+9
6321.91	4.3	0.021077	-0.081745	-0.00488	0	-0.005071	-0.212787	0.048716	1.736391E+9
6210.24	4.2	0.033266	-0.084029	-0.00401	0	-0.006155	-0.212787	0.04885	1.736392E+9
6096.26	4.1	0.037574	-0.085497	-0.005895	0	-0.005471	-0.212787	0.048846	1.736393E+9
5980.04	4	0.050881	-0.080929	-0.006325	0	-0.005101	-0.212787	0.048623	1.736394E+9
5861.61	3.9	0.054737	-0.082729	-0.004823	0	-0.005398	-0.212787	0.048779	1.736395E+9
5741.05	3.8	0.065137	-0.086312	-0.004733	0	-0.005989	-0.212787	0.04891	1.736396E+9
5618.4	3.7	0.074412	-0.07666	-0.005549	0	-0.00595	-0.212787	0.048946	1.736397E+9
5493.71	3.6	0.081173	-0.073142	-0.004961	0	-0.005065	-0.212787	0.048962	1.736398E+9
5367.05	3.5	0.08731	-0.078824	-0.005528	0	-0.005186	-0.212787	0.048642	1.736399E+9
5238.46	3.4	0.100779	-0.070985	-0.005454	0	-0.006629	-0.212787	0.048636	1.7364E+9
5108.01	3.3	0.119216	-0.067167	-0.006361	0	-0.005444	-0.212787	0.048709	1.736401E+9
4975.74	3.2	0.124606	-0.070617	-0.006255	0	-0.005668	-0.212787	0.048988	1.736402E+9
4841.71	3.1	0.138654	-0.0727	-0.006092	0	-0.006767	-0.212787	0.048949	1.736403E+9
4705.98	3	0.147861	-0.060283	-0.007306	0	-0.006779	-0.212787	0.048954	1.736404E+9
4568.59	2.9	0.160034	-0.061176	-0.007076	0	-0.006065	-0.212787	0.04879	1.736405E+9
4429.62	2.8	0.176161	-0.058912	-0.005813	0	-0.006095	-0.212787	0.048649	1.736406E+9
4289.09	2.7	0.183007	-0.059393	-0.005299	0	-0.00661	-0.212787	0.049005	1.736407E+9
4147.09	2.6	0.191661	-0.061264	-0.007437	0	-0.006371	-0.212787	0.048989	1.736408E+9
4003.65	2.5	0.199507	-0.053743	-0.006623	0	-0.006207	-0.212787	0.048908	1.736409E+9
3858.83	2.4	0.213464	-0.053532	-0.005886	0	-0.006434	-0.212787	0.048972	1.73641E+9
3712.69	2.3	0.223825	-0.047168	-0.00663	0	-0.007248	-0.212787	0.048662	1.736411E+9
3565.29	2.2	0.236427	-0.055952	-0.007847	0	-0.006362	-0.212787	0.048902	1.736412E+9
3416.67	2.1	0.248938	-0.051453	-0.007233	0	-0.006853	-0.212787	0.049013	1.736413E+9
3266.89	2	0.258421	-0.044981	-0.006808	0	-0.006898	-0.212787	0.049086	1.736414E+9
3116	1.9	0.26933	-0.041235	-0.007522	0	-0.007606	-0.212787	0.049098	1.736415E+9
2964.07	1.8	0.277725	-0.047574	-0.008018	0	-0.007307	-0.212787	0.048925	1.736416E+9
2811.14	1.7	0.287303	-0.040205	-0.007444	0	-0.006846	-0.212787	0.048967	1.736417E+9
2657.27	1.6	0.294492	-0.042028	-0.007573	0	-0.007718	-0.212787	0.048724	1.736418E+9
2502.52	1.5	0.304651	-0.03761	-0.00729	0	-0.007045	-0.212787	0.0491	1.736419E+9
2346.93	1.4	0.30648	-0.040059	-0.007246	0	-0.007053	-0.212787	0.048838	1.73642E+9
2190.57	1.3	0.324381	-0.0344	-0.007276	0	-0.006782	-0.212787	0.048921	1.736421E+9
2033.48	1.2	0.338822	-0.033487	-0.007338	0	-0.007502	-0.212787	0.049127	1.736422E+9
1875.73	1.1	0.335846	-0.02735	-0.007159	0	-0.00735	-0.212787	0.048852	1.736423E+9
1717.37	1	0.34095	-0.032129	-0.008629	0	-0.007177	-0.212787	0.048831	1.736424E+9
1558.44	0.9	0.345775	-0.032571	-0.008107	0	-0.006427	-0.212787	0.048757	1.736425E+9
1399.02	0.8	0.346636	-0.033662	-0.00748	0	-0.007929	-0.212787	0.049108	1.736426E+9
1239.14	0.7	0.351821	-0.025544	-0.007734	0	-0.007533	-0.212787	0.049045	1.736427E+9
1078.87	0.6	0.346139	-0.027772	-0.008697	0	-0.006347	-0.212787	0.049038	1.736428E+9
918.26	0.5	0.357058	-0.030927	-0.007283	0	-0.007244	-0.212787	0.049073	1.736429E+9
757.37	0.4	0.360807	-0.029653	-0.007219	0	-0.007527	-0.212787	0.048897	1.73643E+9
596.24	0.3	0.360947	-0.032707	-0.007701	0	-0.007512	-0.212787	0.049101	1.736431E+9
434.94	0.2	0.373289	-0.026892	-0.007329	0	-0.007634	-0.212787	0.048879	1.736432E+9
273.52	0.1	0.378156	-0.02875	-0.008302	0	-0.007631	-0.212787	0.048839	1.736433E+9
112.03	0	0.384842	-0.023029	-0.007309	0	-0.008267	-0.212787	0.049026	1.736434E+9
-49.47	-0.1	0.391329	-0.025043	-0.008132	0	-0.00746	-0.212787	0.049075	1.736435E+9
-210.93	-0.2	0.408629	-0.019358	-0.007807	0	-0.007282	-0.212787	0.0491	1.736436E+9
-372.3	-0.3	0.403197	-0.023796	-0.007322	0	-0.008929	-0.212787	0.048878	1.736437E+9
-533.51	-0.4	0.412603	-0.024202	-0.008217	0	-0.009005	-0.212787	0.048936	1.736438E+9
-694.51	-0.5	0.408863	-0.017249	-0.007814	0	-0.007461	-0.212787	0.048937	1.736439E+9
-855.25	-0.6	0.41333	-0.022698	-0.007618	0	-0.007007	-0.212787	0.048818	1.73644E+9
-1015.68	-0.7	0.417781	-0.017769	-0.007339	0	-0.00922	-0.212787	0.049011	1.736441E+9
-1175.74	-0.8	0.417398	-0.018195	-0.00839	0	-0.00864	-0.212787	0.048792	1.736442E+9
-1335.37	-0.9	0.420997	-0.017678	-0.007524	0	-0.007779	-0.212787	0.048903	1.736443E+9
-1494.53	-1	0.41962	-0.018971	-0.007406	0	-0.008208	-0.212787	0.048775	1.736444E+9
-1653.15	-1.1	0.425208	-0.014121	-0.00819	0	-0.007932	-0.212787	0.048968	1.736445E+9
-1811.18	-1.2	0.422937	-0.010105	-0.009071	0	-0.007761	-0.212787	0.048955	1.736446E+9
-1968.57	-1.3	0.424006	-0.015482	-0.006784	0	-0.009088	-0.212787	0.048948	1.736447E+9
-2125.26	-1.4	0.421192	-0.013958	-0.008355	0	-0.008254	-0.212787	0.049037	1.736448E+9
-2281.19	-1.5	0.422489	-0.01697	-0.00815	0	-0.007631	-0.212787	0.049079	1.736449E+9
-2436.33	-1.6	0.420338	-0.017785	-0.008417	0	-0.00744	-0.212787	0.04883	1.73645E+9
-2590.6	-1.7	0.428021	-0.017837	-0.007671	0	-0.008721	-0.212787	0.049118	1.736451E+9
-2743.95	-1.8	0.421075	-0.016847	-0.008325	0	-0.008885	-0.212787	0.049144	1.736452E+9
