05/05/2022	15:13

Co88Tb12_20210514_CVMH2

Field	Kepco	Channel A	Channel B	Agilent	0	RF out	Monitor+	Monitor-	Time
5980.04	4	0.131757	0.097047	-0.017752	0	-0.017286	-0.212787	0.098161	1.740328E+9
5679.98	3.75	0.130279	0.099155	-0.017585	0	-0.017415	-0.212787	0.098138	1.740329E+9
5367.05	3.5	0.131279	0.090026	-0.017063	0	-0.01799	-0.212787	0.098138	1.74033E+9
5042.1	3.25	0.124522	0.090822	-0.017623	0	-0.016905	-0.212787	0.09808	1.740331E+9
4705.98	3	0.120087	0.100887	-0.016953	0	-0.017987	-0.212787	0.09796	1.740332E+9
4359.54	2.75	0.114064	0.111124	-0.017839	0	-0.01797	-0.212787	0.098111	1.740333E+9
4003.65	2.5	0.106523	0.115753	-0.018169	0	-0.017796	-0.212787	0.098188	1.740334E+9
3639.15	2.25	0.104493	0.130285	-0.017255	0	-0.017972	-0.212787	0.097974	1.740335E+9
3266.89	2	0.096397	0.13906	-0.018269	0	-0.018861	-0.212787	0.098212	1.740336E+9
2887.73	1.75	0.097748	0.142124	-0.019546	0	-0.018126	-0.212787	0.09807	1.740337E+9
2502.52	1.5	0.096342	0.134765	-0.018519	0	-0.018544	-0.212787	0.098132	1.740338E+9
2471.46	1.48	0.099324	0.133865	-0.017492	0	-0.018438	-0.212787	0.098011	1.740339E+9
2440.38	1.46	0.100549	0.131689	-0.018255	0	-0.018562	-0.212787	0.097946	1.74034E+9
2409.26	1.44	0.099178	0.127066	-0.017645	0	-0.018723	-0.212787	0.098205	1.740341E+9
2378.11	1.42	0.09795	0.130834	-0.018124	0	-0.018523	-0.212787	0.098082	1.740342E+9
2346.93	1.4	0.102826	0.121536	-0.018146	0	-0.018189	-0.212787	0.097999	1.740343E+9
2315.72	1.38	0.104961	0.10934	-0.018717	0	-0.017937	-0.212787	0.098096	1.740344E+9
2284.48	1.36	0.099629	0.120068	-0.019011	0	-0.018919	-0.212787	0.098036	1.740345E+9
2253.2	1.34	0.107989	0.108804	-0.018726	0	-0.018231	-0.212787	0.097955	1.740346E+9
2221.9	1.32	0.107599	0.094821	-0.01828	0	-0.018526	-0.212787	0.097916	1.740347E+9
2190.57	1.3	0.10974	0.093963	-0.018439	0	-0.019364	-0.212787	0.098023	1.740348E+9
2159.21	1.28	0.115383	0.086559	-0.018757	0	-0.018443	-0.212787	0.098141	1.740349E+9
2127.82	1.26	0.108005	0.081527	-0.018214	0	-0.019129	-0.212787	0.098107	1.74035E+9
2096.4	1.24	0.109197	0.09924	-0.018211	0	-0.018636	-0.212787	0.098199	1.740351E+9
2064.96	1.22	0.10678	0.108365	-0.017951	0	-0.019005	-0.212787	0.097886	1.740352E+9
2033.48	1.2	0.10755	0.110669	-0.018034	0	-0.018475	-0.212787	0.098022	1.740353E+9
2001.99	1.18	0.104496	0.104051	-0.018536	0	-0.017979	-0.212787	0.098107	1.740354E+9
1970.46	1.16	0.110162	0.107621	-0.018362	0	-0.018834	-0.212787	0.098182	1.740355E+9
1938.91	1.14	0.106634	0.100182	-0.018821	0	-0.018107	-0.212787	0.09812	1.740356E+9
1907.33	1.12	0.113596	0.084838	-0.018057	0	-0.018394	-0.212787	0.098042	1.740357E+9
1875.73	1.1	0.106237	0.076504	-0.018591	0	-0.01889	-0.212787	0.098087	1.740358E+9
1844.11	1.08	0.115454	0.077135	-0.018386	0	-0.018123	-0.212787	0.09795	1.740359E+9
1812.46	1.06	0.10883	0.084851	-0.018016	0	-0.018223	-0.212787	0.097935	1.74036E+9
1780.78	1.04	0.11845	0.076878	-0.018584	0	-0.018786	-0.212787	0.098043	1.740361E+9
1749.09	1.02	0.11639	0.075572	-0.018102	0	-0.018282	-0.212787	0.098202	1.740362E+9
1717.37	1	0.112816	0.071111	-0.017921	0	-0.018076	-0.212787	0.098105	1.740363E+9
1685.63	0.98	0.114178	0.078165	-0.017881	0	-0.018058	-0.212787	0.098135	1.740364E+9
1653.86	0.96	0.107089	0.09053	-0.017241	0	-0.018559	-0.212787	0.098106	1.740365E+9
1622.08	0.94	0.111552	0.094821	-0.017871	0	-0.017772	-0.212787	0.097956	1.740366E+9
1590.27	0.92	0.108054	0.08998	-0.017939	0	-0.018021	-0.212787	0.098188	1.740367E+9
1558.44	0.9	0.11458	0.086907	-0.017164	0	-0.018028	-0.212787	0.098016	1.740368E+9
1526.6	0.88	0.10973	0.076336	-0.017282	0	-0.017469	-0.212787	0.098099	1.740369E+9
1494.73	0.86	0.111868	0.083161	-0.018285	0	-0.018627	-0.212787	0.097988	1.74037E+9
1462.84	0.84	0.109275	0.095244	-0.017973	0	-0.018178	-0.212787	0.098121	1.740371E+9
1430.94	0.82	0.108908	0.100074	-0.018754	0	-0.017328	-0.212787	0.09812	1.740372E+9
1399.02	0.8	0.104827	0.11486	-0.017606	0	-0.018922	-0.212787	0.098009	1.740373E+9
1367.08	0.78	0.103132	0.120149	-0.017762	0	-0.018119	-0.212787	0.09788	1.740374E+9
1335.12	0.76	0.102937	0.114931	-0.019305	0	-0.018299	-0.212787	0.098035	1.740375E+9
1303.14	0.74	0.107342	0.099649	-0.018501	0	-0.018268	-0.212787	0.098006	1.740376E+9
1271.15	0.72	0.112102	0.097375	-0.018012	0	-0.017819	-0.212787	0.097916	1.740377E+9
1239.14	0.7	0.10512	0.097053	-0.018685	0	-0.017834	-0.212787	0.098031	1.740378E+9
1207.12	0.68	0.108983	0.105679	-0.018599	0	-0.018454	-0.212787	0.098072	1.740379E+9
1175.08	0.66	0.101108	0.108862	-0.018814	0	-0.018096	-0.212787	0.09795	1.74038E+9
1143.02	0.64	0.105968	0.103508	-0.018745	0	-0.017874	-0.212787	0.098073	1.740381E+9
1110.95	0.62	0.102021	0.11281	-0.018655	0	-0.018424	-0.212787	0.098112	1.740382E+9
1078.87	0.6	0.104204	0.115279	-0.018087	0	-0.01899	-0.212787	0.098013	1.740383E+9
1046.78	0.58	0.104636	0.11754	-0.018405	0	-0.017879	-0.212787	0.098069	1.740384E+9
1014.67	0.56	0.102427	0.112794	-0.018935	0	-0.018724	-0.212787	0.098036	1.740385E+9
982.54	0.54	0.10026	0.120812	-0.018801	0	-0.018548	-0.212787	0.098119	1.740386E+9
950.41	0.52	0.100594	0.122085	-0.018567	0	-0.018595	-0.212787	0.097885	1.740387E+9
918.26	0.5	0.102904	0.12638	-0.018467	0	-0.019215	-0.212787	0.097939	1.740388E+9
886.1	0.48	0.104639	0.119311	-0.018982	0	-0.018846	-0.212787	0.098083	1.740389E+9
853.93	0.46	0.106013	0.110331	-0.018927	0	-0.018767	-0.212787	0.098014	1.74039E+9
821.76	0.44	0.101712	0.113853	-0.019105	0	-0.019087	-0.212787	0.09807	1.740391E+9
789.57	0.42	0.110744	0.09731	-0.018773	0	-0.01914	-0.212787	0.098025	1.740392E+9
757.37	0.4	0.10603	0.079812	-0.019077	0	-0.0188	-0.212787	0.098127	1.740393E+9
725.16	0.38	0.118368	0.071953	-0.019054	0	-0.019168	-0.212787	0.098	1.740394E+9
692.94	0.36	0.119636	0.079617	-0.01837	0	-0.018992	-0.212787	0.098008	1.740395E+9
660.72	0.34	0.110984	0.094496	-0.018693	0	-0.01879	-0.212787	0.097908	1.740396E+9
628.48	0.32	0.108385	0.102079	-0.018213	0	-0.019525	-0.212787	0.098044	1.740397E+9
596.24	0.3	0.11179	0.101819	-0.018864	0	-0.018875	-0.212787	0.097948	1.740398E+9
563.99	0.28	0.115428	0.086923	-0.018931	0	-0.018391	-0.212787	0.097977	1.740399E+9
531.74	0.26	0.114896	0.09142	-0.018297	0	-0.018736	-0.212787	0.097962	1.7404E+9
499.48	0.24	0.115448	0.088691	-0.01852	0	-0.019174	-0.212787	0.097944	1.740401E+9
467.21	0.22	0.117072	0.095354	-0.018747	0	-0.01854	-0.212787	0.098017	1.740402E+9
434.94	0.2	0.112387	0.093544	-0.018584	0	-0.018415	-0.212787	0.097987	1.740403E+9
402.66	0.18	0.108278	0.099675	-0.018728	0	-0.01825	-0.212787	0.098041	1.740404E+9
370.38	0.16	0.109272	0.113895	-0.018953	0	-0.018572	-0.212787	0.097974	1.740405E+9
338.1	0.14	0.106608	0.121647	-0.017872	0	-0.01908	-0.212787	0.097979	1.740406E+9
305.81	0.12	0.09946	0.125594	-0.01835	0	-0.019206	-0.212787	0.09791	1.740407E+9
273.52	0.1	0.103755	0.124337	-0.019169	0	-0.018691	-0.212787	0.098029	1.740408E+9
241.22	0.08	0.102072	0.128437	-0.018827	0	-0.019572	-0.212787	0.097923	1.740409E+9
208.93	0.06	0.109473	0.114863	-0.018606	0	-0.019298	-0.212787	0.097923	1.74041E+9
176.63	0.04	0.109025	0.114571	-0.01916	0	-0.018904	-0.212787	0.098015	1.740411E+9
144.33	0.02	0.109093	0.108885	-0.019128	0	-0.018777	-0.212787	0.097983	1.740412E+9
112.03	0	0.108648	0.10884	-0.019004	0	-0.019006	-0.212787	0.097807	1.740413E+9
79.73	-0.02	0.106393	0.09924	-0.019368	0	-0.018999	-0.212787	0.098054	1.740414E+9
47.42	-0.04	0.106761	0.096517	-0.019504	0	-0.018772	-0.212787	0.098005	1.740415E+9
15.12	-0.06	0.112186	0.09924	-0.018547	0	-0.018972	-0.212787	0.097983	1.740416E+9
-17.18	-0.08	0.112319	0.092092	-0.018884	0	-0.018799	-0.212787	0.098014	1.740417E+9
-49.47	-0.1	0.111601	0.091728	-0.019228	0	-0.019413	-0.212787	0.097975	1.740418E+9
-81.77	-0.12	0.108154	0.096943	-0.019198	0	-0.018217	-0.212787	0.098041	1.740419E+9
-114.07	-0.14	0.111653	0.100909	-0.01884	0	-0.018676	-0.212787	0.09782	1.74042E+9
-146.36	-0.16	0.105454	0.10972	-0.020111	0	-0.018862	-0.212787	0.097934	1.740421E+9
-178.65	-0.18	0.097605	0.132137	-0.019748	0	-0.018889	-0.212787	0.097842	1.740422E+9
-210.93	-0.2	0.101826	0.139115	-0.020148	0	-0.019137	-0.212787	0.097957	1.740423E+9
-243.22	-0.22	0.105542	0.126906	-0.019616	0	-0.019306	-0.212787	0.097844	1.740424E+9
-275.49	-0.24	0.112478	0.113239	-0.01967	0	-0.019292	-0.212787	0.097942	1.740425E+9
-307.77	-0.26	0.112988	0.110207	-0.019565	0	-0.018845	-0.212787	0.098062	1.740426E+9
-340.03	-0.28	0.108544	0.105364	-0.019762	0	-0.019551	-0.212787	0.098025	1.740427E+9
-372.3	-0.3	0.108125	0.113239	-0.020265	0	-0.019419	-0.212787	0.097966	1.740428E+9
-404.55	-0.32	0.11215	0.12459	-0.019967	0	-0.019146	-0.212787	0.097777	1.740429E+9
-436.8	-0.34	0.110822	0.119268	-0.019902	0	-0.019472	-0.212787	0.097974	1.74043E+9
-469.04	-0.36	0.10333	0.130269	-0.020214	0	-0.019168	-0.212787	0.097999	1.740431E+9
-501.28	-0.38	0.10462	0.128566	-0.019887	0	-0.019161	-0.212787	0.097938	1.740432E+9
-533.51	-0.4	0.105906	0.123385	-0.019842	0	-0.019133	-0.212787	0.097879	1.740433E+9
-565.73	-0.42	0.114749	0.106994	-0.0201	0	-0.019436	-0.212787	0.097878	1.740434E+9
-597.94	-0.44	0.112547	0.097566	-0.019904	0	-0.019965	-0.212787	0.097841	1.740435E+9
-630.14	-0.46	0.111725	0.102475	-0.019209	0	-0.018802	-0.212787	0.098066	1.740436E+9
