05/05/2022	16:14

Co88Tb12_20210514_CVMH2

Field	Kepco	Channel A	Channel B	Agilent	0	RF out	Monitor+	Monitor-	Time
8265.94	7	-0.055091	1.095777	-0.007511	0	-0.007325	-0.212787	0.053244	1.744161E+9
8204.61	6.8	-0.071884	1.089061	-0.006921	0	-0.006693	-0.212787	0.053553	1.744162E+9
8128.37	6.6	-0.069295	1.077687	-0.006689	0	-0.00756	-0.212787	0.053537	1.744163E+9
8037.67	6.4	-0.056508	1.078155	-0.006709	0	-0.006797	-0.212787	0.053499	1.744164E+9
7932.95	6.2	-0.065861	1.067613	-0.007188	0	-0.006906	-0.212787	0.053414	1.744165E+9
7814.63	6	-0.070809	1.05147	-0.006251	0	-0.007228	-0.212787	0.053192	1.744166E+9
7683.15	5.8	-0.070907	1.06028	-0.007697	0	-0.008079	-0.212787	0.053583	1.744167E+9
7538.96	5.6	-0.064302	1.035749	-0.006745	0	-0.006494	-0.212787	0.053498	1.744168E+9
7382.49	5.4	-0.08181	1.045388	-0.006075	0	-0.006848	-0.212787	0.053275	1.744169E+9
7214.18	5.2	-0.077472	1.062408	-0.006169	0	-0.006794	-0.212787	0.053575	1.74417E+9
7034.46	5	-0.083015	1.05415	-0.006723	0	-0.007702	-0.212787	0.053238	1.744171E+9
6843.76	4.8	-0.080815	1.054611	-0.00266	0	-0.0086	-0.212787	0.053487	1.744172E+9
6642.54	4.6	-0.098603	1.061109	-0.00618	0	-0.006122	-0.212787	0.053246	1.744173E+9
6431.22	4.4	-0.096803	1.067249	-0.006414	0	-0.007164	-0.212787	0.053384	1.744174E+9
6210.24	4.2	-0.097193	1.052408	-0.005625	0	-0.00754	-0.212787	0.053312	1.744175E+9
5980.04	4	-0.090617	1.056015	-0.006677	0	-0.006155	-0.212787	0.053342	1.744176E+9
5741.05	3.8	-0.101692	1.051967	-0.006394	0	-0.005801	-0.212787	0.053606	1.744177E+9
5493.71	3.6	-0.12048	1.04632	-0.007863	0	-0.006323	-0.212787	0.053265	1.744178E+9
5238.46	3.4	-0.12126	1.049023	-0.007629	0	-0.005811	-0.212787	0.053564	1.744179E+9
4975.74	3.2	-0.117134	1.032532	-0.006746	0	-0.007211	-0.212787	0.053539	1.74418E+9
4705.98	3	-0.119262	1.020427	-0.007466	0	-0.007209	-0.212787	0.053349	1.744181E+9
4429.62	2.8	-0.125844	1.015041	-0.00703	0	-0.007461	-0.212787	0.053378	1.744182E+9
4147.09	2.6	-0.130295	1.029914	-0.008295	0	-0.007057	-0.212787	0.053603	1.744183E+9
3858.83	2.4	-0.128901	1.006659	-0.006342	0	-0.007736	-0.212787	0.053565	1.744184E+9
3565.29	2.2	-0.137864	1.007594	-0.00814	0	-0.007421	-0.212787	0.053622	1.744185E+9
3266.89	2	-0.130441	1.007081	-0.009237	0	-0.008683	-0.212787	0.053444	1.744186E+9
2964.07	1.8	-0.121357	1.010255	-0.007864	0	-0.00828	-0.212787	0.053381	1.744187E+9
2657.27	1.6	-0.146022	0.992994	-0.00745	0	-0.007629	-0.212787	0.053354	1.744188E+9
2346.93	1.4	-0.140996	0.989557	-0.008047	0	-0.008609	-0.212787	0.053364	1.744189E+9
2033.48	1.2	-0.139898	0.993287	-0.008573	0	-0.008272	-0.212787	0.053361	1.74419E+9
1717.37	1	-0.130379	0.998001	-0.008177	0	-0.00963	-0.212787	0.053683	1.744191E+9
1399.02	0.8	-0.136246	0.987959	-0.008889	0	-0.008658	-0.212787	0.0536	1.744192E+9
1078.87	0.6	-0.12126	0.997757	-0.008354	0	-0.008703	-0.212787	0.053661	1.744193E+9
