05/05/2022	15:40

Co88Tb12_20210514_CVMH2

Field	Kepco	Channel A	Channel B	Agilent	0	RF out	Monitor+	Monitor-	Time
5980.04	4	0.155596	-0.023292	-0.075965	0	-0.07653	-0.212787	0.100854	1.741832E+9
5679.98	3.75	0.145457	-0.024195	-0.076537	0	-0.076703	-0.212787	0.100814	1.741832E+9
5367.05	3.5	0.14149	-0.023763	-0.076371	0	-0.07609	-0.212787	0.100897	1.741833E+9
5042.1	3.25	0.140665	-0.027516	-0.076539	0	-0.076666	-0.212787	0.100974	1.741834E+9
4705.98	3	0.137215	-0.026791	-0.076752	0	-0.076607	-0.212787	0.100625	1.741835E+9
4359.54	2.75	0.138638	-0.025618	-0.076876	0	-0.07702	-0.212787	0.100453	1.741836E+9
4003.65	2.5	0.13469	-0.025086	-0.07649	0	-0.076894	-0.212787	0.100274	1.741837E+9
3639.15	2.25	0.132556	-0.026421	-0.076491	0	-0.076842	-0.212787	0.100357	1.741838E+9
3266.89	2	0.130672	-0.026096	-0.076031	0	-0.076873	-0.212787	0.101029	1.741839E+9
3236.8	1.98	0.130675	-0.026778	-0.076519	0	-0.077329	-0.212787	0.10083	1.74184E+9
3206.66	1.96	0.12919	-0.025189	-0.077188	0	-0.076885	-0.212787	0.100858	1.741841E+9
3176.49	1.94	0.129678	-0.027025	-0.076285	0	-0.077116	-0.212787	0.100989	1.741842E+9
3146.27	1.92	0.13202	-0.025488	-0.076624	0	-0.077377	-0.212787	0.100909	1.741843E+9
3116	1.9	0.130763	-0.028474	-0.077868	0	-0.077409	-0.212787	0.10096	1.741844E+9
3085.7	1.88	0.129141	-0.027246	-0.077563	0	-0.077098	-0.212787	0.100694	1.741845E+9
3055.35	1.86	0.129671	-0.028052	-0.077243	0	-0.077063	-0.212787	0.100673	1.741846E+9
3024.97	1.84	0.129898	-0.027785	-0.077028	0	-0.077588	-0.212787	0.100563	1.741847E+9
2994.54	1.82	0.129213	-0.026762	-0.07719	0	-0.076676	-0.212787	0.1007	1.741848E+9
2964.07	1.8	0.127368	-0.028136	-0.076608	0	-0.077007	-0.212787	0.100518	1.741849E+9
2933.56	1.78	0.128703	-0.028234	-0.077239	0	-0.076993	-0.212787	0.100853	1.74185E+9
2903.01	1.76	0.128534	-0.026759	-0.076821	0	-0.076813	-0.212787	0.100996	1.741851E+9
2872.43	1.74	0.129116	-0.02889	-0.077639	0	-0.077151	-0.212787	0.100686	1.741852E+9
2841.8	1.72	0.127647	-0.028308	-0.076819	0	-0.07646	-0.212787	0.101102	1.741853E+9
2811.14	1.7	0.13061	-0.029202	-0.076748	0	-0.076842	-0.212787	0.101198	1.741854E+9
2780.44	1.68	0.128813	-0.028818	-0.077004	0	-0.076593	-0.212787	0.100852	1.741855E+9
2749.7	1.66	0.131006	-0.026973	-0.077006	0	-0.076605	-0.212787	0.100605	1.741856E+9
2718.93	1.64	0.12973	-0.029663	-0.076765	0	-0.076118	-0.212787	0.100847	1.741857E+9
2688.12	1.62	0.126845	-0.026021	-0.07703	0	-0.076804	-0.212787	0.100459	1.741858E+9
2657.27	1.6	0.127637	-0.028643	-0.077289	0	-0.076863	-0.212787	0.100705	1.741859E+9
2626.39	1.58	0.126838	-0.029309	-0.077317	0	-0.076558	-0.212787	0.100737	1.74186E+9
2595.47	1.56	0.128589	-0.028	-0.077242	0	-0.07667	-0.212787	0.10054	1.741861E+9
2564.52	1.54	0.131156	-0.028682	-0.076856	0	-0.076888	-0.212787	0.100719	1.741862E+9
2533.54	1.52	0.128859	-0.028802	-0.076865	0	-0.077262	-0.212787	0.101069	1.741863E+9
2502.52	1.5	0.128235	-0.028669	-0.076794	0	-0.07675	-0.212787	0.101012	1.741864E+9
2471.46	1.48	0.128911	-0.027477	-0.077141	0	-0.077179	-0.212787	0.101119	1.741865E+9
2440.38	1.46	0.124863	-0.02875	-0.077162	0	-0.076876	-0.212787	0.100849	1.741866E+9
2409.26	1.44	0.125587	-0.029696	-0.076792	0	-0.077242	-0.212787	0.101277	1.741867E+9
2378.11	1.42	0.125116	-0.03057	-0.076945	0	-0.077239	-0.212787	0.101188	1.741868E+9
2346.93	1.4	0.124622	-0.030053	-0.077067	0	-0.076951	-0.212787	0.101116	1.741869E+9
2315.72	1.38	0.121845	-0.030446	-0.077616	0	-0.077555	-0.212787	0.101181	1.74187E+9
2284.48	1.36	0.125779	-0.029657	-0.077873	0	-0.077003	-0.212787	0.100887	1.741871E+9
2253.2	1.34	0.12509	-0.031785	-0.07737	0	-0.077474	-0.212787	0.100923	1.741872E+9
2221.9	1.32	0.125886	-0.030833	-0.077666	0	-0.07756	-0.212787	0.100902	1.741873E+9
2190.57	1.3	0.123544	-0.027896	-0.077835	0	-0.077165	-0.212787	0.100601	1.741874E+9
2159.21	1.28	0.124044	-0.031876	-0.077912	0	-0.077712	-0.212787	0.101295	1.741875E+9
2127.82	1.26	0.123625	-0.02736	-0.077514	0	-0.077475	-0.212787	0.10099	1.741876E+9
2096.4	1.24	0.122238	-0.029043	-0.078012	0	-0.07813	-0.212787	0.10061	1.741877E+9
2064.96	1.22	0.125509	-0.029731	-0.078235	0	-0.077856	-0.212787	0.100869	1.741878E+9
2033.48	1.2	0.122365	-0.028325	-0.078478	0	-0.07829	-0.212787	0.101336	1.741879E+9
2001.99	1.18	0.120448	-0.029968	-0.078244	0	-0.077649	-0.212787	0.100588	1.74188E+9
1970.46	1.16	0.123326	-0.028152	-0.077657	0	-0.077869	-0.212787	0.101322	1.741881E+9
