05/05/2022	16:30

Co88Tb12_20210519_CVEJ3

Field	Kepco	Channel A	Channel B	Agilent	0	RF out	Monitor+	Monitor-	Time
8265.94	7	0.096842	0.3183	-0.002368	0	-0.003361	-0.212787	0.048636	1.74513E+9
8204.61	6.8	0.096439	0.306841	-0.002702	0	-0.002489	-0.212787	0.048539	1.745131E+9
8128.37	6.6	0.094727	0.304934	-0.001874	0	-0.002662	-0.212787	0.048499	1.745132E+9
8037.67	6.4	0.088678	0.300074	-0.003002	0	-0.003393	-0.212787	0.048703	1.745133E+9
7932.95	6.2	0.081238	0.292553	-0.002836	0	-0.003116	-0.212787	0.048589	1.745134E+9
7814.63	6	0.073155	0.285815	-0.003085	0	-0.003118	-0.212787	0.048461	1.745135E+9
7683.15	5.8	0.063119	0.278473	-0.001934	0	-0.001965	-0.212787	0.048507	1.745136E+9
7538.96	5.6	0.057531	0.274207	-0.001029	0	-0.002992	-0.212787	0.048465	1.745137E+9
7382.49	5.4	0.062167	0.265952	-0.002601	0	-0.002481	-0.212787	0.04851	1.745138E+9
7214.18	5.2	0.050832	0.256095	-0.002157	0	-0.002446	-0.212787	0.048558	1.745139E+9
7034.46	5	0.043019	0.25064	-0.002599	0	-0.002746	-0.212787	0.048441	1.74514E+9
6843.76	4.8	0.036343	0.243051	-0.002122	0	-0.002291	-0.212787	0.04846	1.745141E+9
6642.54	4.6	0.030589	0.239429	-0.003063	0	-0.00162	-0.212787	0.048532	1.745142E+9
6431.22	4.4	0.022597	0.234955	-0.002384	0	-0.002074	-0.212787	0.048577	1.745143E+9
6210.24	4.2	0.022756	0.222798	-0.001926	0	-0.003116	-0.212787	0.048473	1.745144E+9
5980.04	4	0.014615	0.219081	-0.0022	0	-0.001234	-0.212787	0.048727	1.745145E+9
5741.05	3.8	0.00787	0.218789	-0.001641	0	-0.002596	-0.212787	0.048494	1.745146E+9
5493.71	3.6	0.000716	0.21657	-0.002598	0	-0.001851	-0.212787	0.048581	1.745147E+9
5238.46	3.4	-0.002851	0.212623	-0.002003	0	-0.00296	-0.212787	0.048567	1.745148E+9
4975.74	3.2	-0.006834	0.202291	-0.002814	0	-0.002134	-0.212787	0.048547	1.745149E+9
4705.98	3	-0.003315	0.195995	-0.002255	0	-0.002099	-0.212787	0.048592	1.74515E+9
4429.62	2.8	-0.013497	0.186132	-0.002789	0	-0.002391	-0.212787	0.048576	1.745151E+9
4147.09	2.6	-0.012747	0.180768	-0.003031	0	-0.002578	-0.212787	0.048641	1.745152E+9
3858.83	2.4	-0.018776	0.175112	-0.001754	0	-0.002029	-0.212787	0.048792	1.745153E+9
3565.29	2.2	-0.024962	0.173712	-0.002476	0	-0.001416	-0.212787	0.048608	1.745154E+9
3266.89	2	-0.026145	0.172341	-0.002076	0	-0.002027	-0.212787	0.048634	1.745155E+9
2964.07	1.8	-0.032925	0.170281	-0.002591	0	-0.002614	-0.212787	0.048885	1.745156E+9
2657.27	1.6	-0.031554	0.169004	-0.003421	0	-0.00339	-0.212787	0.048692	1.745157E+9
2346.93	1.4	-0.034497	0.16544	-0.003352	0	-0.002942	-0.212787	0.048595	1.745158E+9
2033.48	1.2	-0.03734	0.163114	-0.002605	0	-0.002188	-0.212787	0.048807	1.745159E+9
1717.37	1	-0.03196	0.17453	-0.003084	0	-0.003172	-0.212787	0.048652	1.74516E+9
1399.02	0.8	-0.033753	0.175862	-0.002348	0	-0.002124	-0.212787	0.048706	1.745161E+9
1078.87	0.6	-0.032009	0.17262	-0.003581	0	-0.003004	-0.212787	0.048818	1.745162E+9
757.37	0.4	-0.034091	0.177558	-0.003284	0	-0.002695	-0.212787	0.048591	1.745163E+9
434.94	0.2	-0.031255	0.182805	-0.002926	0	-0.002227	-0.212787	0.048764	1.745164E+9
112.03	0	-0.024468	0.184199	-0.003389	0	-0.002892	-0.212787	0.048626	1.745165E+9
-210.93	-0.2	-0.007367	0.201505	-0.002553	0	-0.002869	-0.212787	0.048601	1.745166E+9
-533.51	-0.4	0.012289	0.232791	-0.002077	0	-0.001916	-0.212787	0.048789	1.745167E+9
-855.25	-0.6	0.026047	0.239536	-0.001815	0	-0.00288	-0.212787	0.048834	1.745168E+9
-1175.74	-0.8	0.035011	0.249948	-0.002215	0	-0.001743	-0.212787	0.048657	1.745169E+9
-1494.53	-1	0.04556	0.256478	-0.002185	0	-0.002336	-0.212787	0.048635	1.74517E+9
-1811.18	-1.2	0.05682	0.262566	-0.002314	0	-0.001311	-0.212787	0.048674	1.745171E+9
-2125.26	-1.4	0.059854	0.266621	-0.00121	0	-0.002704	-0.212787	0.048694	1.745172E+9
-2436.33	-1.6	0.066274	0.281601	-0.001404	0	-0.001204	-0.212787	0.04873	1.745173E+9
-2743.95	-1.8	0.076534	0.285009	-0.002679	0	-0.002754	-0.212787	0.048902	1.745174E+9
-3047.69	-2	0.087807	0.294944	-0.002685	0	-0.001962	-0.212787	0.048628	1.745175E+9
-3347.11	-2.2	0.0937	0.3061	-0.001566	0	-0.002217	-0.212787	0.048678	1.745176E+9
-3641.77	-2.4	0.101361	0.314797	-0.001641	0	-0.001671	-0.212787	0.048812	1.745177E+9
-3931.24	-2.6	0.110822	0.324424	-0.001971	0	-0.002085	-0.212787	0.04866	1.745178E+9
-4215.08	-2.8	0.115698	0.329787	-0.002005	0	-0.00106	-0.212787	0.048691	1.745179E+9
-4492.85	-3	0.121624	0.338338	-0.001921	0	-0.002535	-0.212787	0.04871	1.74518E+9
-4764.12	-3.2	0.126149	0.349118	-0.001633	0	-0.001834	-0.212787	0.048711	1.745181E+9
-5028.44	-3.4	0.137536	0.353923	-0.00136	0	-0.001025	-0.212787	0.048753	1.745182E+9
-5285.39	-3.6	0.145434	0.359014	-0.001789	0	-0.000923	-0.212787	0.048535	1.745183E+9
-5534.53	-3.8	0.155008	0.362597	-0.001377	0	-0.001289	-0.212787	0.048525	1.745184E+9
-5775.41	-4	0.158049	0.371197	-0.000845	0	-0.001138	-0.212787	0.048708	1.745185E+9
-6007.6	-4.2	0.16227	0.378399	-0.001715	0	-0.001622	-0.212787	0.048488	1.745186E+9
-6230.67	-4.4	0.169748	0.384153	-0.002471	0	-0.000442	-0.212787	0.048577	1.745187E+9
-6444.17	-4.6	0.174189	0.389585	-0.001765	0	-0.002002	-0.212787	0.048729	1.745188E+9
-6647.68	-4.8	0.177766	0.395267	-0.001895	0	-0.001237	-0.212787	0.048697	1.745189E+9
-6840.75	-5	0.185239	0.396394	-0.001669	0	-0.001797	-0.212787	0.048458	1.74519E+9
-7022.95	-5.2	0.188244	0.399292	-0.001438	0	-0.001552	-0.212787	0.04863	1.745191E+9
-7193.84	-5.4	0.196697	0.401872	-0.000889	0	-0.001524	-0.212787	0.048537	1.745192E+9
-7352.98	-5.6	0.199884	0.409406	-0.002419	0	-0.001763	-0.212787	0.04839	1.745193E+9
-7499.94	-5.8	0.203861	0.415812	-0.001386	0	-0.001215	-0.212787	0.048479	1.745194E+9
-7634.28	-6	0.200423	0.414302	-0.000717	0	-0.001146	-0.212787	0.048437	1.745195E+9
-7755.56	-6.2	0.20914	0.418668	-0.001403	0	-0.00124	-0.212787	0.04854	1.745196E+9
-7863.34	-6.4	0.214595	0.424146	-0.000779	0	-0.001306	-0.212787	0.048462	1.745197E+9
-7957.2	-6.6	0.212915	0.42756	-0.001135	0	-0.001204	-0.212787	0.048403	1.745198E+9
-8036.69	-6.8	0.216602	0.425494	-0.001795	0	-0.002132	-0.212787	0.048423	1.745199E+9
-8101.38	-7	0.220218	0.431478	-0.001506	0	-0.000909	-0.212787	0.048481	1.7452E+9
-8036.69	-6.8	0.214458	0.424311	-0.000672	0	-0.000951	-0.212787	0.048443	1.745201E+9
-7957.2	-6.6	0.216297	0.420393	-0.001417	0	-0.001001	-0.212787	0.048393	1.745202E+9
-7863.34	-6.4	0.212759	0.421673	-0.001782	0	-0.000721	-0.212787	0.04844	1.745203E+9
-7755.56	-6.2	0.212944	0.422602	-0.000696	0	-0.00116	-0.212787	0.048441	1.745204E+9
-7634.28	-6	0.208035	0.416157	-0.001168	0	-0.001371	-0.212787	0.048565	1.745205E+9
-7499.94	-5.8	0.200215	0.412992	-0.001913	0	-0.001294	-0.212787	0.048435	1.745206E+9
-7352.98	-5.6	0.196778	0.409256	-0.000486	0	-0.001027	-0.212787	0.048436	1.745207E+9
-7193.84	-5.4	0.194559	0.406673	-0.001363	0	-0.000614	-0.212787	0.048525	1.745208E+9
-7022.95	-5.2	0.189352	0.406758	-0.00133	0	-0.001206	-0.212787	0.048582	1.745209E+9
-6840.75	-5	0.181415	0.399721	-0.000439	0	-0.000694	-0.212787	0.048529	1.74521E+9
-6647.68	-4.8	0.176948	0.395338	-0.000351	0	-0.00203	-0.212787	0.04846	1.745211E+9
-6444.17	-4.6	0.172597	0.392031	-0.001404	0	-0.001925	-0.212787	0.048468	1.745212E+9
-6230.67	-4.4	0.166152	0.379676	-0.00098	0	-0.000867	-0.212787	0.04847	1.745213E+9
-6007.6	-4.2	0.162146	0.374546	-0.001156	0	-0.000844	-0.212787	0.048553	1.745214E+9
-5775.41	-4	0.165096	0.372236	-0.001492	0	-0.001426	-0.212787	0.048621	1.745215E+9
-5534.53	-3.8	0.152016	0.362191	-0.00109	0	-0.001297	-0.212787	0.048663	1.745216E+9
-5285.39	-3.6	0.143816	0.350745	-0.001142	0	-0.001288	-0.212787	0.048538	1.745217E+9
-5028.44	-3.4	0.13587	0.3402	-0.001684	0	-0.002094	-0.212787	0.04852	1.745218E+9
-4764.12	-3.2	0.127429	0.332396	-0.001253	0	-0.002267	-0.212787	0.048489	1.745219E+9
-4492.85	-3	0.119674	0.321496	-0.001568	0	-0.001977	-0.212787	0.048628	1.74522E+9
-4215.08	-2.8	0.111682	0.30906	-0.002261	0	-0.00151	-0.212787	0.04852	1.745221E+9
-3931.24	-2.6	0.107543	0.301126	-0.002598	0	-0.001137	-0.212787	0.048621	1.745222E+9
-3641.77	-2.4	0.099178	0.296386	-0.001232	0	-0.002246	-0.212787	0.04859	1.745223E+9
-3347.11	-2.2	0.093151	0.288115	-0.002088	0	-0.00122	-0.212787	0.048584	1.745224E+9
-3047.69	-2	0.084659	0.282732	-0.001452	0	-0.001823	-0.212787	0.04854	1.745225E+9
-2743.95	-1.8	0.080816	0.275263	-0.001725	0	-0.001263	-0.212787	0.04875	1.745226E+9
-2436.33	-1.6	0.071518	0.269123	-0.001667	0	-0.001487	-0.212787	0.048564	1.745227E+9
-2125.26	-1.4	0.070062	0.256884	-0.002111	0	-0.001398	-0.212787	0.048506	1.745228E+9
-1811.18	-1.2	0.058409	0.245436	-0.002153	0	-0.000833	-0.212787	0.048742	1.745229E+9
-1494.53	-1	0.05579	0.24794	-0.000955	0	-0.001674	-0.212787	0.048569	1.74523E+9
-1175.74	-0.8	0.049611	0.237096	-0.001556	0	-0.002106	-0.212787	0.048737	1.745231E+9
-855.25	-0.6	0.039322	0.235442	-0.001759	0	-0.001661	-0.212787	0.048619	1.745232E+9
-533.51	-0.4	0.030446	0.220888	-0.001699	0	-0.001612	-0.212787	0.048609	1.745233E+9
-210.93	-0.2	0.01904	0.204676	-0.001864	0	-0.002131	-0.212787	0.048768	1.745234E+9
112.03	0	-0.002022	0.182185	-0.001951	0	-0.001869	-0.212787	0.048752	1.745235E+9
434.94	0.2	-0.017574	0.169459	-0.001721	0	-0.001333	-0.212787	0.048662	1.745236E+9
757.37	0.4	-0.022376	0.167286	-0.00166	0	-0.000675	-0.212787	0.048809	1.745237E+9
1078.87	0.6	-0.027571	0.162936	-0.002149	0	-0.001341	-0.212787	0.048652	1.745238E+9
1399.02	0.8	-0.025901	0.159105	-0.001983	0	-0.001273	-0.212787	0.048669	1.745239E+9
1717.37	1	-0.031122	0.160096	-0.001101	0	-0.001121	-0.212787	0.048565	1.74524E+9
2033.48	1.2	-0.027158	0.160375	-0.001597	0	-0.001308	-0.212787	0.048636	1.745241E+9
2346.93	1.4	-0.027239	0.159157	-0.00177	0	-0.000711	-0.212787	0.048572	1.745242E+9
2657.27	1.6	-0.029826	0.161668	-0.001441	0	0.00031	-0.212787	0.048557	1.745243E+9
2964.07	1.8	-0.028039	0.164125	0.00018	0	-0.00035	-0.212787	0.048601	1.745244E+9
