06/05/2022	11:05

Co88Tb12_35_20210602_CVMH4

Field	Kepco	Channel A	Channel B	Agilent	0	RF out	Monitor+	Monitor-	Time
8265.94	7	-6.750596	-1.673156	0.001324	0	0.000878	-0.212787	0.037686	1.812002E+9
8204.61	6.8	-6.756122	-1.684917	0.001752	0	0.000918	-0.212787	0.037711	1.812002E+9
8128.37	6.6	-6.751938	-1.680921	0.001572	0	0.000898	-0.212787	0.037622	1.812003E+9
8037.67	6.4	-6.714232	-1.673936	0.001573	0	0.001111	-0.212787	0.037753	1.812004E+9
7932.95	6.2	-6.700109	-1.676636	0.001695	0	0.001115	-0.212787	0.03768	1.812005E+9
7814.63	6	-6.666269	-1.681882	0.000984	0	0.000859	-0.212787	0.037661	1.812006E+9
7683.15	5.8	-6.638138	-1.658124	0.000669	0	0.000728	-0.212787	0.037546	1.812007E+9
7538.96	5.6	-6.652325	-1.659011	0.000789	0	0.000834	-0.212787	0.037501	1.812008E+9
7382.49	5.4	-6.64843	-1.695391	0.000523	0	0.00121	-0.212787	0.037697	1.812009E+9
7214.18	5.2	-6.680866	-1.674537	0.000705	0	0.001077	-0.212787	0.037767	1.81201E+9
7034.46	5	-6.665961	-1.678517	0.000363	0	0.001093	-0.212787	0.037565	1.812011E+9
6843.76	4.8	-6.666068	-1.673098	0.000524	0	0.000807	-0.212787	0.03776	1.812012E+9
6642.54	4.6	-6.645389	-1.660645	0.000833	0	0.000649	-0.212787	0.03774	1.812013E+9
6431.22	4.4	-6.665691	-1.66674	0.000601	0	0.000867	-0.212787	0.037808	1.812014E+9
6210.24	4.2	-6.673638	-1.674378	0.000651	0	0.000921	-0.212787	0.037835	1.812015E+9
5980.04	4	-6.665879	-1.669313	0.000784	0	0.00065	-0.212787	0.037776	1.812016E+9
5741.05	3.8	-6.641575	-1.69298	0.000663	0	0.000699	-0.212787	0.037858	1.812017E+9
5493.71	3.6	-6.644044	-1.681908	0.000614	0	0.000715	-0.212787	0.037877	1.812018E+9
5238.46	3.4	-6.635045	-1.673582	0.000946	0	0.000789	-0.212787	0.037699	1.812019E+9
4975.74	3.2	-6.646357	-1.664758	0.000913	0	0.000575	-0.212787	0.037788	1.81202E+9
4705.98	3	-6.617816	-1.689891	0.000124	0	0.000783	-0.212787	0.037935	1.812021E+9
