06/05/2022	10:54

Co88Tb12_35_20210602_CVMH4

Field	Kepco	Channel A	Channel B	Agilent	0	RF out	Monitor+	Monitor-	Time
8265.94	7	-3.633663	-0.654544	0.001932	0	0.003169	-0.212787	0.068929	1.811378E+9
8204.61	6.8	-3.637324	-0.655395	0.002727	0	0.002365	-0.212787	0.070048	1.811378E+9
8128.37	6.6	-3.639309	-0.655343	0.002216	0	0.002403	-0.212787	0.069431	1.811379E+9
8037.67	6.4	-3.639755	-0.654566	0.002731	0	0.002351	-0.212787	0.070311	1.81138E+9
7932.95	6.2	-3.641606	-0.65496	0.001948	0	0.002996	-0.212787	0.06879	1.811381E+9
7814.63	6	-3.644787	-0.655843	0.001842	0	0.002921	-0.212787	0.068989	1.811382E+9
7683.15	5.8	-3.645586	-0.657643	0.00197	0	0.002732	-0.212787	0.069378	1.811383E+9
7538.96	5.6	-3.646827	-0.656249	0.001776	0	0.003108	-0.212787	0.069003	1.811384E+9
7382.49	5.4	-3.648091	-0.655242	0.001917	0	0.002309	-0.212787	0.069125	1.811385E+9
7214.18	5.2	-3.649891	-0.657282	0.002858	0	0.002492	-0.212787	0.069364	1.811386E+9
7034.46	5	-3.651577	-0.656785	0.002321	0	0.002812	-0.212787	0.068937	1.811387E+9
6843.76	4.8	-3.65159	-0.658475	0.002573	0	0.002557	-0.212787	0.07011	1.811388E+9
6642.54	4.6	-3.652558	-0.658134	0.002855	0	0.002839	-0.212787	0.069926	1.811389E+9
6431.22	4.4	-3.653523	-0.657715	0.003259	0	0.003269	-0.212787	0.069719	1.81139E+9
6210.24	4.2	-3.654202	-0.657178	0.003584	0	0.002302	-0.212787	0.07033	1.811391E+9
5980.04	4	-3.65339	-0.660236	0.003257	0	0.002679	-0.212787	0.069344	1.811392E+9
5741.05	3.8	-3.655466	-0.658533	0.002902	0	0.002724	-0.212787	0.069289	1.811393E+9
5493.71	3.6	-3.654023	-0.65701	0.003553	0	0.002854	-0.212787	0.069807	1.811394E+9
