06/05/2022	11:20

Co88Tb12_35_20210602_CVMH5

Field	Kepco	Channel A	Channel B	Agilent	0	RF out	Monitor+	Monitor-	Time
8265.94	7	-1.454983	-0.672513	-0.000692	0	-0.001238	-0.212787	0.040483	1.812939E+9
8204.61	6.8	-1.470285	-0.651785	-0.000884	0	-0.001038	-0.212787	0.040412	1.81294E+9
8128.37	6.6	-1.444938	-0.687578	-0.001281	0	-0.00094	-0.212787	0.040444	1.812941E+9
8037.67	6.4	-1.414519	-0.665213	-0.000485	0	-0.000695	-0.212787	0.040482	1.812942E+9
7932.95	6.2	-1.399935	-0.667032	-0.000585	0	-0.00126	-0.212787	0.040434	1.812943E+9
7814.63	6	-1.400946	-0.674901	-0.001169	0	-0.001361	-0.212787	0.040515	1.812944E+9
7683.15	5.8	-1.414133	-0.679342	-0.001374	0	-0.001003	-0.212787	0.04044	1.812945E+9
7538.96	5.6	-1.41652	-0.674384	-0.001201	0	-0.00069	-0.212787	0.040494	1.812946E+9
7382.49	5.4	-1.388454	-0.685729	-0.000929	0	-0.001095	-0.212787	0.040549	1.812947E+9
7214.18	5.2	-1.377304	-0.666684	-0.000601	0	-0.00114	-0.212787	0.040535	1.812948E+9
7034.46	5	-1.354407	-0.673656	-0.001315	0	-0.001437	-0.212787	0.040469	1.812949E+9
6843.76	4.8	-1.327136	-0.649947	-0.001034	0	-0.001306	-0.212787	0.040513	1.81295E+9
6642.54	4.6	-1.305308	-0.666756	-0.000293	0	-0.00102	-0.212787	0.040444	1.812951E+9
6431.22	4.4	-1.324459	-0.64932	-0.002188	0	-0.000948	-0.212787	0.040514	1.812952E+9
6210.24	4.2	-1.312257	-0.667584	-0.001443	0	-0.001554	-0.212787	0.040561	1.812953E+9
5980.04	4	-1.300516	-0.677799	-0.001682	0	-0.001123	-0.212787	0.040533	1.812954E+9
5741.05	3.8	-1.293527	-0.649339	-0.001985	0	-0.000758	-0.212787	0.04052	1.812955E+9
5493.71	3.6	-1.276871	-0.663819	-0.001936	0	-0.00147	-0.212787	0.040528	1.812956E+9
5238.46	3.4	-1.269165	-0.663367	-0.001214	0	-0.001656	-0.212787	0.040496	1.812957E+9
4975.74	3.2	-1.213412	-0.629242	-0.002085	0	-0.001577	-0.212787	0.040548	1.812958E+9
4705.98	3	-1.181437	-0.634112	-0.002408	0	-0.001123	-0.212787	0.040513	1.812959E+9
4429.62	2.8	-1.158322	-0.635658	-0.001701	0	-0.001879	-0.212787	0.040578	1.81296E+9
4147.09	2.6	-1.117988	-0.645668	-0.001655	0	-0.00149	-0.212787	0.040613	1.812961E+9
3858.83	2.4	-1.047957	-0.599321	-0.001643	0	-0.001842	-0.212787	0.040592	1.812962E+9
3565.29	2.2	-0.977945	-0.586416	-0.001963	0	-0.0018	-0.212787	0.040616	1.812963E+9
3266.89	2	-0.911998	-0.592394	-0.001846	0	-0.001947	-0.212787	0.040567	1.812964E+9
2964.07	1.8	-0.831135	-0.579773	-0.00189	0	-0.001551	-0.212787	0.040597	1.812965E+9
2657.27	1.6	-0.777618	-0.579529	-0.001298	0	-0.002059	-0.212787	0.040556	1.812966E+9
2346.93	1.4	-0.721069	-0.554188	-0.001967	0	-0.001562	-0.212787	0.040523	1.812967E+9
2033.48	1.2	-0.615954	-0.544098	-0.002111	0	-0.001729	-0.212787	0.040501	1.812968E+9
1717.37	1	-0.517493	-0.515105	-0.002208	0	-0.00166	-0.212787	0.040569	1.812969E+9
1399.02	0.8	-0.463654	-0.497786	-0.001685	0	-0.001793	-0.212787	0.040596	1.81297E+9
1078.87	0.6	-0.376541	-0.475281	-0.001164	0	-0.002172	-0.212787	0.040555	1.812971E+9
757.37	0.4	-0.292286	-0.466191	-0.002318	0	-0.001826	-0.212787	0.040606	1.812972E+9
434.94	0.2	-0.169267	-0.43705	-0.001758	0	-0.001722	-0.212787	0.040585	1.812973E+9
