26/04/2022	16:28

Co88Tb12

Field	Kepco	Channel A	Channel B	Agilent	0	RF out	Monitor+	Monitor-	Time
7814.63	6	1.761216	1.563689	0.008946	0	0.010886	-0.212787	0.049863	9.674506E+8
7750.51	5.9	1.774559	1.570687	0.009113	0	0.011017	-0.212787	0.050015	9.674512E+8
7683.15	5.8	1.765618	1.587369	0.010493	0	0.01092	-0.212787	0.049912	9.674517E+8
7612.62	5.7	1.741502	1.558673	0.009806	0	0.010638	-0.212787	0.050088	9.674522E+8
7538.96	5.6	1.758468	1.565658	0.008611	0	0.010484	-0.212787	0.050015	9.674527E+8
7462.23	5.5	1.74593	1.547081	0.009716	0	0.00893	-0.212787	0.05002	9.674532E+8
7382.49	5.4	1.752561	1.550486	0.010204	0	0.0113	-0.212787	0.049824	9.674537E+8
7299.79	5.3	1.779078	1.55852	0.011703	0	0.01024	-0.212787	0.050012	9.674542E+8
7214.18	5.2	1.773929	1.56978	0.01071	0	0.012005	-0.212787	0.050066	9.674548E+8
7125.71	5.1	1.780982	1.570982	0.01135	0	0.011283	-0.212787	0.049956	9.674552E+8
7034.46	5	1.768604	1.549907	0.010471	0	0.010507	-0.212787	0.049755	9.674557E+8
6940.45	4.9	1.782509	1.551522	0.01076	0	0.01204	-0.212787	0.05006	9.674562E+8
6843.76	4.8	1.779607	1.552604	0.009983	0	0.012192	-0.212787	0.04984	9.674567E+8
6744.44	4.7	1.77962	1.538173	0.01081	0	0.010458	-0.212787	0.049901	9.674572E+8
6642.54	4.6	1.774348	1.564839	0.011544	0	0.011737	-0.212787	0.050041	9.674577E+8
6538.11	4.5	1.785332	1.54327	0.009539	0	0.012717	-0.212787	0.050053	9.674582E+8
6431.22	4.4	1.792245	1.53482	0.008475	0	0.011161	-0.212787	0.050008	9.674587E+8
6321.91	4.3	1.783977	1.547308	0.011216	0	0.011724	-0.212787	0.049892	9.674592E+8
6210.24	4.2	1.777736	1.541532	0.010467	0	0.01121	-0.212787	0.049936	9.674597E+8
6096.26	4.1	1.762639	1.537166	0.011807	0	0.009868	-0.212787	0.049963	9.674602E+8
5980.04	4	1.77912	1.537117	0.01245	0	0.011211	-0.212787	0.049895	9.674607E+8
5861.61	3.9	1.776703	1.540401	0.010589	0	0.010757	-0.212787	0.049857	9.674612E+8
5741.05	3.8	1.766771	1.546044	0.012176	0	0.009601	-0.212787	0.049806	9.674617E+8
5618.4	3.7	1.755339	1.542952	0.010266	0	0.010672	-0.212787	0.049837	9.674622E+8
5493.71	3.6	1.757863	1.536363	0.009578	0	0.012016	-0.212787	0.049908	9.674627E+8
5367.05	3.5	1.754767	1.534482	0.011766	0	0.010577	-0.212787	0.049906	9.674632E+8
