27/04/2022	10:46

Co88Tb12

Field	Kepco	Channel A	Channel B	Agilent	0	RF out	Monitor+	Monitor-	Time
7814.63	6	-6.164634	0.687704	0.005685	0	0.006463	-0.212787	0.081127	1.033284E+9
7750.51	5.9	-6.149085	0.665285	0.006405	0	0.005408	-0.212787	0.08092	1.033285E+9
7683.15	5.8	-6.181388	0.654343	0.006561	0	0.007585	-0.212787	0.081345	1.033285E+9
7612.62	5.7	-6.168783	0.70759	0.005724	0	0.0053	-0.212787	0.080811	1.033286E+9
7538.96	5.6	-6.150791	0.65124	0.00517	0	0.005145	-0.212787	0.081386	1.033286E+9
7462.23	5.5	-6.146635	0.652981	0.005055	0	0.007241	-0.212787	0.080893	1.033287E+9
7382.49	5.4	-6.148526	0.667585	0.008464	0	0.007732	-0.212787	0.081299	1.033287E+9
7299.79	5.3	-6.148406	0.6976	0.006016	0	0.006714	-0.212787	0.081155	1.033288E+9
7214.18	5.2	-6.140706	0.6648	0.004123	0	0.00514	-0.212787	0.080822	1.033288E+9
7125.71	5.1	-6.143568	0.67506	0.003623	0	0.00282	-0.212787	0.081129	1.033289E+9
7034.46	5	-6.132769	0.684566	0.004207	0	0.004902	-0.212787	0.081182	1.033289E+9
6940.45	4.9	-6.122477	0.654154	0.005049	0	0.003542	-0.212787	0.080916	1.03329E+9
6843.76	4.8	-6.152233	0.662224	0.004711	0	0.005348	-0.212787	0.081374	1.03329E+9
6744.44	4.7	-6.16927	0.678897	0.004613	0	0.004719	-0.212787	0.081229	1.033291E+9
6642.54	4.6	-6.173428	0.693036	0.002767	0	0.004751	-0.212787	0.081342	1.033291E+9
6538.11	4.5	-6.144319	0.662517	0.003275	0	0.006176	-0.212787	0.081058	1.033292E+9
6431.22	4.4	-6.147763	0.650912	0.003283	0	0.005026	-0.212787	0.080784	1.033292E+9
6321.91	4.3	-6.137574	0.683436	0.005768	0	0.004422	-0.212787	0.081272	1.033293E+9
6210.24	4.2	-6.15272	0.663251	0.003697	0	0.005128	-0.212787	0.081106	1.033293E+9
6096.26	4.1	-6.17067	0.667335	0.005318	0	0.006243	-0.212787	0.080823	1.033294E+9
